Metric_Code,Base Year,Value
MLCON000000026,2000,81981037.79
MLCON000000027,2000,78411173.86
MLCON000000028,2000,67610263.47
MLCON000000029,2000,60456135.17
MLCON000000030,2000,55053244.3
MLCON000000031,2000,55559087.68
MLCON000000032,2000,61465392.46
MLCON000000033,2000,61668733.47
MLCON000000034,2000,54026972.54
MLCON000000035,2000,56586042.46
MLCON000000036,2000,73949778.84
MLCON000000037,2000,87992295.83
MLCON000000038,2000,110113753.5
MLCON000002916,2000,5.78E+12
MLCON000002917,2000,5.60E+12
MLCON000002918,2000,4.94E+12
MLCON000002919,2000,4.12E+12
MLCON000002920,2000,3.70E+12
MLCON000002921,2000,3.41E+12
MLCON000002922,2000,3.02E+12
MLCON000002923,2000,3.05E+12
MLCON000002924,2000,2.81E+12
MLCON000002925,2000,2.89E+12
MLCON000002926,2000,2.39E+12
MLCON000002927,2000,2.59E+12
MLCON000002928,2000,2.66E+12
MLCON000002929,2000,2.49E+12
MLCON000002930,2000,2.21E+12
MLCON000002931,2000,2.11E+12
MLCON000002932,2000,1.87E+12
MLCON000002933,2000,1.79E+12
MLCON000002934,2000,1.71E+12
MLCON000002935,2000,1.84E+12
MLCON000002936,2000,1.62E+12
MLCON000002937,2000,1.47E+12
MLCON000002938,2000,1.83E+12
MLCON000002939,2000,1.57E+12
MLCON000002940,2000,1.37E+12
MLCON000004009,2000,1203190842
MLCON000004010,2000,1184221537
MLCON000004011,2000,1129865678
MLCON000004012,2000,1115414411
MLCON000004013,2000,1120926823
MLCON000004014,2000,1285018634
MLCON000004015,2000,1314649939
MLCON000004016,2000,1370487366
MLCON000004017,2000,1316956978
MLCON000004018,2000,1437898961
MLCON000004019,2000,1280623636
MLCON000004020,2000,1112927048
MLCON000006899,2000,7.8034E+12
MLCON000006900,2000,7.33233E+12
MLCON000006901,2000,6.88193E+12
MLCON000006902,2000,6.49696E+12
MLCON000006903,2000,6.05059E+12
MLCON000006904,2000,5.68187E+12
MLCON000006905,2000,5.39825E+12
MLCON000006906,2000,5.1147E+12
MLCON000006907,2000,4.74851E+12
MLCON000006908,2000,4.51604E+12
MLCON000006909,2000,4.3662E+12
MLCON000006910,2000,4.22523E+12
MLCON000006911,2000,4.09139E+12
MLCON000006912,2000,3.90098E+12
MLCON000006913,2000,3.71866E+12
MLCON000006914,2000,3.57036E+12
MLCON000006915,2000,3.38418E+12
MLCON000006916,2000,3.21485E+12
MLCON000006917,2000,3.09337E+12
MLCON000006918,2000,2.99432E+12
MLCON000006919,2000,2.87056E+12
MLCON000006920,2000,2.79096E+12
MLCON000006921,2000,2.67308E+12
MLCON000006922,2000,2.56347E+12
MLCON000006923,2000,2.47103E+12
MLCON000007975,2000,2002840033
MLCON000007976,2000,1970730514
MLCON000007977,2000,1937333347
MLCON000007978,2000,1901418152
MLCON000007979,2000,1885529365
MLCON000007980,2000,1843543709
MLCON000007981,2000,1837078750
MLCON000007982,2000,1867236377
MLCON000007983,2000,1958230059
MLCON000007984,2000,2069108715
MLCON000007985,2000,2148398898
MLCON000007986,2000,2350294171
MLCON000007987,2000,2349351626
MLCON000010885,2000,9.7506E+12
MLCON000010886,2000,9.20689E+12
MLCON000010887,2000,8.66582E+12
MLCON000010888,2000,8.12338E+12
MLCON000010889,2000,7.60018E+12
MLCON000010890,2000,7.16548E+12
MLCON000010891,2000,6.75063E+12
MLCON000010892,2000,6.30523E+12
MLCON000010893,2000,5.9102E+12
MLCON000010894,2000,5.70154E+12
MLCON000010895,2000,5.29724E+12
MLCON000010896,2000,5.2371E+12
MLCON000010897,2000,5.02829E+12
MLCON000010898,2000,4.71623E+12
MLCON000010899,2000,4.48128E+12
MLCON000010900,2000,4.27694E+12
MLCON000010901,2000,4.00847E+12
MLCON000010902,2000,3.81867E+12
MLCON000010903,2000,3.68434E+12
MLCON000010904,2000,3.58071E+12
MLCON000010905,2000,3.42943E+12
MLCON000010906,2000,3.3269E+12
MLCON000010907,2000,3.3462E+12
MLCON000010908,2000,3.18124E+12
MLCON000010909,2000,3.00554E+12
MLCON000014819,2000,2.81745E+12
MLCON000014820,2000,2.83586E+12
MLCON000014821,2000,2.50545E+12
MLCON000014822,2000,2.29031E+12
MLCON000014823,2000,1.83843E+12
MLCON000014824,2000,1.55303E+12
MLCON000014825,2000,1.4902E+12
MLCON000014826,2000,1.16472E+12
MLCON000014827,2000,1.21688E+12
MLCON000014828,2000,1.18365E+12
MLCON000014829,2000,8.99333E+11
MLCON000014830,2000,9.8481E+11
MLCON000014831,2000,7.98328E+11
MLCON000014832,2000,8.02113E+11
MLCON000014833,2000,9.45024E+11
MLCON000014834,2000,9.17875E+11
