,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2008,1.5,Obese Adults,Percent,20,Male,OBAD20Y1,20,20,4,No
1,Afghanistan,2008,3.3,Obese Adults,Percent,20,Female,OBAD20Y2,20,20,4,No
2,Afghanistan,2008,2.4,Obese Adults,Percent,20,All,OBAD20Y3,20,20,4,No
3,Albania,2008,21.1,Obese Adults,Percent,20,All,OBAD20Y4,20,20,8,No
4,Albania,2008,20.5,Obese Adults,Percent,20,Female,OBAD20Y5,20,20,8,No
5,Albania,2008,21.7,Obese Adults,Percent,20,Male,OBAD20Y6,20,20,8,No
6,Algeria,2008,10.7,Obese Adults,Percent,20,Male,OBAD20Y7,20,20,12,No
7,Algeria,2008,24.3,Obese Adults,Percent,20,Female,OBAD20Y8,20,20,12,No
8,Algeria,2008,17.5,Obese Adults,Percent,20,All,OBAD20Y9,20,20,12,No
9,Andorra,2008,24.2,Obese Adults,Percent,20,All,OBAD20Y10,20,20,20,No
10,Andorra,2008,22.6,Obese Adults,Percent,20,Female,OBAD20Y11,20,20,20,No
11,Andorra,2008,25.7,Obese Adults,Percent,20,Male,OBAD20Y12,20,20,20,No
12,Angola,2008,3.8,Obese Adults,Percent,20,Male,OBAD20Y13,20,20,24,No
13,Angola,2008,10.2,Obese Adults,Percent,20,Female,OBAD20Y14,20,20,24,No
14,Angola,2008,7.2,Obese Adults,Percent,20,All,OBAD20Y15,20,20,24,No
15,Antigua and Barbuda,2008,25.8,Obese Adults,Percent,20,All,OBAD20Y16,20,20,28,No
16,Antigua and Barbuda,2008,33.1,Obese Adults,Percent,20,Female,OBAD20Y17,20,20,28,No
17,Antigua and Barbuda,2008,18.1,Obese Adults,Percent,20,Male,OBAD20Y18,20,20,28,No
18,Argentina,2008,27.4,Obese Adults,Percent,20,Male,OBAD20Y19,20,20,32,No
19,Argentina,2008,31.0,Obese Adults,Percent,20,Female,OBAD20Y20,20,20,32,No
20,Argentina,2008,29.4,Obese Adults,Percent,20,All,OBAD20Y21,20,20,32,No
