,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,60.5,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF1,5,5,4,No
1,Albania,2009,69.6,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF2,5,5,8,No
2,Algeria,2006,52.6,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF3,5,5,12,No
3,Armenia,2010,56.8,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF4,5,5,51,No
4,Azerbaijan,2006,32.5,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF5,5,5,31,No
5,Bangladesh,2011,35.2,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF6,5,5,50,No
6,Bangladesh,2007,57.2,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF7,5,5,50,No
7,Belarus,2005,89.5,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF8,5,5,112,No
8,Belize,2011,82.2,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF9,5,5,84,No
9,Benin,2012,31.0,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF10,5,5,204,No
10,Benin,2006,35.7,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF11,5,5,204,No
11,Bhutan,2010,74.2,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF12,5,5,64,No
12,Bolivia (Plurinational State of),2008,50.9,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF13,5,5,68,No
13,Bosnia and Herzegovina,2012,87.0,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF14,5,5,70,No
14,Bosnia and Herzegovina,2006,91.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF15,5,5,70,No
15,Brazil,2006,49.7,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF16,5,5,76,No
16,Burkina Faso,2011,56.0,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF17,5,5,854,No
17,Burkina Faso,2010,56.0,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF18,5,5,854,No
18,Burundi,2010,54.7,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF19,5,5,108,No
19,Cabo Verde,2005,51.4,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF20,5,5,132,No
20,Cambodia,2010,64.2,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF21,5,5,116,No
21,Cameroon,2011,29.9,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF22,5,5,120,No
22,Central African Republic,2010,21.8,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF23,5,5,140,No
23,Central African Republic,2006,31.8,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF24,5,5,140,No
24,Chad,2010,26.1,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF25,5,5,148,No
25,Colombia,2010,65.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF26,5,5,170,No
26,Congo,2012,52.1,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF27,5,5,178,No
27,Congo,2005,47.5,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF28,5,5,178,No
28,Costa Rica,2011,77.2,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF29,5,5,188,No
29,Côte dIvoire,2012,38.2,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF30,5,5,384,No
30,Côte dIvoire,2006,35.1,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF31,5,5,384,No
31,Cuba,2011,96.5,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF32,5,5,192,No
32,Democratic Peoples Republic of Korea,2009,79.8,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF33,5,5,408,No
33,Democratic Republic of the Congo,2010,40.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF34,5,5,180,No
34,Dominican Republic,2007,67.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF35,5,5,214,No
35,Egypt,2008,73.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF36,5,5,818,No
36,El Salvador,2008,59.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF37,5,5,222,No
37,Equatorial Guinea,2011,54.0,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF38,5,5,226,No
38,Eritrea,2010,44.8,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF39,5,5,232,No
39,Ethiopia,2011,27.0,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF40,5,5,231,No
40,Ethiopia,2011,27.0,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF40,5,5,230,No
41,Gabon,2012,67.7,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF41,5,5,266,No
42,Gambia,2010,68.0,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF42,5,5,270,No
43,Gambia,2006,68.9,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF43,5,5,270,No
44,Georgia,2005,73.6,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF44,5,5,268,No
45,Ghana,2011,41.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF45,5,5,288,No
46,Ghana,2008,60.4,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF46,5,5,288,No
47,Guatemala,2008,59.5,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF47,5,5,320,No
48,Guinea,2012,37.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF48,5,5,324,No
49,Guinea,2005,42.0,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF49,5,5,324,No
50,Guinea-Bissau,2010,52.1,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF50,5,5,624,No
51,Guinea-Bissau,2006,4.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF51,5,5,624,No
52,Guyana,2009,65.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF52,5,5,328,No
53,Haiti,2012,37.9,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF53,5,5,332,No
54,Haiti,2006,31.5,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF54,5,5,332,No
55,Honduras,2012,63.9,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF55,5,5,340,No
56,Honduras,2006,53.9,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF56,5,5,340,No
57,India,2006,67.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF57,5,5,356,No
58,Indonesia,2012,75.3,Children with ARI symptoms taken to health facility,Percent,5,All,CA5YARIHF58,5,5,360,No
