,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,70.1,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT1,5,5,4,No
1,Albania,2009,67.8,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT2,5,5,8,No
2,Algeria,2006,26.6,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT3,5,5,12,No
3,Armenia,2010,90.4,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT4,5,5,51,No
4,Azerbaijan,2006,31.3,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT5,5,5,31,No
5,Bangladesh,2011,80.6,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT6,5,5,50,No
6,Bangladesh,2007,81.2,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT7,5,5,50,No
7,Belarus,2005,84.9,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT8,5,5,112,No
8,Belize,2011,55.2,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT9,5,5,84,No
9,Benin,2012,53.8,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT10,5,5,204,No
10,Benin,2006,30.1,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT11,5,5,204,No
11,Bhutan,2010,80.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT12,5,5,64,No
12,Bolivia (Plurinational State of),2008,43.6,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT13,5,5,68,No
13,Bosnia and Herzegovina,2012,54.6,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT14,5,5,70,No
14,Bosnia and Herzegovina,2006,64.8,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT15,5,5,70,No
15,Brazil,2006,51.3,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT16,5,5,76,No
16,Burkina Faso,2011,24.0,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT17,5,5,854,No
17,Burkina Faso,2010,24.0,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT18,5,5,854,No
18,Burundi,2010,40.7,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT19,5,5,108,No
19,Cabo Verde,2005,99.8,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT20,5,5,132,No
20,Cambodia,2010,34.1,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT21,5,5,116,No
21,Cameroon,2011,22.1,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT22,5,5,120,No
22,Central African Republic,2010,37.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT23,5,5,140,No
23,Central African Republic,2006,34.3,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT24,5,5,140,No
24,Chad,2010,47.9,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT25,5,5,148,No
25,Colombia,2010,60.8,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT26,5,5,170,No
26,Colombia,2010,73.8,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT27,5,5,170,No
27,Congo,2012,36.9,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT28,5,5,178,No
28,Congo,2005,27.0,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT29,5,5,178,No
29,Costa Rica,2011,77.9,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT30,5,5,188,No
30,Côte dIvoire,2012,22.3,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT31,5,5,384,No
31,Côte dIvoire,2006,32.6,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT32,5,5,384,No
32,Cuba,2011,52.9,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT33,5,5,192,No
33,Democratic Peoples Republic of Korea,2009,91.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT34,5,5,408,No
34,Democratic Republic of the Congo,2010,52.6,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT35,5,5,180,No
35,Djibouti,2006,71.0,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT36,5,5,262,No
36,Dominican Republic,2007,44.9,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT37,5,5,214,No
37,Dominican Republic,2007,46.3,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT38,5,5,214,No
38,Egypt,2008,28.4,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT39,5,5,818,No
39,El Salvador,2008,57.6,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT40,5,5,222,No
40,Equatorial Guinea,2011,44.4,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT41,5,5,226,No
41,Eritrea,2010,58.2,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT42,5,5,232,No
42,Ethiopia,2011,30.7,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT43,5,5,231,No
43,Ethiopia,2011,30.7,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT43,5,5,230,No
44,Gabon,2012,37.3,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT44,5,5,266,No
45,Gambia,2010,65.0,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT45,5,5,270,No
46,Gambia,2006,48.2,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT46,5,5,270,No
47,Georgia,2005,50.1,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT47,5,5,268,No
48,Ghana,2011,58.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT48,5,5,288,No
49,Ghana,2008,51.9,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT49,5,5,288,No
50,Guatemala,2008,44.0,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT50,5,5,320,No
51,Guinea,2012,36.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT51,5,5,324,No
52,Guinea,2005,36.6,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT52,5,5,324,No
53,Guinea-Bissau,2010,80.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT53,5,5,624,No
54,Guinea-Bissau,2006,46.3,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT54,5,5,624,No
55,Guyana,2009,59.0,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT55,5,5,328,No
56,Haiti,2012,57.7,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT56,5,5,332,No
57,Haiti,2006,43.8,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT57,5,5,332,No
58,Honduras,2012,71.2,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT58,5,5,340,No
59,Honduras,2006,55.7,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT59,5,5,340,No
60,India,2006,26.0,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT60,5,5,356,No
61,Indonesia,2012,46.8,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT61,5,5,360,No
62,Indonesia,2007,46.1,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT62,5,5,360,No
63,Iraq,2011,34.4,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT63,5,5,368,No
64,Iraq,2006,30.7,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT64,5,5,368,No
65,Jordan,2012,27.8,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT65,5,5,400,No
66,Jordan,2007,24.9,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT66,5,5,400,No
67,Kazakhstan,2011,64.7,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT67,5,5,398,No
68,Kenya,2009,71.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT68,5,5,404,No
69,Kyrgyzstan,2012,67.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT69,5,5,417,No
70,Kyrgyzstan,2006,20.4,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT70,5,5,417,No
71,Lao Peoples Democratic Republic,2012,61.2,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT71,5,5,418,No
72,Lao Peoples Democratic Republic,2006,50.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT72,5,5,418,No
73,Lesotho,2010,71.2,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT73,5,5,426,No
74,Liberia,2013,61.6,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT74,5,5,430,No
75,Liberia,2007,58.1,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT75,5,5,430,No
76,Madagascar,2009,29.0,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT76,5,5,450,No
77,Malawi,2010,69.0,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT77,5,5,454,No
78,Maldives,2009,62.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT78,5,5,462,No
79,Mali,2013,40.3,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT79,5,5,466,No
80,Mali,2006,24.3,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT80,5,5,466,No
81,Mauritania,2007,30.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT81,5,5,478,No
82,Mongolia,2010,56.0,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT82,5,5,496,No
83,Montenegro,2006,98.1,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT83,5,5,499,No
84,Morocco,2007,39.9,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT84,5,5,504,No
85,Mozambique,2011,61.5,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT85,5,5,508,No
86,Myanmar,2010,66.3,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT86,5,5,104,No
87,Namibia,2007,69.3,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT87,5,5,516,No
88,Nepal,2011,30.7,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT88,5,5,524,No
89,Nicaragua,2007,67.8,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT89,5,5,558,No
90,Niger,2012,47.4,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT90,5,5,562,No
91,Niger,2006,26.2,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT91,5,5,562,No
92,Nigeria,2011,38.1,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT92,5,5,566,No
93,Nigeria,2008,31.2,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT93,5,5,566,No
94,Pakistan,2013,41.8,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT94,5,5,586,No
95,Pakistan,2010,47.2,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT95,5,5,586,No
96,Peru,2012,66.7,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT96,5,5,604,No
97,Peru,2010,39.9,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT97,5,5,604,No
98,Philippines,2008,58.6,Children Diarrhoea receiving ORT,Percent,5,All,CA5YDRORT98,5,5,608,No
