,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,50.6,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS1,0.5,2,4,No
1,Azerbaijan,2006,8.5,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS2,0.5,2,31,No
2,Bangladesh,2011,59.5,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS3,0.5,2,50,No
3,Bangladesh,2007,83.5,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS4,0.5,2,50,No
4,Belize,2011,65.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS5,0.5,2,84,No
5,Benin,2012,48.6,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS6,0.5,2,204,No
6,Benin,2006,60.7,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS7,0.5,2,204,No
7,Bolivia (Plurinational State of),2008,24.6,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS8,0.5,2,68,No
8,Burkina Faso,2011,63.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS9,0.5,2,854,No
9,Burkina Faso,2010,63.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS10,0.5,2,854,No
10,Burundi,2010,80.7,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS11,0.5,2,108,No
11,Cambodia,2010,70.9,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS12,0.5,2,116,No
12,Central African Republic,2010,78.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS13,0.5,2,140,No
13,Central African Republic,2006,60.2,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS14,0.5,2,140,No
14,Chad,2010,97.5,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS15,0.5,2,148,No
15,Congo,2012,64.9,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS16,0.5,2,178,No
16,Congo,2005,69.2,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS17,0.5,2,178,No
17,Côte dIvoire,2012,60.8,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS18,0.5,2,384,No
18,Côte dIvoire,2006,54.8,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS19,0.5,2,384,No
19,Democratic Peoples Republic of Korea,2009,98.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS20,0.5,2,408,No
20,Democratic Republic of the Congo,2010,82.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS21,0.5,2,180,No
21,Djibouti,2006,17.9,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS22,0.5,2,262,No
22,Dominican Republic,2007,28.6,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS23,0.5,2,214,No
23,Egypt,2008,12.4,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS24,0.5,2,818,No
24,El Salvador,2008,52.4,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS25,0.5,2,222,No
25,Equatorial Guinea,2011,30.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS26,0.5,2,226,No
26,Eritrea,2010,49.6,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS27,0.5,2,232,No
27,Ethiopia,2011,53.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS28,0.5,2,231,No
28,Ethiopia,2011,53.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS28,0.5,2,230,No
29,Gabon,2012,53.8,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS29,0.5,2,266,No
30,Gambia,2010,72.8,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS30,0.5,2,270,No
31,Gambia,2006,80.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS31,0.5,2,270,No
32,Ghana,2011,73.7,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS32,0.5,2,288,No
33,Ghana,2008,55.8,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS33,0.5,2,288,No
34,Guinea,2012,40.8,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS34,0.5,2,324,No
35,Guinea,2005,69.4,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS35,0.5,2,324,No
36,Guinea-Bissau,2010,79.4,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS36,0.5,2,624,No
37,Guinea-Bissau,2006,58.6,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS37,0.5,2,624,No
38,Guyana,2009,54.9,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS38,0.5,2,328,No
39,Haiti,2012,44.4,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS39,0.5,2,332,No
40,Haiti,2006,28.7,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS40,0.5,2,332,No
41,Honduras,2012,73.3,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS41,0.5,2,340,No
42,Honduras,2006,48.7,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS42,0.5,2,340,No
43,India,2006,15.6,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS43,0.5,2,356,No
44,Indonesia,2012,61.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS44,0.5,2,360,No
45,Indonesia,2007,68.5,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS45,0.5,2,360,No
46,Iraq,2011,27.5,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS46,0.5,2,368,No
47,Iraq,2006,2.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS47,0.5,2,368,No
48,Jordan,2012,11.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS48,0.5,2,400,No
49,Jordan,2007,8.5,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS49,0.5,2,400,No
50,Kenya,2009,30.3,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS50,0.5,2,404,No
51,Kyrgyzstan,2006,47.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS51,0.5,2,417,No
52,Lao Peoples Democratic Republic,2012,59.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS52,0.5,2,418,No
53,Lao Peoples Democratic Republic,2006,18.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS53,0.5,2,418,No
54,Lesotho,2010,33.8,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS54,0.5,2,426,No
55,Liberia,2013,43.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS55,0.5,2,430,No
56,Liberia,2007,43.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS56,0.5,2,430,No
57,Madagascar,2009,72.2,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS57,0.5,2,450,No
58,Malawi,2010,85.6,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS58,0.5,2,454,No
59,Maldives,2009,48.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS59,0.5,2,462,No
60,Mali,2013,72.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS60,0.5,2,466,No
61,Mali,2006,72.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS61,0.5,2,466,No
62,Mauritania,2007,55.5,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS62,0.5,2,478,No
63,Mongolia,2010,61.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS63,0.5,2,496,No
64,Morocco,2007,20.5,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS64,0.5,2,504,No
65,Mozambique,2011,74.6,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS65,0.5,2,508,No
66,Myanmar,2010,55.9,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS66,0.5,2,104,No
67,Namibia,2007,51.5,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS67,0.5,2,516,No
68,Nepal,2011,86.8,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS68,0.5,2,524,No
69,Nicaragua,2007,61.9,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS69,0.5,2,558,No
70,Niger,2012,59.6,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS70,0.5,2,562,No
71,Niger,2006,69.7,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS71,0.5,2,562,No
72,Nigeria,2011,65.2,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS72,0.5,2,566,No
73,Nigeria,2008,25.8,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS73,0.5,2,566,No
74,Pakistan,2013,72.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS74,0.5,2,586,No
75,Pakistan,2010,60.2,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS75,0.5,2,586,No
76,Peru,2012,14.9,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS76,0.5,2,604,No
77,Peru,2010,9.1,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS77,0.5,2,604,No
78,Philippines,2008,75.9,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS78,0.5,2,608,No
79,Republic of Korea,2009,98.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS79,0.5,2,410,No
80,Rwanda,2010,92.9,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS80,0.5,2,646,No
81,Sao Tome and Principe,2009,47.6,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS81,0.5,2,678,No
82,Senegal,2011,78.4,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS82,0.5,2,686,No
83,Sierra Leone,2010,91.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS83,0.5,2,694,No
84,Somalia,2006,24.2,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS84,0.5,2,706,No
85,Swaziland,2010,68.0,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS85,0.5,2,748,No
86,Swaziland,2007,80.5,Children received vitamin A suppliementation,Percent,0.5-2,All,CWRVAS86,0.5,2,748,No
