,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,49,Healthy life expectancy,Absolute,0,Male,HALEAB1,0,0,4,No
1,Afghanistan,2012,49,Healthy life expectancy,Absolute,0,Female,HALEAB2,0,0,4,No
2,Afghanistan,2012,49,Healthy life expectancy,Absolute,0,All,HALEAB3,0,0,4,No
3,Afghanistan,2000,45,Healthy life expectancy,Absolute,0,Female,HALEAB4,0,0,4,No
4,Afghanistan,2000,45,Healthy life expectancy,Absolute,0,All,HALEAB5,0,0,4,No
5,Afghanistan,2000,45,Healthy life expectancy,Absolute,0,Male,HALEAB6,0,0,4,No
6,Albania,2012,64,Healthy life expectancy,Absolute,0,Male,HALEAB7,0,0,8,No
7,Albania,2012,66,Healthy life expectancy,Absolute,0,Female,HALEAB8,0,0,8,No
8,Albania,2012,65,Healthy life expectancy,Absolute,0,All,HALEAB9,0,0,8,No
9,Albania,2000,60,Healthy life expectancy,Absolute,0,Male,HALEAB10,0,0,8,No
10,Albania,2000,64,Healthy life expectancy,Absolute,0,Female,HALEAB11,0,0,8,No
11,Albania,2000,62,Healthy life expectancy,Absolute,0,All,HALEAB12,0,0,8,No
12,Algeria,2012,62,Healthy life expectancy,Absolute,0,Male,HALEAB13,0,0,12,No
13,Algeria,2012,63,Healthy life expectancy,Absolute,0,Female,HALEAB14,0,0,12,No
14,Algeria,2012,62,Healthy life expectancy,Absolute,0,All,HALEAB15,0,0,12,No
15,Algeria,2000,59,Healthy life expectancy,Absolute,0,Male,HALEAB16,0,0,12,No
16,Algeria,2000,61,Healthy life expectancy,Absolute,0,Female,HALEAB17,0,0,12,No
17,Algeria,2000,60,Healthy life expectancy,Absolute,0,All,HALEAB18,0,0,12,No
18,Andorra,2012,70,Healthy life expectancy,Absolute,0,Male,HALEAB19,0,0,20,No
19,Andorra,2012,74,Healthy life expectancy,Absolute,0,Female,HALEAB20,0,0,20,No
20,Andorra,2012,72,Healthy life expectancy,Absolute,0,All,HALEAB21,0,0,20,No
21,Andorra,2000,67,Healthy life expectancy,Absolute,0,Male,HALEAB22,0,0,20,No
22,Andorra,2000,72,Healthy life expectancy,Absolute,0,Female,HALEAB23,0,0,20,No
23,Andorra,2000,70,Healthy life expectancy,Absolute,0,All,HALEAB24,0,0,20,No
24,Angola,2012,43,Healthy life expectancy,Absolute,0,Male,HALEAB25,0,0,24,No
25,Angola,2012,45,Healthy life expectancy,Absolute,0,Female,HALEAB26,0,0,24,No
26,Angola,2012,44,Healthy life expectancy,Absolute,0,All,HALEAB27,0,0,24,No
27,Angola,2000,38,Healthy life expectancy,Absolute,0,Male,HALEAB28,0,0,24,No
28,Angola,2000,40,Healthy life expectancy,Absolute,0,Female,HALEAB29,0,0,24,No
29,Angola,2000,39,Healthy life expectancy,Absolute,0,All,HALEAB30,0,0,24,No
30,Antigua and Barbuda,2012,63,Healthy life expectancy,Absolute,0,Male,HALEAB31,0,0,28,No
31,Antigua and Barbuda,2012,66,Healthy life expectancy,Absolute,0,Female,HALEAB32,0,0,28,No
32,Antigua and Barbuda,2012,64,Healthy life expectancy,Absolute,0,All,HALEAB33,0,0,28,No
33,Antigua and Barbuda,2000,63,Healthy life expectancy,Absolute,0,Male,HALEAB34,0,0,28,No
34,Antigua and Barbuda,2000,65,Healthy life expectancy,Absolute,0,Female,HALEAB35,0,0,28,No
35,Antigua and Barbuda,2000,64,Healthy life expectancy,Absolute,0,All,HALEAB36,0,0,28,No
36,Argentina,2012,64,Healthy life expectancy,Absolute,0,Male,HALEAB37,0,0,32,No
37,Argentina,2012,69,Healthy life expectancy,Absolute,0,Female,HALEAB38,0,0,32,No
38,Argentina,2012,67,Healthy life expectancy,Absolute,0,All,HALEAB39,0,0,32,No
39,Argentina,2000,62,Healthy life expectancy,Absolute,0,Male,HALEAB40,0,0,32,No
40,Argentina,2000,68,Healthy life expectancy,Absolute,0,Female,HALEAB41,0,0,32,No
41,Argentina,2000,65,Healthy life expectancy,Absolute,0,All,HALEAB42,0,0,32,No
42,Armenia,2012,60,Healthy life expectancy,Absolute,0,Male,HALEAB43,0,0,51,No
43,Armenia,2012,66,Healthy life expectancy,Absolute,0,Female,HALEAB44,0,0,51,No
44,Armenia,2012,62,Healthy life expectancy,Absolute,0,All,HALEAB45,0,0,51,No
45,Armenia,2000,60,Healthy life expectancy,Absolute,0,Male,HALEAB46,0,0,51,No
46,Armenia,2000,65,Healthy life expectancy,Absolute,0,Female,HALEAB47,0,0,51,No
47,Armenia,2000,62,Healthy life expectancy,Absolute,0,All,HALEAB48,0,0,51,No
48,Australia,2012,71,Healthy life expectancy,Absolute,0,Male,HALEAB49,0,0,36,No
49,Australia,2012,74,Healthy life expectancy,Absolute,0,Female,HALEAB50,0,0,36,No
50,Australia,2012,73,Healthy life expectancy,Absolute,0,All,HALEAB51,0,0,36,No
51,Australia,2000,68,Healthy life expectancy,Absolute,0,Male,HALEAB52,0,0,36,No
52,Australia,2000,72,Healthy life expectancy,Absolute,0,Female,HALEAB53,0,0,36,No
53,Australia,2000,70,Healthy life expectancy,Absolute,0,All,HALEAB54,0,0,36,No
54,Austria,2012,69,Healthy life expectancy,Absolute,0,Male,HALEAB55,0,0,40,No
55,Austria,2012,73,Healthy life expectancy,Absolute,0,Female,HALEAB56,0,0,40,No
56,Austria,2012,71,Healthy life expectancy,Absolute,0,All,HALEAB57,0,0,40,No
57,Austria,2000,67,Healthy life expectancy,Absolute,0,Male,HALEAB58,0,0,40,No
58,Austria,2000,71,Healthy life expectancy,Absolute,0,Female,HALEAB59,0,0,40,No
59,Austria,2000,69,Healthy life expectancy,Absolute,0,All,HALEAB60,0,0,40,No
60,Azerbaijan,2012,61,Healthy life expectancy,Absolute,0,Male,HALEAB61,0,0,31,No
61,Azerbaijan,2012,65,Healthy life expectancy,Absolute,0,Female,HALEAB62,0,0,31,No
62,Azerbaijan,2012,63,Healthy life expectancy,Absolute,0,All,HALEAB63,0,0,31,No
63,Azerbaijan,2000,56,Healthy life expectancy,Absolute,0,Male,HALEAB64,0,0,31,No
64,Azerbaijan,2000,60,Healthy life expectancy,Absolute,0,Female,HALEAB65,0,0,31,No
65,Azerbaijan,2000,58,Healthy life expectancy,Absolute,0,All,HALEAB66,0,0,31,No
66,Bahamas,2012,62,Healthy life expectancy,Absolute,0,Male,HALEAB67,0,0,44,No
67,Bahamas,2012,67,Healthy life expectancy,Absolute,0,Female,HALEAB68,0,0,44,No
68,Bahamas,2012,64,Healthy life expectancy,Absolute,0,All,HALEAB69,0,0,44,No
69,Bahamas,2000,61,Healthy life expectancy,Absolute,0,Male,HALEAB70,0,0,44,No
70,Bahamas,2000,65,Healthy life expectancy,Absolute,0,Female,HALEAB71,0,0,44,No
71,Bahamas,2000,63,Healthy life expectancy,Absolute,0,All,HALEAB72,0,0,44,No
72,Bahrain,2012,66,Healthy life expectancy,Absolute,0,Male,HALEAB73,0,0,48,No
73,Bahrain,2012,66,Healthy life expectancy,Absolute,0,Female,HALEAB74,0,0,48,No
74,Bahrain,2012,66,Healthy life expectancy,Absolute,0,All,HALEAB75,0,0,48,No
75,Bahrain,2000,63,Healthy life expectancy,Absolute,0,Male,HALEAB76,0,0,48,No
76,Bahrain,2000,64,Healthy life expectancy,Absolute,0,Female,HALEAB77,0,0,48,No
77,Bahrain,2000,63,Healthy life expectancy,Absolute,0,All,HALEAB78,0,0,48,No
78,Bangladesh,2012,60,Healthy life expectancy,Absolute,0,Male,HALEAB79,0,0,50,No
79,Bangladesh,2012,61,Healthy life expectancy,Absolute,0,Female,HALEAB80,0,0,50,No
80,Bangladesh,2012,60,Healthy life expectancy,Absolute,0,All,HALEAB81,0,0,50,No
81,Bangladesh,2000,55,Healthy life expectancy,Absolute,0,Male,HALEAB82,0,0,50,No
82,Bangladesh,2000,55,Healthy life expectancy,Absolute,0,Female,HALEAB83,0,0,50,No
83,Bangladesh,2000,55,Healthy life expectancy,Absolute,0,All,HALEAB84,0,0,50,No
84,Barbados,2012,64,Healthy life expectancy,Absolute,0,Male,HALEAB85,0,0,52,No
85,Barbados,2012,69,Healthy life expectancy,Absolute,0,Female,HALEAB86,0,0,52,No
86,Barbados,2012,66,Healthy life expectancy,Absolute,0,All,HALEAB87,0,0,52,No
87,Barbados,2000,63,Healthy life expectancy,Absolute,0,Male,HALEAB88,0,0,52,No
88,Barbados,2000,66,Healthy life expectancy,Absolute,0,Female,HALEAB89,0,0,52,No
89,Barbados,2000,65,Healthy life expectancy,Absolute,0,All,HALEAB90,0,0,52,No
90,Belarus,2012,59,Healthy life expectancy,Absolute,0,Male,HALEAB91,0,0,112,No
91,Belarus,2012,68,Healthy life expectancy,Absolute,0,Female,HALEAB92,0,0,112,No
92,Belarus,2012,64,Healthy life expectancy,Absolute,0,All,HALEAB93,0,0,112,No
93,Belarus,2000,57,Healthy life expectancy,Absolute,0,Male,HALEAB94,0,0,112,No
94,Belarus,2000,66,Healthy life expectancy,Absolute,0,Female,HALEAB95,0,0,112,No
95,Belarus,2000,61,Healthy life expectancy,Absolute,0,All,HALEAB96,0,0,112,No
96,Belgium,2012,69,Healthy life expectancy,Absolute,0,Male,HALEAB97,0,0,56,No
97,Belgium,2012,73,Healthy life expectancy,Absolute,0,Female,HALEAB98,0,0,56,No
98,Belgium,2012,71,Healthy life expectancy,Absolute,0,All,HALEAB99,0,0,56,No
99,Belgium,2000,66,Healthy life expectancy,Absolute,0,Male,HALEAB100,0,0,56,No
100,Belgium,2000,71,Healthy life expectancy,Absolute,0,Female,HALEAB101,0,0,56,No
101,Belgium,2000,69,Healthy life expectancy,Absolute,0,All,HALEAB102,0,0,56,No
102,Belize,2012,61,Healthy life expectancy,Absolute,0,Male,HALEAB103,0,0,84,No
103,Belize,2012,66,Healthy life expectancy,Absolute,0,Female,HALEAB104,0,0,84,No
104,Belize,2012,63,Healthy life expectancy,Absolute,0,All,HALEAB105,0,0,84,No
105,Belize,2000,60,Healthy life expectancy,Absolute,0,Male,HALEAB106,0,0,84,No
106,Belize,2000,65,Healthy life expectancy,Absolute,0,Female,HALEAB107,0,0,84,No
107,Belize,2000,62,Healthy life expectancy,Absolute,0,All,HALEAB108,0,0,84,No
108,Benin,2012,50,Healthy life expectancy,Absolute,0,Male,HALEAB109,0,0,204,No
109,Benin,2012,51,Healthy life expectancy,Absolute,0,Female,HALEAB110,0,0,204,No
110,Benin,2012,50,Healthy life expectancy,Absolute,0,All,HALEAB111,0,0,204,No
111,Benin,2000,45,Healthy life expectancy,Absolute,0,Male,HALEAB112,0,0,204,No
112,Benin,2000,47,Healthy life expectancy,Absolute,0,Female,HALEAB113,0,0,204,No
113,Benin,2000,46,Healthy life expectancy,Absolute,0,All,HALEAB114,0,0,204,No
114,Bhutan,2012,58,Healthy life expectancy,Absolute,0,Male,HALEAB115,0,0,64,No
115,Bhutan,2012,59,Healthy life expectancy,Absolute,0,Female,HALEAB116,0,0,64,No
116,Bhutan,2012,59,Healthy life expectancy,Absolute,0,All,HALEAB117,0,0,64,No
117,Bhutan,2000,52,Healthy life expectancy,Absolute,0,Male,HALEAB118,0,0,64,No
118,Bhutan,2000,52,Healthy life expectancy,Absolute,0,Female,HALEAB119,0,0,64,No
119,Bhutan,2000,52,Healthy life expectancy,Absolute,0,All,HALEAB120,0,0,64,No
120,Bolivia (Plurinational State of),2012,58,Healthy life expectancy,Absolute,0,Male,HALEAB121,0,0,68,No
121,Bolivia (Plurinational State of),2012,61,Healthy life expectancy,Absolute,0,Female,HALEAB122,0,0,68,No
122,Bolivia (Plurinational State of),2012,59,Healthy life expectancy,Absolute,0,All,HALEAB123,0,0,68,No
123,Bolivia (Plurinational State of),2000,53,Healthy life expectancy,Absolute,0,Male,HALEAB124,0,0,68,No
124,Bolivia (Plurinational State of),2000,56,Healthy life expectancy,Absolute,0,Female,HALEAB125,0,0,68,No
125,Bolivia (Plurinational State of),2000,55,Healthy life expectancy,Absolute,0,All,HALEAB126,0,0,68,No
126,Bosnia and Herzegovina,2012,66,Healthy life expectancy,Absolute,0,Male,HALEAB127,0,0,70,No
127,Bosnia and Herzegovina,2012,70,Healthy life expectancy,Absolute,0,Female,HALEAB128,0,0,70,No
128,Bosnia and Herzegovina,2012,68,Healthy life expectancy,Absolute,0,All,HALEAB129,0,0,70,No
129,Bosnia and Herzegovina,2000,64,Healthy life expectancy,Absolute,0,Male,HALEAB130,0,0,70,No
130,Bosnia and Herzegovina,2000,68,Healthy life expectancy,Absolute,0,Female,HALEAB131,0,0,70,No
131,Bosnia and Herzegovina,2000,66,Healthy life expectancy,Absolute,0,All,HALEAB132,0,0,70,No
132,Botswana,2012,52,Healthy life expectancy,Absolute,0,Male,HALEAB133,0,0,72,No
133,Botswana,2012,53,Healthy life expectancy,Absolute,0,Female,HALEAB134,0,0,72,No
134,Botswana,2012,53,Healthy life expectancy,Absolute,0,All,HALEAB135,0,0,72,No
135,Botswana,2000,42,Healthy life expectancy,Absolute,0,Male,HALEAB136,0,0,72,No
136,Botswana,2000,41,Healthy life expectancy,Absolute,0,Female,HALEAB137,0,0,72,No
