,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC1,0,130,4,No
1,Albania,2012,0,Japanese Encephalitis,Absolute,All,All,JENRC2,0,130,8,No
2,Albania,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC3,0,130,8,No
3,Algeria,2012,0,Japanese Encephalitis,Absolute,All,All,JENRC4,0,130,12,No
4,Algeria,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC5,0,130,12,No
5,Algeria,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC6,0,130,12,No
6,Algeria,2009,0,Japanese Encephalitis,Absolute,All,All,JENRC7,0,130,12,No
7,Angola,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC8,0,130,24,No
8,Armenia,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC9,0,130,51,No
9,Armenia,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC10,0,130,51,No
10,Australia,2012,1,Japanese Encephalitis,Absolute,All,All,JENRC11,0,130,36,No
11,Australia,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC12,0,130,36,No
12,Australia,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC13,0,130,36,No
13,Australia,2009,0,Japanese Encephalitis,Absolute,All,All,JENRC14,0,130,36,No
14,Austria,2012,0,Japanese Encephalitis,Absolute,All,All,JENRC15,0,130,40,No
15,Austria,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC16,0,130,40,No
16,Austria,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC17,0,130,40,No
17,Austria,2009,0,Japanese Encephalitis,Absolute,All,All,JENRC18,0,130,40,No
18,Azerbaijan,2012,0,Japanese Encephalitis,Absolute,All,All,JENRC19,0,130,31,No
19,Azerbaijan,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC20,0,130,31,No
20,Azerbaijan,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC21,0,130,31,No
21,Bahrain,2012,0,Japanese Encephalitis,Absolute,All,All,JENRC22,0,130,48,No
22,Bahrain,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC23,0,130,48,No
23,Bahrain,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC24,0,130,48,No
24,Bahrain,2009,0,Japanese Encephalitis,Absolute,All,All,JENRC25,0,130,48,No
25,Bangladesh,2012,52,Japanese Encephalitis,Absolute,All,All,JENRC26,0,130,50,No
26,Bangladesh,2011,103,Japanese Encephalitis,Absolute,All,All,JENRC27,0,130,50,No
27,Bangladesh,2010,15,Japanese Encephalitis,Absolute,All,All,JENRC28,0,130,50,No
28,Bangladesh,2009,15,Japanese Encephalitis,Absolute,All,All,JENRC29,0,130,50,No
29,Belarus,2012,0,Japanese Encephalitis,Absolute,All,All,JENRC30,0,130,112,No
30,Belarus,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC31,0,130,112,No
31,Belarus,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC32,0,130,112,No
32,Belarus,2009,0,Japanese Encephalitis,Absolute,All,All,JENRC33,0,130,112,No
33,Belgium,2012,0,Japanese Encephalitis,Absolute,All,All,JENRC34,0,130,56,No
34,Belgium,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC35,0,130,56,No
35,Belgium,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC36,0,130,56,No
36,Belgium,2009,0,Japanese Encephalitis,Absolute,All,All,JENRC37,0,130,56,No
37,Bhutan,2012,27,Japanese Encephalitis,Absolute,All,All,JENRC38,0,130,64,No
38,Bhutan,2011,3,Japanese Encephalitis,Absolute,All,All,JENRC39,0,130,64,No
39,Bhutan,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC40,0,130,64,No
40,Bhutan,2009,0,Japanese Encephalitis,Absolute,All,All,JENRC41,0,130,64,No
41,Bosnia and Herzegovina,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC42,0,130,70,No
42,Brunei Darussalam,2012,0,Japanese Encephalitis,Absolute,All,All,JENRC43,0,130,96,No
43,Brunei Darussalam,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC44,0,130,96,No
44,Brunei Darussalam,2009,0,Japanese Encephalitis,Absolute,All,All,JENRC45,0,130,96,No
45,Bulgaria,2012,0,Japanese Encephalitis,Absolute,All,All,JENRC46,0,130,100,No
46,Bulgaria,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC47,0,130,100,No
47,Bulgaria,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC48,0,130,100,No
48,Bulgaria,2009,0,Japanese Encephalitis,Absolute,All,All,JENRC49,0,130,100,No
49,Burundi,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC50,0,130,108,No
50,Burundi,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC51,0,130,108,No
51,Burundi,2009,0,Japanese Encephalitis,Absolute,All,All,JENRC52,0,130,108,No
52,Cabo Verde,2012,0,Japanese Encephalitis,Absolute,All,All,JENRC53,0,130,132,No
53,Cabo Verde,2011,0,Japanese Encephalitis,Absolute,All,All,JENRC54,0,130,132,No
54,Cabo Verde,2010,0,Japanese Encephalitis,Absolute,All,All,JENRC55,0,130,132,No
55,Cabo Verde,2009,0,Japanese Encephalitis,Absolute,All,All,JENRC56,0,130,132,No
56,Cambodia,2012,55,Japanese Encephalitis,Absolute,All,All,JENRC57,0,130,116,No
57,Cambodia,2011,45,Japanese Encephalitis,Absolute,All,All,JENRC58,0,130,116,No
58,Cambodia,2010,41,Japanese Encephalitis,Absolute,All,All,JENRC59,0,130,116,No
59,Cambodia,2009,193,Japanese Encephalitis,Absolute,All,All,JENRC60,0,130,116,No
