,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Albania,2011,96.8,Literacy rate among 15 year olds,Percent,15,All,LRAA1,15,15,8,No
1,Albania,2008,95.9,Literacy rate among 15 year olds,Percent,15,All,LRAA2,15,15,8,No
2,Albania,2001,98.7,Literacy rate among 15 year olds,Percent,15,All,LRAA3,15,15,8,No
3,Algeria,2006,72.6,Literacy rate among 15 year olds,Percent,15,All,LRAA4,15,15,12,No
4,Algeria,2002,69.9,Literacy rate among 15 year olds,Percent,15,All,LRAA5,15,15,12,No
5,Angola,2011,70.4,Literacy rate among 15 year olds,Percent,15,All,LRAA6,15,15,24,No
6,Angola,2010,70.1,Literacy rate among 15 year olds,Percent,15,All,LRAA7,15,15,24,No
7,Angola,2001,67.4,Literacy rate among 15 year olds,Percent,15,All,LRAA8,15,15,24,No
8,Antigua and Barbuda,2011,99.0,Literacy rate among 15 year olds,Percent,15,All,LRAA9,15,15,28,No
9,Antigua and Barbuda,2010,99.0,Literacy rate among 15 year olds,Percent,15,All,LRAA10,15,15,28,No
10,Antigua and Barbuda,2001,99.0,Literacy rate among 15 year olds,Percent,15,All,LRAA11,15,15,28,No
11,Argentina,2011,97.9,Literacy rate among 15 year olds,Percent,15,All,LRAA12,15,15,32,No
12,Argentina,2010,97.8,Literacy rate among 15 year olds,Percent,15,All,LRAA13,15,15,32,No
13,Argentina,2001,97.2,Literacy rate among 15 year olds,Percent,15,All,LRAA14,15,15,32,No
14,Argentina,1991,96.1,Literacy rate among 15 year olds,Percent,15,All,LRAA15,15,15,32,No
15,Armenia,2011,99.6,Literacy rate among 15 year olds,Percent,15,All,LRAA16,15,15,51,No
16,Armenia,2010,99.6,Literacy rate among 15 year olds,Percent,15,All,LRAA17,15,15,51,No
17,Armenia,2001,99.4,Literacy rate among 15 year olds,Percent,15,All,LRAA18,15,15,51,No
18,Azerbaijan,2009,99.8,Literacy rate among 15 year olds,Percent,15,All,LRAA19,15,15,31,No
19,Azerbaijan,2007,99.5,Literacy rate among 15 year olds,Percent,15,All,LRAA20,15,15,31,No
20,Azerbaijan,2007,99.6,Literacy rate among 15 year olds,Percent,15,All,LRAA21,15,15,31,No
21,Azerbaijan,1999,98.8,Literacy rate among 15 year olds,Percent,15,All,LRAA22,15,15,31,No
22,Bahrain,2010,91.9,Literacy rate among 15 year olds,Percent,15,All,LRAA23,15,15,48,No
23,Bahrain,2010,94.6,Literacy rate among 15 year olds,Percent,15,All,LRAA24,15,15,48,No
24,Bahrain,2001,86.5,Literacy rate among 15 year olds,Percent,15,All,LRAA25,15,15,48,No
25,Bahrain,1991,84.0,Literacy rate among 15 year olds,Percent,15,All,LRAA26,15,15,48,No
26,Bangladesh,2011,57.7,Literacy rate among 15 year olds,Percent,15,All,LRAA27,15,15,50,No
27,Bangladesh,2010,56.8,Literacy rate among 15 year olds,Percent,15,All,LRAA28,15,15,50,No
28,Bangladesh,2001,47.5,Literacy rate among 15 year olds,Percent,15,All,LRAA29,15,15,50,No
29,Bangladesh,1991,35.3,Literacy rate among 15 year olds,Percent,15,All,LRAA30,15,15,50,No
30,Belarus,2009,99.6,Literacy rate among 15 year olds,Percent,15,All,LRAA31,15,15,112,No
31,Belarus,1999,99.6,Literacy rate among 15 year olds,Percent,15,All,LRAA32,15,15,112,No
32,Belize,1991,70.3,Literacy rate among 15 year olds,Percent,15,All,LRAA33,15,15,84,No
33,Benin,2010,42.4,Literacy rate among 15 year olds,Percent,15,All,LRAA34,15,15,204,No
34,Benin,2006,28.7,Literacy rate among 15 year olds,Percent,15,All,LRAA35,15,15,204,No
35,Benin,2002,34.7,Literacy rate among 15 year olds,Percent,15,All,LRAA36,15,15,204,No
36,Benin,1992,27.2,Literacy rate among 15 year olds,Percent,15,All,LRAA37,15,15,204,No
37,Bhutan,2005,52.8,Literacy rate among 15 year olds,Percent,15,All,LRAA38,15,15,64,No
38,Bolivia (Plurinational State of),2009,91.2,Literacy rate among 15 year olds,Percent,15,All,LRAA39,15,15,68,No
39,Bolivia (Plurinational State of),2008,90.7,Literacy rate among 15 year olds,Percent,15,All,LRAA40,15,15,68,No
40,Bolivia (Plurinational State of),2007,90.7,Literacy rate among 15 year olds,Percent,15,All,LRAA41,15,15,68,No
41,Bolivia (Plurinational State of),2001,86.7,Literacy rate among 15 year olds,Percent,15,All,LRAA42,15,15,68,No
