,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2008,1663,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC1,30,70,4,No
1,Albania,2008,518,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC2,30,70,8,No
2,Algeria,2008,591,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC3,30,70,12,No
3,Andorra,2008,310,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC4,30,70,20,No
4,Angola,2008,1685,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC5,30,70,24,No
5,Antigua and Barbuda,2008,682,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC6,30,70,28,No
6,Argentina,2008,553,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC7,30,70,32,No
7,Armenia,2008,864,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC8,30,70,51,No
8,Australia,2008,278,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC9,30,70,36,No
9,Austria,2008,335,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC10,30,70,40,No
10,Azerbaijan,2008,918,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC11,30,70,31,No
11,Bahamas,2008,629,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC12,30,70,44,No
12,Bahrain,2008,408,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC13,30,70,48,No
13,Bangladesh,2008,1210,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC14,30,70,50,No
14,Barbados,2008,487,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC15,30,70,52,No
15,Belarus,2008,1017,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC16,30,70,112,No
16,Belgium,2008,369,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC17,30,70,56,No
17,Belize,2008,747,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC18,30,70,84,No
18,Benin,2008,1528,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC19,30,70,204,No
19,Bhutan,2008,1027,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC20,30,70,64,No
20,Bolivia (Plurinational State of),2008,791,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC21,30,70,68,No
21,Bosnia and Herzegovina,2008,498,Mortality Rate All Causes,per 100k pop,30-70,All,MRAC22,30,70,70,No
