,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2008,634,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD1,30,70,4,No
1,Albania,2008,215,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD2,30,70,8,No
2,Algeria,2008,200,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD3,30,70,12,No
3,Andorra,2008,80,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD4,30,70,20,No
4,Angola,2008,459,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD5,30,70,24,No
5,Antigua and Barbuda,2008,306,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD6,30,70,28,No
6,Argentina,2008,165,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD7,30,70,32,No
7,Armenia,2008,378,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD8,30,70,51,No
8,Australia,2008,65,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD9,30,70,36,No
9,Austria,2008,80,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD10,30,70,40,No
10,Azerbaijan,2008,489,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD11,30,70,31,No
11,Bahamas,2008,228,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD12,30,70,44,No
12,Bahrain,2008,207,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD13,30,70,48,No
13,Bangladesh,2008,421,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD14,30,70,50,No
14,Barbados,2008,166,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD15,30,70,52,No
15,Belarus,2008,446,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD16,30,70,112,No
16,Belgium,2008,85,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD17,30,70,56,No
17,Belize,2008,268,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD18,30,70,84,No
18,Benin,2008,413,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD19,30,70,204,No
19,Bhutan,2008,366,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD20,30,70,64,No
20,Bolivia (Plurinational State of),2008,208,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD21,30,70,68,No
21,Bosnia and Herzegovina,2008,266,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD22,30,70,70,No
22,Botswana,2008,293,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD23,30,70,72,No
23,Brazil,2008,248,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD24,30,70,76,No
24,Brunei Darussalam,2008,219,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD25,30,70,96,No
25,Bulgaria,2008,339,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD26,30,70,100,No
26,Burkina Faso,2008,377,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD27,30,70,854,No
27,Burundi,2008,391,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD28,30,70,108,No
28,Cabo Verde,2008,235,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD29,30,70,132,No
29,Cambodia,2008,384,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD30,30,70,116,No
30,Cameroon,2008,473,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD31,30,70,120,No
31,Canada,2008,82,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD32,30,70,124,No
32,Central African Republic,2008,483,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD33,30,70,140,No
33,Chad,2008,461,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD34,30,70,148,No
34,Chile,2008,114,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD35,30,70,152,No
35,China,2008,199,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD36,30,70,156,No
36,Colombia,2008,152,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD37,30,70,170,No
37,Comoros,2008,393,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD38,30,70,174,No
38,Congo,2008,391,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD39,30,70,178,No
39,Cook Islands,2008,275,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD40,30,70,184,No
40,Costa Rica,2008,118,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD41,30,70,188,No
41,CÃ´te dâ€™Ivoire,2008,651,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD42,30,70,384,No
42,Croatia,2008,179,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD43,30,70,191,No
43,Cuba,2008,172,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD44,30,70,192,No
44,Cyprus,2008,99,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD45,30,70,196,No
45,Czech Republic,2008,164,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD46,30,70,203,No
46,Democratic Peoples Republic of Korea,2008,273,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD47,30,70,408,No
47,Democratic Republic of the Congo,2008,399,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD48,30,70,180,No
48,Denmark,2008,92,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD49,30,70,208,No
49,Djibouti,2008,406,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD50,30,70,262,No
50,Dominica,2008,221,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD51,30,70,212,No
51,Dominican Republic,2008,270,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD52,30,70,214,No
52,Ecuador,2008,142,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD53,30,70,218,No
53,Egypt,2008,303,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD54,30,70,818,No
54,El Salvador,2008,168,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD55,30,70,222,No
55,Equatorial Guinea,2008,443,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD56,30,70,226,No
56,Eritrea,2008,306,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD57,30,70,232,No
57,Estonia,2008,269,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD58,30,70,233,No
58,Ethiopia,2008,473,Mortality Rate Cardiovasular disease and diabetes,per 100k pop,30-70,All,MRCDAD59,30,70,231,No
