,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2008,1117,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC1,30,70,4,No
1,Albania,2008,716,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC2,30,70,8,No
2,Algeria,2008,523,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC3,30,70,12,No
3,Andorra,2008,338,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC4,30,70,20,No
4,Angola,2008,842,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC5,30,70,24,No
5,Antigua and Barbuda,2008,548,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC6,30,70,28,No
6,Argentina,2008,501,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC7,30,70,32,No
7,Armenia,2008,902,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC8,30,70,51,No
8,Australia,2008,330,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC9,30,70,36,No
9,Austria,2008,373,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC10,30,70,40,No
10,Azerbaijan,2008,935,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC11,30,70,31,No
11,Bahamas,2008,457,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC12,30,70,44,No
12,Bahrain,2008,590,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC13,30,70,48,No
13,Bangladesh,2008,702,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC14,30,70,50,No
14,Barbados,2008,488,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC15,30,70,52,No
15,Belarus,2008,749,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC16,30,70,112,No
16,Belgium,2008,367,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC17,30,70,56,No
17,Belize,2008,497,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC18,30,70,84,No
18,Benin,2008,804,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC19,30,70,204,No
19,Bhutan,2008,735,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC20,30,70,64,No
20,Bolivia (Plurinational State of),2008,644,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC21,30,70,68,No
21,Bosnia and Herzegovina,2008,584,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC22,30,70,70,No
22,Botswana,2008,606,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC23,30,70,72,No
23,Brazil,2008,534,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC24,30,70,76,No
24,Brunei Darussalam,2008,520,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC25,30,70,96,No
25,Bulgaria,2008,693,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC26,30,70,100,No
26,Burkina Faso,2008,810,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC27,30,70,854,No
27,Burundi,2008,839,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC28,30,70,108,No
28,Cabo Verde,2008,538,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC29,30,70,132,No
29,Cambodia,2008,748,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC30,30,70,116,No
30,Cameroon,2008,879,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC31,30,70,120,No
31,Canada,2008,346,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC32,30,70,124,No
32,Central African Republic,2008,870,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC33,30,70,140,No
33,Chad,2008,866,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC34,30,70,148,No
34,Chile,2008,419,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC35,30,70,152,No
35,China,2008,604,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC36,30,70,156,No
36,Colombia,2008,404,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC37,30,70,170,No
37,Comoros,2008,789,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC38,30,70,174,No
38,Congo,2008,811,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC39,30,70,178,No
39,Cook Islands,2008,455,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC40,30,70,184,No
40,Costa Rica,2008,409,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC41,30,70,188,No
41,Côte dIvoire,2008,942,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC42,30,70,384,No
42,Croatia,2008,560,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC43,30,70,191,No
43,Cuba,2008,468,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC44,30,70,192,No
44,Cyprus,2008,371,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC45,30,70,196,No
45,Czech Republic,2008,496,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC46,30,70,203,No
46,Democratic Peoples Republic of Korea,2008,548,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC47,30,70,408,No
47,Democratic Republic of the Congo,2008,837,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC48,30,70,180,No
48,Denmark,2008,440,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC49,30,70,208,No
49,Djibouti,2008,809,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC50,30,70,262,No
50,Dominica,2008,632,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC51,30,70,212,No
51,Dominican Republic,2008,573,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC52,30,70,214,No
52,Ecuador,2008,400,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC53,30,70,218,No
53,Egypt,2008,749,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC54,30,70,818,No
54,El Salvador,2008,523,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC55,30,70,222,No
55,Equatorial Guinea,2008,854,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC56,30,70,226,No
56,Eritrea,2008,670,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC57,30,70,232,No
57,Estonia,2008,585,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC58,30,70,233,No
58,Ethiopia,2008,903,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC59,30,70,231,No
59,Ethiopia,2008,903,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC59,30,70,230,No
60,Fiji,2008,752,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC60,30,70,242,No
61,Finland,2008,377,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC61,30,70,246,No
62,France,2008,336,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC62,30,70,250,No
63,Gabon,2008,660,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC63,30,70,266,No
64,Gambia,2008,735,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC64,30,70,270,No
65,Georgia,2008,670,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC65,30,70,268,No
66,Germany,2008,394,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC66,30,70,276,No
67,Ghana,2008,711,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC67,30,70,288,No
68,Greece,2008,388,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC68,30,70,300,No
69,Grenada,2008,580,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC69,30,70,308,No
70,Guatemala,2008,471,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC70,30,70,320,No
71,Guinea,2008,932,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC71,30,70,324,No
72,Guinea-Bissau,2008,916,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC72,30,70,624,No
73,Guyana,2008,677,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC73,30,70,328,No
74,Haiti,2008,697,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC74,30,70,332,No
75,Honduras,2008,729,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC75,30,70,340,No
76,Hungary,2008,648,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC76,30,70,348,No
77,Iceland,2008,332,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC77,30,70,352,No
78,India,2008,685,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC78,30,70,356,No
79,Indonesia,2008,647,Mortality Rate Noncommunicable,per 100k pop,30-70,All,MRNC79,30,70,360,No
