,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2010,0,Mumps,Absolute,All,All,MUMNRC1,0,130,4,No
1,Albania,2012,18,Mumps,Absolute,All,All,MUMNRC2,0,130,8,No
2,Albania,2010,21,Mumps,Absolute,All,All,MUMNRC3,0,130,8,No
3,Albania,2009,22,Mumps,Absolute,All,All,MUMNRC4,0,130,8,No
4,Algeria,2012,0,Mumps,Absolute,All,All,MUMNRC5,0,130,12,No
5,Algeria,2011,0,Mumps,Absolute,All,All,MUMNRC6,0,130,12,No
6,Algeria,2010,0,Mumps,Absolute,All,All,MUMNRC7,0,130,12,No
7,Andorra,2012,1,Mumps,Absolute,All,All,MUMNRC8,0,130,20,No
8,Andorra,2011,0,Mumps,Absolute,All,All,MUMNRC9,0,130,20,No
9,Andorra,2010,0,Mumps,Absolute,All,All,MUMNRC10,0,130,20,No
10,Andorra,2009,0,Mumps,Absolute,All,All,MUMNRC11,0,130,20,No
11,Angola,2010,0,Mumps,Absolute,All,All,MUMNRC12,0,130,24,No
12,Angola,2009,0,Mumps,Absolute,All,All,MUMNRC13,0,130,24,No
13,Antigua and Barbuda,2012,0,Mumps,Absolute,All,All,MUMNRC14,0,130,28,No
14,Antigua and Barbuda,2011,0,Mumps,Absolute,All,All,MUMNRC15,0,130,28,No
15,Antigua and Barbuda,2010,0,Mumps,Absolute,All,All,MUMNRC16,0,130,28,No
16,Antigua and Barbuda,2009,0,Mumps,Absolute,All,All,MUMNRC17,0,130,28,No
17,Argentina,2012,4619,Mumps,Absolute,All,All,MUMNRC18,0,130,32,No
18,Argentina,2011,5481,Mumps,Absolute,All,All,MUMNRC19,0,130,32,No
19,Argentina,2010,5083,Mumps,Absolute,All,All,MUMNRC20,0,130,32,No
20,Argentina,2009,5913,Mumps,Absolute,All,All,MUMNRC21,0,130,32,No
21,Armenia,2012,6,Mumps,Absolute,All,All,MUMNRC22,0,130,51,No
22,Armenia,2011,15,Mumps,Absolute,All,All,MUMNRC23,0,130,51,No
23,Armenia,2010,38,Mumps,Absolute,All,All,MUMNRC24,0,130,51,No
24,Armenia,2009,71,Mumps,Absolute,All,All,MUMNRC25,0,130,51,No
25,Australia,2012,195,Mumps,Absolute,All,All,MUMNRC26,0,130,36,No
26,Australia,2011,145,Mumps,Absolute,All,All,MUMNRC27,0,130,36,No
27,Australia,2010,89,Mumps,Absolute,All,All,MUMNRC28,0,130,36,No
28,Australia,2009,164,Mumps,Absolute,All,All,MUMNRC29,0,130,36,No
29,Azerbaijan,2012,126,Mumps,Absolute,All,All,MUMNRC30,0,130,31,No
30,Azerbaijan,2011,101,Mumps,Absolute,All,All,MUMNRC31,0,130,31,No
31,Azerbaijan,2010,125,Mumps,Absolute,All,All,MUMNRC32,0,130,31,No
32,Azerbaijan,2009,232,Mumps,Absolute,All,All,MUMNRC33,0,130,31,No
33,Bahamas,2012,0,Mumps,Absolute,All,All,MUMNRC34,0,130,44,No
34,Bahamas,2011,0,Mumps,Absolute,All,All,MUMNRC35,0,130,44,No
35,Bahamas,2010,0,Mumps,Absolute,All,All,MUMNRC36,0,130,44,No
36,Bahamas,2009,3,Mumps,Absolute,All,All,MUMNRC37,0,130,44,No
37,Bahrain,2012,29,Mumps,Absolute,All,All,MUMNRC38,0,130,48,No
38,Bahrain,2011,18,Mumps,Absolute,All,All,MUMNRC39,0,130,48,No
39,Bahrain,2010,46,Mumps,Absolute,All,All,MUMNRC40,0,130,48,No
40,Bahrain,2009,16,Mumps,Absolute,All,All,MUMNRC41,0,130,48,No
41,Barbados,2012,0,Mumps,Absolute,All,All,MUMNRC42,0,130,52,No
42,Barbados,2011,0,Mumps,Absolute,All,All,MUMNRC43,0,130,52,No
43,Barbados,2010,0,Mumps,Absolute,All,All,MUMNRC44,0,130,52,No
44,Barbados,2009,0,Mumps,Absolute,All,All,MUMNRC45,0,130,52,No
45,Belarus,2012,61,Mumps,Absolute,All,All,MUMNRC46,0,130,112,No
46,Belarus,2011,48,Mumps,Absolute,All,All,MUMNRC47,0,130,112,No
47,Belarus,2010,88,Mumps,Absolute,All,All,MUMNRC48,0,130,112,No
48,Belarus,2009,172,Mumps,Absolute,All,All,MUMNRC49,0,130,112,No
49,Belgium,2012,2687,Mumps,Absolute,All,All,MUMNRC50,0,130,56,No
50,Belgium,2011,15,Mumps,Absolute,All,All,MUMNRC51,0,130,56,No
51,Belgium,2010,31,Mumps,Absolute,All,All,MUMNRC52,0,130,56,No
52,Belgium,2009,59,Mumps,Absolute,All,All,MUMNRC53,0,130,56,No
53,Belize,2012,2,Mumps,Absolute,All,All,MUMNRC54,0,130,84,No
54,Belize,2011,0,Mumps,Absolute,All,All,MUMNRC55,0,130,84,No
55,Belize,2010,0,Mumps,Absolute,All,All,MUMNRC56,0,130,84,No
56,Belize,2009,0,Mumps,Absolute,All,All,MUMNRC57,0,130,84,No
57,Bhutan,2012,198,Mumps,Absolute,All,All,MUMNRC58,0,130,64,No
58,Bhutan,2011,262,Mumps,Absolute,All,All,MUMNRC59,0,130,64,No
59,Bhutan,2010,218,Mumps,Absolute,All,All,MUMNRC60,0,130,64,No
60,Bolivia (Plurinational State of),2012,0,Mumps,Absolute,All,All,MUMNRC61,0,130,68,No
61,Bolivia (Plurinational State of),2011,1096,Mumps,Absolute,All,All,MUMNRC62,0,130,68,No
62,Bolivia (Plurinational State of),2010,1781,Mumps,Absolute,All,All,MUMNRC63,0,130,68,No
63,Bolivia (Plurinational State of),2009,3696,Mumps,Absolute,All,All,MUMNRC64,0,130,68,No
64,Bosnia and Herzegovina,2012,7881,Mumps,Absolute,All,All,MUMNRC65,0,130,70,No
65,Bosnia and Herzegovina,2011,8209,Mumps,Absolute,All,All,MUMNRC66,0,130,70,No
66,Bosnia and Herzegovina,2010,209,Mumps,Absolute,All,All,MUMNRC67,0,130,70,No
67,Bosnia and Herzegovina,2009,474,Mumps,Absolute,All,All,MUMNRC68,0,130,70,No
68,Brazil,2012,0,Mumps,Absolute,All,All,MUMNRC69,0,130,76,No
69,Brazil,2011,0,Mumps,Absolute,All,All,MUMNRC70,0,130,76,No
70,Brazil,2010,0,Mumps,Absolute,All,All,MUMNRC71,0,130,76,No
71,Brazil,2009,0,Mumps,Absolute,All,All,MUMNRC72,0,130,76,No
72,Brunei Darussalam,2012,14,Mumps,Absolute,All,All,MUMNRC73,0,130,96,No
73,Brunei Darussalam,2011,19,Mumps,Absolute,All,All,MUMNRC74,0,130,96,No
74,Brunei Darussalam,2010,12,Mumps,Absolute,All,All,MUMNRC75,0,130,96,No
75,Brunei Darussalam,2009,1,Mumps,Absolute,All,All,MUMNRC76,0,130,96,No
76,Bulgaria,2012,58,Mumps,Absolute,All,All,MUMNRC77,0,130,100,No
77,Bulgaria,2011,139,Mumps,Absolute,All,All,MUMNRC78,0,130,100,No
78,Bulgaria,2010,317,Mumps,Absolute,All,All,MUMNRC79,0,130,100,No
79,Bulgaria,2009,1111,Mumps,Absolute,All,All,MUMNRC80,0,130,100,No
80,Burkina Faso,2011,0,Mumps,Absolute,All,All,MUMNRC81,0,130,854,No
81,Burundi,2011,0,Mumps,Absolute,All,All,MUMNRC82,0,130,108,No
82,Burundi,2010,0,Mumps,Absolute,All,All,MUMNRC83,0,130,108,No
83,Burundi,2009,0,Mumps,Absolute,All,All,MUMNRC84,0,130,108,No
84,Cabo Verde,2012,40,Mumps,Absolute,All,All,MUMNRC85,0,130,132,No
