,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,104,Number of dentists,Absolute,All,All,NOD1,0,130,4,No
1,Afghanistan,2010,103,Number of dentists,Absolute,All,All,NOD2,0,130,4,No
2,Afghanistan,2009,107,Number of dentists,Absolute,All,All,NOD3,0,130,4,No
3,Afghanistan,2008,382,Number of dentists,Absolute,All,All,NOD4,0,130,4,No
4,Afghanistan,2007,311,Number of dentists,Absolute,All,All,NOD5,0,130,4,No
5,Afghanistan,2006,337,Number of dentists,Absolute,All,All,NOD6,0,130,4,No
6,Afghanistan,2005,900,Number of dentists,Absolute,All,All,NOD7,0,130,4,No
7,Afghanistan,2001,630,Number of dentists,Absolute,All,All,NOD8,0,130,4,No
8,Algeria,2007,10621,Number of dentists,Absolute,All,All,NOD9,0,130,12,No
9,Algeria,2005,9022,Number of dentists,Absolute,All,All,NOD10,0,130,12,No
10,Algeria,2002,8861,Number of dentists,Absolute,All,All,NOD11,0,130,12,No
11,Andorra,2003,44,Number of dentists,Absolute,All,All,NOD12,0,130,20,No
12,Angola,2004,222,Number of dentists,Absolute,All,All,NOD13,0,130,24,No
13,Angola,1997,2,Number of dentists,Absolute,All,All,NOD14,0,130,24,No
14,Antigua and Barbuda,1997,13,Number of dentists,Absolute,All,All,NOD15,0,130,28,No
15,Argentina,2004,35592,Number of dentists,Absolute,All,All,NOD16,0,130,32,No
16,Argentina,1998,28900,Number of dentists,Absolute,All,All,NOD17,0,130,32,No
17,Armenia,2012,1290,Number of dentists,Absolute,All,All,NOD18,0,130,51,No
18,Australia,2011,12154,Number of dentists,Absolute,All,All,NOD19,0,130,36,No
19,Australia,2009,14500,Number of dentists,Absolute,All,All,NOD20,0,130,36,No
20,Australia,2006,29624,Number of dentists,Absolute,All,All,NOD21,0,130,36,No
21,Australia,2001,8200,Number of dentists,Absolute,All,All,NOD22,0,130,36,No
22,Australia,1996,23318,Number of dentists,Absolute,All,All,NOD23,0,130,36,No
23,Austria,2012,4797,Number of dentists,Absolute,All,All,NOD24,0,130,40,No
24,Austria,2003,4037,Number of dentists,Absolute,All,All,NOD25,0,130,40,No
25,Azerbaijan,2012,2461,Number of dentists,Absolute,All,All,NOD26,0,130,31,No
26,Bahamas,2008,79,Number of dentists,Absolute,All,All,NOD27,0,130,44,No
27,Bahamas,1998,21,Number of dentists,Absolute,All,All,NOD28,0,130,44,No
28,Bahrain,2011,127,Number of dentists,Absolute,All,All,NOD29,0,130,48,No
29,Bahrain,2010,122,Number of dentists,Absolute,All,All,NOD30,0,130,48,No
30,Bahrain,2009,118,Number of dentists,Absolute,All,All,NOD31,0,130,48,No
31,Bahrain,2008,119,Number of dentists,Absolute,All,All,NOD32,0,130,48,No
32,Bahrain,2007,114,Number of dentists,Absolute,All,All,NOD33,0,130,48,No
33,Bahrain,2005,300,Number of dentists,Absolute,All,All,NOD34,0,130,48,No
34,Bahrain,2004,180,Number of dentists,Absolute,All,All,NOD35,0,130,48,No
35,Bangladesh,2011,4165,Number of dentists,Absolute,All,All,NOD36,0,130,50,No
36,Bangladesh,2007,2742,Number of dentists,Absolute,All,All,NOD37,0,130,50,No
37,Bangladesh,2005,2344,Number of dentists,Absolute,All,All,NOD38,0,130,50,No
38,Bangladesh,2004,1948,Number of dentists,Absolute,All,All,NOD39,0,130,50,No
39,Bangladesh,2002,1886,Number of dentists,Absolute,All,All,NOD40,0,130,50,No
40,Barbados,2005,83,Number of dentists,Absolute,All,All,NOD41,0,130,52,No
41,Barbados,2001,60,Number of dentists,Absolute,All,All,NOD42,0,130,52,No
42,Barbados,1995,50,Number of dentists,Absolute,All,All,NOD43,0,130,52,No
43,Belarus,2011,5123,Number of dentists,Absolute,All,All,NOD44,0,130,112,No
44,Belgium,2011,7777,Number of dentists,Absolute,All,All,NOD45,0,130,56,No
45,Belgium,2010,8313,Number of dentists,Absolute,All,All,NOD46,0,130,56,No
46,Belize,2009,12,Number of dentists,Absolute,All,All,NOD47,0,130,84,No
47,Belize,2000,32,Number of dentists,Absolute,All,All,NOD48,0,130,84,No
48,Benin,2008,37,Number of dentists,Absolute,All,All,NOD49,0,130,204,No
49,Benin,2004,11,Number of dentists,Absolute,All,All,NOD50,0,130,204,No
50,Bhutan,2007,7,Number of dentists,Absolute,All,All,NOD51,0,130,64,No
51,Bhutan,2004,10,Number of dentists,Absolute,All,All,NOD52,0,130,64,No
52,Bolivia (Plurinational State of),2011,1130,Number of dentists,Absolute,All,All,NOD53,0,130,68,No
53,Bolivia (Plurinational State of),2010,976,Number of dentists,Absolute,All,All,NOD54,0,130,68,No
54,Bolivia (Plurinational State of),2007,598,Number of dentists,Absolute,All,All,NOD55,0,130,68,No
55,Bolivia (Plurinational State of),2001,5255,Number of dentists,Absolute,All,All,NOD56,0,130,68,No
56,Botswana,2004,38,Number of dentists,Absolute,All,All,NOD57,0,130,72,No
57,Brazil,2009,231399,Number of dentists,Absolute,All,All,NOD58,0,130,76,No
58,Brazil,2008,227141,Number of dentists,Absolute,All,All,NOD59,0,130,76,No
59,Brazil,2007,219827,Number of dentists,Absolute,All,All,NOD60,0,130,76,No
60,Brazil,2006,217217,Number of dentists,Absolute,All,All,NOD61,0,130,76,No
61,Brazil,2005,207904,Number of dentists,Absolute,All,All,NOD62,0,130,76,No
62,Brazil,2004,178025,Number of dentists,Absolute,All,All,NOD63,0,130,76,No
63,Brazil,2000,153412,Number of dentists,Absolute,All,All,NOD64,0,130,76,No
64,Brazil,1991,101326,Number of dentists,Absolute,All,All,NOD65,0,130,76,No
65,Brunei Darussalam,2011,95,Number of dentists,Absolute,All,All,NOD66,0,130,96,No
66,Brunei Darussalam,2010,86,Number of dentists,Absolute,All,All,NOD67,0,130,96,No
67,Brunei Darussalam,2008,82,Number of dentists,Absolute,All,All,NOD68,0,130,96,No
68,Brunei Darussalam,2007,81,Number of dentists,Absolute,All,All,NOD69,0,130,96,No
69,Brunei Darussalam,2002,70,Number of dentists,Absolute,All,All,NOD70,0,130,96,No
70,Brunei Darussalam,2000,48,Number of dentists,Absolute,All,All,NOD71,0,130,96,No
