,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2007,948,Number of health management and support workers,Absolute,All,All,NOHMASW1,0,130,12,No
1,Algeria,2005,61593,Number of health management and support workers,Absolute,All,All,NOHMASW2,0,130,12,No
2,Algeria,2002,60316,Number of health management and support workers,Absolute,All,All,NOHMASW3,0,130,12,No
3,Angola,2004,256,Number of health management and support workers,Absolute,All,All,NOHMASW4,0,130,24,No
4,Australia,2006,1954,Number of health management and support workers,Absolute,All,All,NOHMASW5,0,130,36,No
5,Australia,2001,488313,Number of health management and support workers,Absolute,All,All,NOHMASW6,0,130,36,No
6,Bahrain,2004,2061,Number of health management and support workers,Absolute,All,All,NOHMASW7,0,130,48,No
7,Barbados,2005,6,Number of health management and support workers,Absolute,All,All,NOHMASW8,0,130,52,No
8,Barbados,2001,6,Number of health management and support workers,Absolute,All,All,NOHMASW9,0,130,52,No
9,Barbados,1995,6,Number of health management and support workers,Absolute,All,All,NOHMASW10,0,130,52,No
10,Benin,2008,6085,Number of health management and support workers,Absolute,All,All,NOHMASW11,0,130,204,No
11,Benin,2004,3279,Number of health management and support workers,Absolute,All,All,NOHMASW12,0,130,204,No
12,Bhutan,2012,1807,Number of health management and support workers,Absolute,All,All,NOHMASW13,0,130,64,No
13,Bhutan,2008,1429,Number of health management and support workers,Absolute,All,All,NOHMASW14,0,130,64,No
14,Bhutan,2007,1250,Number of health management and support workers,Absolute,All,All,NOHMASW15,0,130,64,No
15,Bhutan,2004,1197,Number of health management and support workers,Absolute,All,All,NOHMASW16,0,130,64,No
16,Bolivia (Plurinational State of),2011,9269,Number of health management and support workers,Absolute,All,All,NOHMASW17,0,130,68,No
17,Bolivia (Plurinational State of),2010,4349,Number of health management and support workers,Absolute,All,All,NOHMASW18,0,130,68,No
18,Bolivia (Plurinational State of),2007,3015,Number of health management and support workers,Absolute,All,All,NOHMASW19,0,130,68,No
19,Bolivia (Plurinational State of),2001,8107,Number of health management and support workers,Absolute,All,All,NOHMASW20,0,130,68,No
20,Brazil,2000,839376,Number of health management and support workers,Absolute,All,All,NOHMASW21,0,130,76,No
21,Burkina Faso,2006,128,Number of health management and support workers,Absolute,All,All,NOHMASW22,0,130,854,No
22,Burkina Faso,2004,210,Number of health management and support workers,Absolute,All,All,NOHMASW23,0,130,854,No
23,Burundi,2004,2087,Number of health management and support workers,Absolute,All,All,NOHMASW24,0,130,108,No
24,Cabo Verde,2010,2,Number of health management and support workers,Absolute,All,All,NOHMASW25,0,130,132,No
25,Cabo Verde,2009,2,Number of health management and support workers,Absolute,All,All,NOHMASW26,0,130,132,No
26,Cabo Verde,2008,1153,Number of health management and support workers,Absolute,All,All,NOHMASW27,0,130,132,No
27,Cabo Verde,2007,2,Number of health management and support workers,Absolute,All,All,NOHMASW28,0,130,132,No
28,Cabo Verde,2006,2,Number of health management and support workers,Absolute,All,All,NOHMASW29,0,130,132,No
29,Cabo Verde,2004,74,Number of health management and support workers,Absolute,All,All,NOHMASW30,0,130,132,No
30,Cameroon,2009,22,Number of health management and support workers,Absolute,All,All,NOHMASW31,0,130,120,No
31,Cameroon,2007,11,Number of health management and support workers,Absolute,All,All,NOHMASW32,0,130,120,No
32,Cameroon,2005,11,Number of health management and support workers,Absolute,All,All,NOHMASW33,0,130,120,No
33,Cameroon,2004,5902,Number of health management and support workers,Absolute,All,All,NOHMASW34,0,130,120,No
34,Canada,2008,3929,Number of health management and support workers,Absolute,All,All,NOHMASW35,0,130,124,No
35,Canada,2006,3216,Number of health management and support workers,Absolute,All,All,NOHMASW36,0,130,124,No
36,Canada,2004,2461,Number of health management and support workers,Absolute,All,All,NOHMASW37,0,130,124,No
37,Canada,2002,2406,Number of health management and support workers,Absolute,All,All,NOHMASW38,0,130,124,No
38,Canada,2001,2412,Number of health management and support workers,Absolute,All,All,NOHMASW39,0,130,124,No
39,Canada,1998,2835,Number of health management and support workers,Absolute,All,All,NOHMASW40,0,130,124,No
40,Central African Republic,2009,37,Number of health management and support workers,Absolute,All,All,NOHMASW41,0,130,140,No
41,Central African Republic,2008,33,Number of health management and support workers,Absolute,All,All,NOHMASW42,0,130,140,No
42,Central African Republic,2004,167,Number of health management and support workers,Absolute,All,All,NOHMASW43,0,130,140,No
43,Chad,2004,1502,Number of health management and support workers,Absolute,All,All,NOHMASW44,0,130,148,No
44,China,2010,949320,Number of health management and support workers,Absolute,All,All,NOHMASW45,0,130,156,No
45,China,2009,920327,Number of health management and support workers,Absolute,All,All,NOHMASW46,0,130,156,No
46,China,2001,1077000,Number of health management and support workers,Absolute,All,All,NOHMASW47,0,130,156,No
47,Comoros,2004,271,Number of health management and support workers,Absolute,All,All,NOHMASW48,0,130,174,No
48,Congo,2007,2617,Number of health management and support workers,Absolute,All,All,NOHMASW49,0,130,178,No
49,Congo,2006,1036,Number of health management and support workers,Absolute,All,All,NOHMASW50,0,130,178,No
50,Congo,2004,987,Number of health management and support workers,Absolute,All,All,NOHMASW51,0,130,178,No
51,Congo,1998,522,Number of health management and support workers,Absolute,All,All,NOHMASW52,0,130,178,No
52,Cook Islands,2009,18,Number of health management and support workers,Absolute,All,All,NOHMASW53,0,130,184,No
53,Costa Rica,2013,638,Number of health management and support workers,Absolute,All,All,NOHMASW54,0,130,188,No
54,Costa Rica,2000,18406,Number of health management and support workers,Absolute,All,All,NOHMASW55,0,130,188,No
55,Côte dIvoire,2008,2561,Number of health management and support workers,Absolute,All,All,NOHMASW56,0,130,384,No
56,Côte dIvoire,2005,2420,Number of health management and support workers,Absolute,All,All,NOHMASW57,0,130,384,No
57,Côte dIvoire,2004,2107,Number of health management and support workers,Absolute,All,All,NOHMASW58,0,130,384,No
58,Cuba,2010,2153,Number of health management and support workers,Absolute,All,All,NOHMASW59,0,130,192,No
59,Cyprus,2008,6,Number of health management and support workers,Absolute,All,All,NOHMASW60,0,130,196,No
60,Cyprus,2006,5,Number of health management and support workers,Absolute,All,All,NOHMASW61,0,130,196,No
61,Democratic Republic of the Congo,2004,15013,Number of health management and support workers,Absolute,All,All,NOHMASW62,0,130,180,No
62,Djibouti,2005,232,Number of health management and support workers,Absolute,All,All,NOHMASW63,0,130,262,No
63,Djibouti,2004,232,Number of health management and support workers,Absolute,All,All,NOHMASW64,0,130,262,No
64,Ecuador,2009,19869,Number of health management and support workers,Absolute,All,All,NOHMASW65,0,130,218,No
65,Ecuador,2003,13746,Number of health management and support workers,Absolute,All,All,NOHMASW66,0,130,218,No
66,Ecuador,2002,14892,Number of health management and support workers,Absolute,All,All,NOHMASW67,0,130,218,No
67,Ecuador,2001,14471,Number of health management and support workers,Absolute,All,All,NOHMASW68,0,130,218,No
68,Ecuador,2000,14613,Number of health management and support workers,Absolute,All,All,NOHMASW69,0,130,218,No
69,Ecuador,1999,14977,Number of health management and support workers,Absolute,All,All,NOHMASW70,0,130,218,No
70,Ecuador,1998,15031,Number of health management and support workers,Absolute,All,All,NOHMASW71,0,130,218,No
71,Ecuador,1997,14539,Number of health management and support workers,Absolute,All,All,NOHMASW72,0,130,218,No
72,Ecuador,1996,13960,Number of health management and support workers,Absolute,All,All,NOHMASW73,0,130,218,No
73,Ecuador,1995,3779,Number of health management and support workers,Absolute,All,All,NOHMASW74,0,130,218,No
74,Ecuador,1994,13587,Number of health management and support workers,Absolute,All,All,NOHMASW75,0,130,218,No
75,Ecuador,1993,11089,Number of health management and support workers,Absolute,All,All,NOHMASW76,0,130,218,No
76,Ecuador,1992,13272,Number of health management and support workers,Absolute,All,All,NOHMASW77,0,130,218,No
77,Ecuador,1991,12773,Number of health management and support workers,Absolute,All,All,NOHMASW78,0,130,218,No
78,Ecuador,1990,12149,Number of health management and support workers,Absolute,All,All,NOHMASW79,0,130,218,No
79,Ecuador,1989,11656,Number of health management and support workers,Absolute,All,All,NOHMASW80,0,130,218,No
80,Ecuador,1988,11386,Number of health management and support workers,Absolute,All,All,NOHMASW81,0,130,218,No
81,Ecuador,1987,10266,Number of health management and support workers,Absolute,All,All,NOHMASW82,0,130,218,No
82,Ecuador,1986,9630,Number of health management and support workers,Absolute,All,All,NOHMASW83,0,130,218,No
83,Ecuador,1985,9847,Number of health management and support workers,Absolute,All,All,NOHMASW84,0,130,218,No
84,Ecuador,1984,9630,Number of health management and support workers,Absolute,All,All,NOHMASW85,0,130,218,No
85,Ecuador,1983,9092,Number of health management and support workers,Absolute,All,All,NOHMASW86,0,130,218,No
86,Ecuador,1982,8705,Number of health management and support workers,Absolute,All,All,NOHMASW87,0,130,218,No
87,Ecuador,1981,7896,Number of health management and support workers,Absolute,All,All,NOHMASW88,0,130,218,No
88,Egypt,2004,5167,Number of health management and support workers,Absolute,All,All,NOHMASW89,0,130,818,No
89,Equatorial Guinea,2004,74,Number of health management and support workers,Absolute,All,All,NOHMASW90,0,130,226,No
90,Eritrea,2004,765,Number of health management and support workers,Absolute,All,All,NOHMASW91,0,130,232,No
91,Estonia,2000,10859,Number of health management and support workers,Absolute,All,All,NOHMASW92,0,130,233,No
92,Fiji,2009,264,Number of health management and support workers,Absolute,All,All,NOHMASW93,0,130,242,No
93,Gabon,2004,144,Number of health management and support workers,Absolute,All,All,NOHMASW94,0,130,266,No
94,Gambia,2008,284,Number of health management and support workers,Absolute,All,All,NOHMASW95,0,130,270,No
95,Gambia,2007,285,Number of health management and support workers,Absolute,All,All,NOHMASW96,0,130,270,No
96,Gambia,2006,210,Number of health management and support workers,Absolute,All,All,NOHMASW97,0,130,270,No
97,Gambia,2005,204,Number of health management and support workers,Absolute,All,All,NOHMASW98,0,130,270,No
98,Gambia,2004,205,Number of health management and support workers,Absolute,All,All,NOHMASW99,0,130,270,No
99,Gambia,2003,391,Number of health management and support workers,Absolute,All,All,NOHMASW100,0,130,270,No
100,Ghana,2008,249,Number of health management and support workers,Absolute,All,All,NOHMASW101,0,130,288,No
101,Ghana,2007,21205,Number of health management and support workers,Absolute,All,All,NOHMASW102,0,130,288,No
102,Ghana,2004,19151,Number of health management and support workers,Absolute,All,All,NOHMASW103,0,130,288,No
103,Grenada,2003,4,Number of health management and support workers,Absolute,All,All,NOHMASW104,0,130,308,No
104,Grenada,2002,4,Number of health management and support workers,Absolute,All,All,NOHMASW105,0,130,308,No
105,Grenada,2001,4,Number of health management and support workers,Absolute,All,All,NOHMASW106,0,130,308,No
106,Grenada,2000,4,Number of health management and support workers,Absolute,All,All,NOHMASW107,0,130,308,No
107,Grenada,1999,4,Number of health management and support workers,Absolute,All,All,NOHMASW108,0,130,308,No
108,Guinea,2005,470,Number of health management and support workers,Absolute,All,All,NOHMASW109,0,130,324,No
109,Guinea,2004,511,Number of health management and support workers,Absolute,All,All,NOHMASW110,0,130,324,No
110,Guinea,2000,443,Number of health management and support workers,Absolute,All,All,NOHMASW111,0,130,324,No
111,Guinea-Bissau,2008,658,Number of health management and support workers,Absolute,All,All,NOHMASW112,0,130,624,No
112,Guinea-Bissau,2004,38,Number of health management and support workers,Absolute,All,All,NOHMASW113,0,130,624,No
113,Honduras,2005,5534,Number of health management and support workers,Absolute,All,All,NOHMASW114,0,130,340,No
114,Indonesia,2012,125517,Number of health management and support workers,Absolute,All,All,NOHMASW115,0,130,360,No
115,Indonesia,2010,114837,Number of health management and support workers,Absolute,All,All,NOHMASW116,0,130,360,No
116,Indonesia,2009,60116,Number of health management and support workers,Absolute,All,All,NOHMASW117,0,130,360,No
117,Indonesia,2003,228095,Number of health management and support workers,Absolute,All,All,NOHMASW118,0,130,360,No
118,Indonesia,1992,15421,Number of health management and support workers,Absolute,All,All,NOHMASW119,0,130,360,No
119,Iran (Islamic Republic of),2004,149701,Number of health management and support workers,Absolute,All,All,NOHMASW120,0,130,364,No
120,Jordan,2004,25494,Number of health management and support workers,Absolute,All,All,NOHMASW121,0,130,400,No
121,Kenya,2004,1797,Number of health management and support workers,Absolute,All,All,NOHMASW122,0,130,404,No
