,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,73,Number of infant deaths,Thousands,0-1,All,NOIDIT1,0,1,4,No
1,Afghanistan,2010,80,Number of infant deaths,Thousands,0-1,All,NOIDIT2,0,1,4,No
2,Afghanistan,2005,90,Number of infant deaths,Thousands,0-1,All,NOIDIT3,0,1,4,No
3,Afghanistan,2000,95,Number of infant deaths,Thousands,0-1,All,NOIDIT4,0,1,4,No
4,Afghanistan,1995,86,Number of infant deaths,Thousands,0-1,All,NOIDIT5,0,1,4,No
5,Afghanistan,1990,66,Number of infant deaths,Thousands,0-1,All,NOIDIT6,0,1,4,No
6,Albania,2012,1,Number of infant deaths,Thousands,0-1,All,NOIDIT7,0,1,8,No
7,Albania,2010,1,Number of infant deaths,Thousands,0-1,All,NOIDIT8,0,1,8,No
8,Albania,2005,1,Number of infant deaths,Thousands,0-1,All,NOIDIT9,0,1,8,No
9,Albania,2000,2,Number of infant deaths,Thousands,0-1,All,NOIDIT10,0,1,8,No
10,Albania,1995,2,Number of infant deaths,Thousands,0-1,All,NOIDIT11,0,1,8,No
11,Albania,1990,3,Number of infant deaths,Thousands,0-1,All,NOIDIT12,0,1,8,No
12,Algeria,2012,17,Number of infant deaths,Thousands,0-1,All,NOIDIT13,0,1,12,No
13,Algeria,2010,18,Number of infant deaths,Thousands,0-1,All,NOIDIT14,0,1,12,No
14,Algeria,2005,15,Number of infant deaths,Thousands,0-1,All,NOIDIT15,0,1,12,No
15,Algeria,2000,17,Number of infant deaths,Thousands,0-1,All,NOIDIT16,0,1,12,No
16,Algeria,1995,27,Number of infant deaths,Thousands,0-1,All,NOIDIT17,0,1,12,No
17,Algeria,1990,34,Number of infant deaths,Thousands,0-1,All,NOIDIT18,0,1,12,No
18,Andorra,2012,0,Number of infant deaths,Thousands,0-1,All,NOIDIT19,0,1,20,No
19,Andorra,2010,0,Number of infant deaths,Thousands,0-1,All,NOIDIT20,0,1,20,No
20,Andorra,2005,0,Number of infant deaths,Thousands,0-1,All,NOIDIT21,0,1,20,No
21,Andorra,2000,0,Number of infant deaths,Thousands,0-1,All,NOIDIT22,0,1,20,No
22,Andorra,1995,0,Number of infant deaths,Thousands,0-1,All,NOIDIT23,0,1,20,No
23,Andorra,1990,0,Number of infant deaths,Thousands,0-1,All,NOIDIT24,0,1,20,No
24,Angola,2012,90,Number of infant deaths,Thousands,0-1,All,NOIDIT25,0,1,24,No
25,Angola,2010,93,Number of infant deaths,Thousands,0-1,All,NOIDIT26,0,1,24,No
26,Angola,2005,92,Number of infant deaths,Thousands,0-1,All,NOIDIT27,0,1,24,No
27,Angola,2000,81,Number of infant deaths,Thousands,0-1,All,NOIDIT28,0,1,24,No
28,Angola,1995,72,Number of infant deaths,Thousands,0-1,All,NOIDIT29,0,1,24,No
29,Angola,1990,64,Number of infant deaths,Thousands,0-1,All,NOIDIT30,0,1,24,No
30,Antigua and Barbuda,2012,0,Number of infant deaths,Thousands,0-1,All,NOIDIT31,0,1,28,No
31,Antigua and Barbuda,2010,0,Number of infant deaths,Thousands,0-1,All,NOIDIT32,0,1,28,No
32,Antigua and Barbuda,2005,0,Number of infant deaths,Thousands,0-1,All,NOIDIT33,0,1,28,No
