,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2007,9888,Number of laboratory health workers,Absolute,All,All,NOLHW1,0,130,12,No
1,Algeria,2002,8838,Number of laboratory health workers,Absolute,All,All,NOLHW2,0,130,12,No
2,Angola,2004,2029,Number of laboratory health workers,Absolute,All,All,NOLHW3,0,130,24,No
3,Argentina,2004,19629,Number of laboratory health workers,Absolute,All,All,NOLHW4,0,130,32,No
4,Australia,2006,10477,Number of laboratory health workers,Absolute,All,All,NOLHW5,0,130,36,No
5,Australia,2001,8326,Number of laboratory health workers,Absolute,All,All,NOLHW6,0,130,36,No
6,Australia,1996,6513,Number of laboratory health workers,Absolute,All,All,NOLHW7,0,130,36,No
7,Bahamas,2008,171,Number of laboratory health workers,Absolute,All,All,NOLHW8,0,130,44,No
8,Bahrain,2011,422,Number of laboratory health workers,Absolute,All,All,NOLHW9,0,130,48,No
9,Bahrain,2010,430,Number of laboratory health workers,Absolute,All,All,NOLHW10,0,130,48,No
10,Bahrain,2009,380,Number of laboratory health workers,Absolute,All,All,NOLHW11,0,130,48,No
11,Bahrain,2008,380,Number of laboratory health workers,Absolute,All,All,NOLHW12,0,130,48,No
12,Bahrain,2004,479,Number of laboratory health workers,Absolute,All,All,NOLHW13,0,130,48,No
13,Bangladesh,2007,3794,Number of laboratory health workers,Absolute,All,All,NOLHW14,0,130,50,No
14,Bangladesh,2005,1985,Number of laboratory health workers,Absolute,All,All,NOLHW15,0,130,50,No
15,Bangladesh,2004,3794,Number of laboratory health workers,Absolute,All,All,NOLHW16,0,130,50,No
16,Bangladesh,2002,3676,Number of laboratory health workers,Absolute,All,All,NOLHW17,0,130,50,No
17,Barbados,2005,14,Number of laboratory health workers,Absolute,All,All,NOLHW18,0,130,52,No
18,Barbados,2001,71,Number of laboratory health workers,Absolute,All,All,NOLHW19,0,130,52,No
19,Barbados,1995,79,Number of laboratory health workers,Absolute,All,All,NOLHW20,0,130,52,No
20,Benin,2008,245,Number of laboratory health workers,Absolute,All,All,NOLHW21,0,130,204,No
