,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2007,4922,Number of laboratory technician assistants,Absolute,All,All,NOLTAS1,0,130,12,No
1,Algeria,2002,898,Number of laboratory technician assistants,Absolute,All,All,NOLTAS2,0,130,12,No
2,Angola,2004,1376,Number of laboratory technician assistants,Absolute,All,All,NOLTAS3,0,130,24,No
3,Bahamas,2008,114,Number of laboratory technician assistants,Absolute,All,All,NOLTAS4,0,130,44,No
4,Bahrain,2011,302,Number of laboratory technician assistants,Absolute,All,All,NOLTAS5,0,130,48,No
5,Bahrain,2010,307,Number of laboratory technician assistants,Absolute,All,All,NOLTAS6,0,130,48,No
6,Bahrain,2009,271,Number of laboratory technician assistants,Absolute,All,All,NOLTAS7,0,130,48,No
7,Bahrain,2008,269,Number of laboratory technician assistants,Absolute,All,All,NOLTAS8,0,130,48,No
8,Bahrain,2004,219,Number of laboratory technician assistants,Absolute,All,All,NOLTAS9,0,130,48,No
9,Bangladesh,2005,1311,Number of laboratory technician assistants,Absolute,All,All,NOLTAS10,0,130,50,No
10,Bangladesh,2004,2581,Number of laboratory technician assistants,Absolute,All,All,NOLTAS11,0,130,50,No
11,Bangladesh,2002,2220,Number of laboratory technician assistants,Absolute,All,All,NOLTAS12,0,130,50,No
12,Barbados,2005,2,Number of laboratory technician assistants,Absolute,All,All,NOLTAS13,0,130,52,No
13,Barbados,2001,51,Number of laboratory technician assistants,Absolute,All,All,NOLTAS14,0,130,52,No
14,Barbados,1995,49,Number of laboratory technician assistants,Absolute,All,All,NOLTAS15,0,130,52,No
15,Benin,2008,245,Number of laboratory technician assistants,Absolute,All,All,NOLTAS16,0,130,204,No
16,Benin,2004,399,Number of laboratory technician assistants,Absolute,All,All,NOLTAS17,0,130,204,No
17,Bhutan,2012,27,Number of laboratory technician assistants,Absolute,All,All,NOLTAS18,0,130,64,No
18,Bhutan,2008,10,Number of laboratory technician assistants,Absolute,All,All,NOLTAS19,0,130,64,No
19,Bhutan,2007,123,Number of laboratory technician assistants,Absolute,All,All,NOLTAS20,0,130,64,No
20,Bhutan,2004,102,Number of laboratory technician assistants,Absolute,All,All,NOLTAS21,0,130,64,No
21,Bolivia (Plurinational State of),2011,562,Number of laboratory technician assistants,Absolute,All,All,NOLTAS22,0,130,68,No
