,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2008,1667,Number of midwifery personnel,Absolute,All,All,NOMIPE1,0,130,4,No
1,Afghanistan,2007,1621,Number of midwifery personnel,Absolute,All,All,NOMIPE2,0,130,4,No
2,Albania,1994,1891,Number of midwifery personnel,Absolute,All,All,NOMIPE3,0,130,8,No
3,Algeria,2007,8267,Number of midwifery personnel,Absolute,All,All,NOMIPE4,0,130,12,No
4,Algeria,2002,7572,Number of midwifery personnel,Absolute,All,All,NOMIPE5,0,130,12,No
5,Andorra,2003,10,Number of midwifery personnel,Absolute,All,All,NOMIPE6,0,130,20,No
6,Angola,1997,492,Number of midwifery personnel,Absolute,All,All,NOMIPE7,0,130,24,No
7,Argentina,2004,4211,Number of midwifery personnel,Absolute,All,All,NOMIPE8,0,130,32,No
8,Armenia,2012,1298,Number of midwifery personnel,Absolute,All,All,NOMIPE9,0,130,51,No
9,Australia,2011,15523,Number of midwifery personnel,Absolute,All,All,NOMIPE10,0,130,36,No
10,Australia,2009,13000,Number of midwifery personnel,Absolute,All,All,NOMIPE11,0,130,36,No
11,Australia,2006,12236,Number of midwifery personnel,Absolute,All,All,NOMIPE12,0,130,36,No
12,Australia,2001,11649,Number of midwifery personnel,Absolute,All,All,NOMIPE13,0,130,36,No
13,Australia,1996,10902,Number of midwifery personnel,Absolute,All,All,NOMIPE14,0,130,36,No
14,Austria,2011,1338,Number of midwifery personnel,Absolute,All,All,NOMIPE15,0,130,40,No
15,Azerbaijan,2012,5496,Number of midwifery personnel,Absolute,All,All,NOMIPE16,0,130,31,No
16,Bahrain,2004,560,Number of midwifery personnel,Absolute,All,All,NOMIPE17,0,130,48,No
17,Bangladesh,2011,5940,Number of midwifery personnel,Absolute,All,All,NOMIPE18,0,130,50,No
18,Bangladesh,2007,18516,Number of midwifery personnel,Absolute,All,All,NOMIPE19,0,130,50,No
19,Bangladesh,2006,19911,Number of midwifery personnel,Absolute,All,All,NOMIPE20,0,130,50,No
20,Bangladesh,2005,19354,Number of midwifery personnel,Absolute,All,All,NOMIPE21,0,130,50,No
21,Bangladesh,2004,26460,Number of midwifery personnel,Absolute,All,All,NOMIPE22,0,130,50,No
22,Bangladesh,2003,17622,Number of midwifery personnel,Absolute,All,All,NOMIPE23,0,130,50,No
23,Belarus,2011,4903,Number of midwifery personnel,Absolute,All,All,NOMIPE24,0,130,112,No
24,Belgium,2010,8618,Number of midwifery personnel,Absolute,All,All,NOMIPE25,0,130,56,No
25,Belgium,2001,6603,Number of midwifery personnel,Absolute,All,All,NOMIPE26,0,130,56,No
26,Belize,2009,42,Number of midwifery personnel,Absolute,All,All,NOMIPE27,0,130,84,No
27,Benin,2008,1155,Number of midwifery personnel,Absolute,All,All,NOMIPE28,0,130,204,No
28,Benin,2004,824,Number of midwifery personnel,Absolute,All,All,NOMIPE29,0,130,204,No
29,Bhutan,2004,185,Number of midwifery personnel,Absolute,All,All,NOMIPE30,0,130,64,No
30,Bolivia (Plurinational State of),2001,96,Number of midwifery personnel,Absolute,All,All,NOMIPE31,0,130,68,No
31,Brazil,1991,2523,Number of midwifery personnel,Absolute,All,All,NOMIPE32,0,130,76,No
32,Brunei Darussalam,2011,510,Number of midwifery personnel,Absolute,All,All,NOMIPE33,0,130,96,No
33,Brunei Darussalam,2010,508,Number of midwifery personnel,Absolute,All,All,NOMIPE34,0,130,96,No
34,Brunei Darussalam,2007,457,Number of midwifery personnel,Absolute,All,All,NOMIPE35,0,130,96,No
35,Brunei Darussalam,2002,470,Number of midwifery personnel,Absolute,All,All,NOMIPE36,0,130,96,No
36,Brunei Darussalam,2000,404,Number of midwifery personnel,Absolute,All,All,NOMIPE37,0,130,96,No
37,Bulgaria,2011,3270,Number of midwifery personnel,Absolute,All,All,NOMIPE38,0,130,100,No
38,Burkina Faso,2010,3033,Number of midwifery personnel,Absolute,All,All,NOMIPE39,0,130,854,No
39,Burkina Faso,2008,3854,Number of midwifery personnel,Absolute,All,All,NOMIPE40,0,130,854,No
40,Burkina Faso,2006,2035,Number of midwifery personnel,Absolute,All,All,NOMIPE41,0,130,854,No
41,Burkina Faso,2004,2289,Number of midwifery personnel,Absolute,All,All,NOMIPE42,0,130,854,No
42,Burundi,2004,11,Number of midwifery personnel,Absolute,All,All,NOMIPE43,0,130,108,No
43,Cambodia,2008,3245,Number of midwifery personnel,Absolute,All,All,NOMIPE44,0,130,116,No
44,Cambodia,2000,3040,Number of midwifery personnel,Absolute,All,All,NOMIPE45,0,130,116,No
45,Cambodia,1998,3312,Number of midwifery personnel,Absolute,All,All,NOMIPE46,0,130,116,No
46,Cambodia,1996,3221,Number of midwifery personnel,Absolute,All,All,NOMIPE47,0,130,116,No
47,Cameroon,2004,45,Number of midwifery personnel,Absolute,All,All,NOMIPE48,0,130,120,No
48,Canada,2008,599,Number of midwifery personnel,Absolute,All,All,NOMIPE49,0,130,124,No
49,Canada,2006,622,Number of midwifery personnel,Absolute,All,All,NOMIPE50,0,130,124,No
50,Canada,2004,513,Number of midwifery personnel,Absolute,All,All,NOMIPE51,0,130,124,No
51,Canada,2002,413,Number of midwifery personnel,Absolute,All,All,NOMIPE52,0,130,124,No
52,Canada,2001,370,Number of midwifery personnel,Absolute,All,All,NOMIPE53,0,130,124,No
53,Canada,1998,265,Number of midwifery personnel,Absolute,All,All,NOMIPE54,0,130,124,No
54,Central African Republic,2009,469,Number of midwifery personnel,Absolute,All,All,NOMIPE55,0,130,140,No
55,Central African Republic,2008,535,Number of midwifery personnel,Absolute,All,All,NOMIPE56,0,130,140,No
56,Central African Republic,2004,705,Number of midwifery personnel,Absolute,All,All,NOMIPE57,0,130,140,No
57,Chad,2006,152,Number of midwifery personnel,Absolute,All,All,NOMIPE58,0,130,148,No
58,Chad,2004,353,Number of midwifery personnel,Absolute,All,All,NOMIPE59,0,130,148,No
59,Chad,2000,155,Number of midwifery personnel,Absolute,All,All,NOMIPE60,0,130,148,No
60,Chad,1999,177,Number of midwifery personnel,Absolute,All,All,NOMIPE61,0,130,148,No
61,Chad,1998,178,Number of midwifery personnel,Absolute,All,All,NOMIPE62,0,130,148,No
62,Chad,1997,142,Number of midwifery personnel,Absolute,All,All,NOMIPE63,0,130,148,No
63,Chile,2009,1690,Number of midwifery personnel,Absolute,All,All,NOMIPE64,0,130,152,No
64,Chile,2008,1691,Number of midwifery personnel,Absolute,All,All,NOMIPE65,0,130,152,No
65,Chile,2007,1636,Number of midwifery personnel,Absolute,All,All,NOMIPE66,0,130,152,No
66,Chile,2006,1643,Number of midwifery personnel,Absolute,All,All,NOMIPE67,0,130,152,No
67,Chile,2005,1523,Number of midwifery personnel,Absolute,All,All,NOMIPE68,0,130,152,No
68,Chile,2004,1516,Number of midwifery personnel,Absolute,All,All,NOMIPE69,0,130,152,No
69,Chile,2003,1480,Number of midwifery personnel,Absolute,All,All,NOMIPE70,0,130,152,No
70,Chile,2002,1314,Number of midwifery personnel,Absolute,All,All,NOMIPE71,0,130,152,No
71,Chile,1992,5720,Number of midwifery personnel,Absolute,All,All,NOMIPE72,0,130,152,No
72,China,2001,42000,Number of midwifery personnel,Absolute,All,All,NOMIPE73,0,130,156,No
73,Comoros,2004,107,Number of midwifery personnel,Absolute,All,All,NOMIPE74,0,130,174,No
74,Congo,2007,637,Number of midwifery personnel,Absolute,All,All,NOMIPE75,0,130,178,No
75,Congo,2006,750,Number of midwifery personnel,Absolute,All,All,NOMIPE76,0,130,178,No
76,Congo,2004,458,Number of midwifery personnel,Absolute,All,All,NOMIPE77,0,130,178,No
77,Cook Islands,2004,20,Number of midwifery personnel,Absolute,All,All,NOMIPE78,0,130,184,No
78,Cook Islands,2001,3,Number of midwifery personnel,Absolute,All,All,NOMIPE79,0,130,184,No
79,Costa Rica,2000,22,Number of midwifery personnel,Absolute,All,All,NOMIPE80,0,130,188,No
80,Côte dIvoire,2008,2258,Number of midwifery personnel,Absolute,All,All,NOMIPE81,0,130,384,No
81,Côte dIvoire,2005,2146,Number of midwifery personnel,Absolute,All,All,NOMIPE82,0,130,384,No
82,Côte dIvoire,2004,2407,Number of midwifery personnel,Absolute,All,All,NOMIPE83,0,130,384,No
83,Croatia,2011,1593,Number of midwifery personnel,Absolute,All,All,NOMIPE84,0,130,191,No
84,Czech Republic,2011,4479,Number of midwifery personnel,Absolute,All,All,NOMIPE85,0,130,203,No
85,Democratic Peoples Republic of Korea,2003,6084,Number of midwifery personnel,Absolute,All,All,NOMIPE86,0,130,408,No
86,Denmark,2009,1572,Number of midwifery personnel,Absolute,All,All,NOMIPE87,0,130,208,No
