,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,37,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT1,0,0.1,4,No
1,Afghanistan,2010,40,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT2,0,0.1,4,No
2,Afghanistan,2005,43,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT3,0,0.1,4,No
3,Afghanistan,2000,44,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT4,0,0.1,4,No
4,Afghanistan,1995,38,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT5,0,0.1,4,No
5,Afghanistan,1990,27,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT6,0,0.1,4,No
6,Albania,2012,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT7,0,0.1,8,No
7,Albania,2010,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT8,0,0.1,8,No
8,Albania,2005,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT9,0,0.1,8,No
9,Albania,2000,1,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT10,0,0.1,8,No
10,Albania,1995,1,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT11,0,0.1,8,No
11,Albania,1990,2,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT12,0,0.1,8,No
12,Algeria,2012,12,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT13,0,0.1,12,No
13,Algeria,2010,12,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT14,0,0.1,12,No
14,Algeria,2005,9,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT15,0,0.1,12,No
15,Algeria,2000,10,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT16,0,0.1,12,No
16,Algeria,1995,16,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT17,0,0.1,12,No
17,Algeria,1990,19,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT18,0,0.1,12,No
18,Andorra,2012,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT19,0,0.1,20,No
19,Andorra,2010,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT20,0,0.1,20,No
20,Andorra,2005,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT21,0,0.1,20,No
21,Andorra,2000,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT22,0,0.1,20,No
22,Andorra,1995,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT23,0,0.1,20,No
23,Andorra,1990,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT24,0,0.1,20,No
24,Angola,2012,41,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT25,0,0.1,24,No
25,Angola,2010,42,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT26,0,0.1,24,No
26,Angola,2005,39,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT27,0,0.1,24,No
27,Angola,2000,34,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT28,0,0.1,24,No
28,Angola,1995,30,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT29,0,0.1,24,No
29,Angola,1990,26,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT30,0,0.1,24,No
30,Antigua and Barbuda,2012,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT31,0,0.1,28,No
31,Antigua and Barbuda,2010,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT32,0,0.1,28,No
32,Antigua and Barbuda,2005,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT33,0,0.1,28,No
33,Antigua and Barbuda,2000,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT34,0,0.1,28,No
34,Antigua and Barbuda,1995,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT35,0,0.1,28,No
35,Antigua and Barbuda,1990,0,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT36,0,0.1,28,No
36,Argentina,2012,5,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT37,0,0.1,32,No
37,Argentina,2010,6,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT38,0,0.1,32,No
38,Argentina,2005,6,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT39,0,0.1,32,No
39,Argentina,2000,8,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT40,0,0.1,32,No
40,Argentina,1995,9,Number of neonatal deaths,Thousands,0-0.1,All,NNEODIT41,0,0.1,32,No
