,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2010,12163,Number of other health workers,Absolute,All,All,NOOHWO1,0,130,4,No
1,Afghanistan,2009,12344,Number of other health workers,Absolute,All,All,NOOHWO2,0,130,4,No
2,Afghanistan,2008,12113,Number of other health workers,Absolute,All,All,NOOHWO3,0,130,4,No
3,Algeria,2007,112252,Number of other health workers,Absolute,All,All,NOOHWO4,0,130,12,No
4,Algeria,2005,99158,Number of other health workers,Absolute,All,All,NOOHWO5,0,130,12,No
5,Algeria,2002,5654,Number of other health workers,Absolute,All,All,NOOHWO6,0,130,12,No
6,Angola,2009,5435,Number of other health workers,Absolute,All,All,NOOHWO7,0,130,24,No
7,Angola,2004,254,Number of other health workers,Absolute,All,All,NOOHWO8,0,130,24,No
8,Argentina,2004,79533,Number of other health workers,Absolute,All,All,NOOHWO9,0,130,32,No
9,Armenia,2012,5249,Number of other health workers,Absolute,All,All,NOOHWO10,0,130,51,No
10,Australia,2012,14566,Number of other health workers,Absolute,All,All,NOOHWO11,0,130,36,No
11,Australia,2011,16870,Number of other health workers,Absolute,All,All,NOOHWO12,0,130,36,No
12,Australia,2010,20365,Number of other health workers,Absolute,All,All,NOOHWO13,0,130,36,No
13,Australia,2009,96800,Number of other health workers,Absolute,All,All,NOOHWO14,0,130,36,No
14,Australia,2006,212780,Number of other health workers,Absolute,All,All,NOOHWO15,0,130,36,No
15,Australia,2001,38339,Number of other health workers,Absolute,All,All,NOOHWO16,0,130,36,No
16,Australia,1996,122141,Number of other health workers,Absolute,All,All,NOOHWO17,0,130,36,No
17,Austria,2011,8021,Number of other health workers,Absolute,All,All,NOOHWO18,0,130,40,No
18,Azerbaijan,2012,328,Number of other health workers,Absolute,All,All,NOOHWO19,0,130,31,No
19,Bahamas,2008,143,Number of other health workers,Absolute,All,All,NOOHWO20,0,130,44,No
20,Bahrain,2011,351,Number of other health workers,Absolute,All,All,NOOHWO21,0,130,48,No
21,Bahrain,2010,350,Number of other health workers,Absolute,All,All,NOOHWO22,0,130,48,No
22,Bahrain,2009,321,Number of other health workers,Absolute,All,All,NOOHWO23,0,130,48,No
23,Bahrain,2008,303,Number of other health workers,Absolute,All,All,NOOHWO24,0,130,48,No
24,Bahrain,2004,1401,Number of other health workers,Absolute,All,All,NOOHWO25,0,130,48,No
25,Bangladesh,2011,7911,Number of other health workers,Absolute,All,All,NOOHWO26,0,130,50,No
26,Bangladesh,2005,6548,Number of other health workers,Absolute,All,All,NOOHWO27,0,130,50,No
