,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,1985,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE1,0,130,4,No
1,Afghanistan,2010,814,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE2,0,130,4,No
2,Afghanistan,2009,847,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE3,0,130,4,No
3,Afghanistan,2008,829,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE4,0,130,4,No
4,Afghanistan,2007,830,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE5,0,130,4,No
5,Afghanistan,2006,830,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE6,0,130,4,No
6,Afghanistan,2005,900,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE7,0,130,4,No
7,Afghanistan,2001,525,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE8,0,130,4,No
8,Algeria,2007,8232,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE9,0,130,12,No
9,Algeria,2005,6104,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE10,0,130,12,No
10,Algeria,2002,6333,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE11,0,130,12,No
11,Andorra,2003,68,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE12,0,130,20,No
12,Angola,2004,919,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE13,0,130,24,No
13,Angola,1997,24,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE14,0,130,24,No
14,Argentina,2004,19510,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE15,0,130,32,No
15,Argentina,1998,15300,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE16,0,130,32,No
16,Armenia,2012,125,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE17,0,130,51,No
17,Australia,2012,23294,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE18,0,130,36,No
18,Australia,2011,24636,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE19,0,130,36,No
19,Australia,2010,19237,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE20,0,130,36,No
20,Australia,2009,21800,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE21,0,130,36,No
21,Australia,2006,15339,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE22,0,130,36,No
22,Australia,2001,13956,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE23,0,130,36,No
23,Australia,1996,12311,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE24,0,130,36,No
24,Austria,2012,5823,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE25,0,130,40,No
25,Austria,2003,4869,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE26,0,130,40,No
26,Azerbaijan,2012,1668,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE27,0,130,31,No
27,Bahamas,2008,160,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE28,0,130,44,No
28,Bahrain,2011,193,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE29,0,130,48,No
29,Bahrain,2010,196,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE30,0,130,48,No
30,Bahrain,2009,186,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE31,0,130,48,No
31,Bahrain,2008,186,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE32,0,130,48,No
32,Bahrain,2007,180,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE33,0,130,48,No
33,Bahrain,2004,460,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE34,0,130,48,No
34,Bangladesh,2007,9411,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE35,0,130,50,No
35,Bangladesh,2004,9411,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE36,0,130,50,No
36,Bangladesh,2002,7622,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE37,0,130,50,No
37,Barbados,2005,251,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE38,0,130,52,No
38,Barbados,2001,185,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE39,0,130,52,No
39,Barbados,1995,169,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE40,0,130,52,No
40,Belarus,2011,3006,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE41,0,130,112,No
41,Belgium,2011,12845,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE42,0,130,56,No
42,Belgium,2010,16368,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE43,0,130,56,No
43,Belgium,2002,11775,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE44,0,130,56,No
44,Belize,2009,112,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE45,0,130,84,No
45,Benin,2008,20,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE46,0,130,204,No
46,Benin,2004,11,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE47,0,130,204,No
47,Bhutan,2012,11,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE48,0,130,64,No
48,Bhutan,2008,89,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE49,0,130,64,No
49,Bhutan,2007,87,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE50,0,130,64,No
50,Bhutan,2004,79,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE51,0,130,64,No
51,Bolivia (Plurinational State of),2011,660,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE52,0,130,68,No
52,Bolivia (Plurinational State of),2010,567,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE53,0,130,68,No
53,Bolivia (Plurinational State of),2007,331,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE54,0,130,68,No
54,Bolivia (Plurinational State of),2001,4670,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE55,0,130,68,No
55,Botswana,2004,333,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE56,0,130,72,No
56,Brazil,2008,104098,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE57,0,130,76,No
57,Brazil,2007,104098,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE58,0,130,76,No
58,Brazil,2006,104098,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE59,0,130,76,No
59,Brazil,2005,99696,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE60,0,130,76,No
60,Brazil,2000,51317,Number of pharmaceutical personnel,Absolute,All,All,NOPHPE61,0,130,76,No
