,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,1497,Pertussis,Absolute,All,All,PERNRC1,0,130,4,No
1,Afghanistan,2011,0,Pertussis,Absolute,All,All,PERNRC2,0,130,4,No
2,Afghanistan,2010,0,Pertussis,Absolute,All,All,PERNRC3,0,130,4,No
3,Afghanistan,2009,0,Pertussis,Absolute,All,All,PERNRC4,0,130,4,No
4,Albania,2012,16,Pertussis,Absolute,All,All,PERNRC5,0,130,8,No
5,Albania,2010,0,Pertussis,Absolute,All,All,PERNRC6,0,130,8,No
6,Albania,2009,10,Pertussis,Absolute,All,All,PERNRC7,0,130,8,No
7,Algeria,2012,104,Pertussis,Absolute,All,All,PERNRC8,0,130,12,No
8,Algeria,2011,1,Pertussis,Absolute,All,All,PERNRC9,0,130,12,No
9,Algeria,2010,0,Pertussis,Absolute,All,All,PERNRC10,0,130,12,No
10,Algeria,2009,1,Pertussis,Absolute,All,All,PERNRC11,0,130,12,No
11,Andorra,2012,3,Pertussis,Absolute,All,All,PERNRC12,0,130,20,No
12,Andorra,2011,4,Pertussis,Absolute,All,All,PERNRC13,0,130,20,No
13,Andorra,2010,0,Pertussis,Absolute,All,All,PERNRC14,0,130,20,No
14,Andorra,2009,0,Pertussis,Absolute,All,All,PERNRC15,0,130,20,No
15,Angola,2012,1259,Pertussis,Absolute,All,All,PERNRC16,0,130,24,No
16,Angola,2011,1554,Pertussis,Absolute,All,All,PERNRC17,0,130,24,No
17,Angola,2010,2539,Pertussis,Absolute,All,All,PERNRC18,0,130,24,No
18,Angola,2009,1127,Pertussis,Absolute,All,All,PERNRC19,0,130,24,No
19,Antigua and Barbuda,2012,0,Pertussis,Absolute,All,All,PERNRC20,0,130,28,No
20,Antigua and Barbuda,2011,0,Pertussis,Absolute,All,All,PERNRC21,0,130,28,No
21,Antigua and Barbuda,2010,0,Pertussis,Absolute,All,All,PERNRC22,0,130,28,No
22,Antigua and Barbuda,2009,0,Pertussis,Absolute,All,All,PERNRC23,0,130,28,No
23,Argentina,2012,1239,Pertussis,Absolute,All,All,PERNRC24,0,130,32,No
24,Argentina,2011,1594,Pertussis,Absolute,All,All,PERNRC25,0,130,32,No
25,Argentina,2010,804,Pertussis,Absolute,All,All,PERNRC26,0,130,32,No
26,Argentina,2009,1743,Pertussis,Absolute,All,All,PERNRC27,0,130,32,No
27,Armenia,2012,8,Pertussis,Absolute,All,All,PERNRC28,0,130,51,No
28,Armenia,2011,1,Pertussis,Absolute,All,All,PERNRC29,0,130,51,No
29,Armenia,2010,4,Pertussis,Absolute,All,All,PERNRC30,0,130,51,No
30,Armenia,2009,11,Pertussis,Absolute,All,All,PERNRC31,0,130,51,No
31,Australia,2012,23855,Pertussis,Absolute,All,All,PERNRC32,0,130,36,No
32,Australia,2011,38040,Pertussis,Absolute,All,All,PERNRC33,0,130,36,No
33,Australia,2010,34285,Pertussis,Absolute,All,All,PERNRC34,0,130,36,No
34,Australia,2009,29545,Pertussis,Absolute,All,All,PERNRC35,0,130,36,No
35,Austria,2012,571,Pertussis,Absolute,All,All,PERNRC36,0,130,40,No
36,Austria,2011,309,Pertussis,Absolute,All,All,PERNRC37,0,130,40,No
37,Austria,2010,414,Pertussis,Absolute,All,All,PERNRC38,0,130,40,No
38,Austria,2009,183,Pertussis,Absolute,All,All,PERNRC39,0,130,40,No
39,Azerbaijan,2012,18,Pertussis,Absolute,All,All,PERNRC40,0,130,31,No
40,Azerbaijan,2011,27,Pertussis,Absolute,All,All,PERNRC41,0,130,31,No
41,Azerbaijan,2010,15,Pertussis,Absolute,All,All,PERNRC42,0,130,31,No
42,Azerbaijan,2009,5,Pertussis,Absolute,All,All,PERNRC43,0,130,31,No
43,Bahamas,2012,0,Pertussis,Absolute,All,All,PERNRC44,0,130,44,No
44,Bahamas,2011,0,Pertussis,Absolute,All,All,PERNRC45,0,130,44,No
45,Bahamas,2010,0,Pertussis,Absolute,All,All,PERNRC46,0,130,44,No
46,Bahamas,2009,0,Pertussis,Absolute,All,All,PERNRC47,0,130,44,No
47,Bahrain,2012,3,Pertussis,Absolute,All,All,PERNRC48,0,130,48,No
48,Bahrain,2011,0,Pertussis,Absolute,All,All,PERNRC49,0,130,48,No
49,Bahrain,2010,0,Pertussis,Absolute,All,All,PERNRC50,0,130,48,No
50,Bahrain,2009,1,Pertussis,Absolute,All,All,PERNRC51,0,130,48,No
51,Bangladesh,2012,13,Pertussis,Absolute,All,All,PERNRC52,0,130,50,No
52,Bangladesh,2011,44,Pertussis,Absolute,All,All,PERNRC53,0,130,50,No
53,Bangladesh,2010,17,Pertussis,Absolute,All,All,PERNRC54,0,130,50,No
54,Bangladesh,2009,16,Pertussis,Absolute,All,All,PERNRC55,0,130,50,No
55,Barbados,2012,0,Pertussis,Absolute,All,All,PERNRC56,0,130,52,No
56,Barbados,2011,0,Pertussis,Absolute,All,All,PERNRC57,0,130,52,No
57,Barbados,2010,0,Pertussis,Absolute,All,All,PERNRC58,0,130,52,No
58,Barbados,2009,0,Pertussis,Absolute,All,All,PERNRC59,0,130,52,No
59,Belarus,2012,576,Pertussis,Absolute,All,All,PERNRC60,0,130,112,No
60,Belarus,2011,151,Pertussis,Absolute,All,All,PERNRC61,0,130,112,No
61,Belarus,2010,112,Pertussis,Absolute,All,All,PERNRC62,0,130,112,No
62,Belarus,2009,93,Pertussis,Absolute,All,All,PERNRC63,0,130,112,No
