,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,0.061,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP1,0,130,4,No
1,Afghanistan,2010,0.023,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP2,0,130,4,No
2,Afghanistan,2009,0.025,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP3,0,130,4,No
3,Afghanistan,2008,0.025,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP4,0,130,4,No
4,Afghanistan,2007,0.026,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP5,0,130,4,No
5,Afghanistan,2006,0.027,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP6,0,130,4,No
6,Afghanistan,2005,0.03,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP7,0,130,4,No
7,Afghanistan,2001,0.024,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP8,0,130,4,No
8,Algeria,2007,0.243,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP9,0,130,12,No
9,Algeria,2005,0.186,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP10,0,130,12,No
10,Algeria,2002,0.203,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP11,0,130,12,No
11,Andorra,2003,1.03,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP12,0,130,20,No
12,Angola,2004,0.065,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP13,0,130,24,No
13,Angola,1997,0.002,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP14,0,130,24,No
14,Argentina,2004,0.502,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP15,0,130,32,No
15,Argentina,1998,0.423,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP16,0,130,32,No
16,Armenia,2012,0.04,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP17,0,130,51,No
17,Australia,2012,1.016,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP18,0,130,36,No
18,Australia,2011,1.09,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP19,0,130,36,No
19,Australia,2010,0.907,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP20,0,130,36,No
20,Australia,2009,1.038,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP21,0,130,36,No
21,Australia,2006,0.753,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP22,0,130,36,No
22,Australia,2001,0.721,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP23,0,130,36,No
23,Australia,1996,0.673,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP24,0,130,36,No
24,Austria,2012,0.691,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP25,0,130,40,No
25,Austria,2003,0.6,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP26,0,130,40,No
26,Azerbaijan,2012,0.177,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP27,0,130,31,No
27,Bahamas,2008,0.476,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP28,0,130,44,No
28,Bahrain,2011,0.146,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP29,0,130,48,No
29,Bahrain,2010,0.248,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP30,0,130,48,No
30,Bahrain,2009,0.239,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP31,0,130,48,No
31,Bahrain,2008,0.243,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP32,0,130,48,No
32,Bahrain,2007,0.24,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP33,0,130,48,No
33,Bahrain,2004,0.622,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP34,0,130,48,No
34,Bangladesh,2007,0.064,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP35,0,130,50,No
35,Bangladesh,2004,0.063,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP36,0,130,50,No
36,Bangladesh,2002,0.053,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP37,0,130,50,No
37,Barbados,2005,0.93,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP38,0,130,52,No
38,Barbados,2001,0.69,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP39,0,130,52,No
39,Barbados,1995,0.643,Pharmaceutical personnel density,per 1k pop,All,All,PHPEDEP40,0,130,52,No
