,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,0.234,Physicians density ,per 1k pop,All,All,PHYDEN1,0,130,4,No
1,Afghanistan,2010,0.194,Physicians density ,per 1k pop,All,All,PHYDEN2,0,130,4,No
2,Afghanistan,2009,0.175,Physicians density ,per 1k pop,All,All,PHYDEN3,0,130,4,No
3,Afghanistan,2008,0.145,Physicians density ,per 1k pop,All,All,PHYDEN4,0,130,4,No
4,Afghanistan,2007,0.146,Physicians density ,per 1k pop,All,All,PHYDEN5,0,130,4,No
5,Afghanistan,2006,0.136,Physicians density ,per 1k pop,All,All,PHYDEN6,0,130,4,No
6,Afghanistan,2005,0.2,Physicians density ,per 1k pop,All,All,PHYDEN7,0,130,4,No
7,Afghanistan,2001,0.186,Physicians density ,per 1k pop,All,All,PHYDEN8,0,130,4,No
8,Albania,2012,1.145,Physicians density ,per 1k pop,All,All,PHYDEN9,0,130,8,No
9,Albania,2011,1.113,Physicians density ,per 1k pop,All,All,PHYDEN10,0,130,8,No
10,Algeria,2007,1.207,Physicians density ,per 1k pop,All,All,PHYDEN11,0,130,12,No
11,Algeria,2005,1.033,Physicians density ,per 1k pop,All,All,PHYDEN12,0,130,12,No
12,Algeria,2002,1.131,Physicians density ,per 1k pop,All,All,PHYDEN13,0,130,12,No
13,Andorra,2003,3.697,Physicians density ,per 1k pop,All,All,PHYDEN14,0,130,20,No
14,Angola,2009,0.166,Physicians density ,per 1k pop,All,All,PHYDEN15,0,130,24,No
15,Angola,2004,0.083,Physicians density ,per 1k pop,All,All,PHYDEN16,0,130,24,No
16,Angola,1997,0.077,Physicians density ,per 1k pop,All,All,PHYDEN17,0,130,24,No
17,Antigua and Barbuda,1999,0.169,Physicians density ,per 1k pop,All,All,PHYDEN18,0,130,28,No
18,Argentina,2004,3.155,Physicians density ,per 1k pop,All,All,PHYDEN19,0,130,32,No
19,Argentina,1998,3.009,Physicians density ,per 1k pop,All,All,PHYDEN20,0,130,32,No
20,Armenia,2012,2.687,Physicians density ,per 1k pop,All,All,PHYDEN21,0,130,51,No
21,Armenia,2011,2.661,Physicians density ,per 1k pop,All,All,PHYDEN22,0,130,51,No
22,Australia,2011,3.273,Physicians density ,per 1k pop,All,All,PHYDEN23,0,130,36,No
23,Australia,2010,3.851,Physicians density ,per 1k pop,All,All,PHYDEN24,0,130,36,No
24,Australia,2009,2.991,Physicians density ,per 1k pop,All,All,PHYDEN25,0,130,36,No
25,Australia,2006,2.704,Physicians density ,per 1k pop,All,All,PHYDEN26,0,130,36,No
26,Australia,2001,2.474,Physicians density ,per 1k pop,All,All,PHYDEN27,0,130,36,No
27,Australia,1996,2.516,Physicians density ,per 1k pop,All,All,PHYDEN28,0,130,36,No
28,Austria,2011,4.83,Physicians density ,per 1k pop,All,All,PHYDEN29,0,130,40,No
29,Austria,2010,4.862,Physicians density ,per 1k pop,All,All,PHYDEN30,0,130,40,No
30,Austria,2003,3.378,Physicians density ,per 1k pop,All,All,PHYDEN31,0,130,40,No
31,Azerbaijan,2012,3.432,Physicians density ,per 1k pop,All,All,PHYDEN32,0,130,31,No
32,Azerbaijan,2011,3.379,Physicians density ,per 1k pop,All,All,PHYDEN33,0,130,31,No
33,Bahamas,2008,2.818,Physicians density ,per 1k pop,All,All,PHYDEN34,0,130,44,No
34,Bahamas,1998,1.054,Physicians density ,per 1k pop,All,All,PHYDEN35,0,130,44,No
35,Bahrain,2011,0.913,Physicians density ,per 1k pop,All,All,PHYDEN36,0,130,48,No
36,Bahrain,2010,1.489,Physicians density ,per 1k pop,All,All,PHYDEN37,0,130,48,No
37,Bahrain,2009,1.477,Physicians density ,per 1k pop,All,All,PHYDEN38,0,130,48,No
38,Bahrain,2008,1.442,Physicians density ,per 1k pop,All,All,PHYDEN39,0,130,48,No
39,Bahrain,2007,1.401,Physicians density ,per 1k pop,All,All,PHYDEN40,0,130,48,No
40,Bahrain,2005,2.724,Physicians density ,per 1k pop,All,All,PHYDEN41,0,130,48,No
41,Bahrain,2004,1.087,Physicians density ,per 1k pop,All,All,PHYDEN42,0,130,48,No
42,Bangladesh,2011,0.356,Physicians density ,per 1k pop,All,All,PHYDEN43,0,130,50,No
43,Bangladesh,2007,0.295,Physicians density ,per 1k pop,All,All,PHYDEN44,0,130,50,No
44,Bangladesh,2006,0.309,Physicians density ,per 1k pop,All,All,PHYDEN45,0,130,50,No
45,Bangladesh,2005,0.302,Physicians density ,per 1k pop,All,All,PHYDEN46,0,130,50,No
46,Bangladesh,2004,0.257,Physicians density ,per 1k pop,All,All,PHYDEN47,0,130,50,No
47,Bangladesh,2003,0.249,Physicians density ,per 1k pop,All,All,PHYDEN48,0,130,50,No
48,Bangladesh,2001,0.231,Physicians density ,per 1k pop,All,All,PHYDEN49,0,130,50,No
49,Barbados,2005,1.811,Physicians density ,per 1k pop,All,All,PHYDEN50,0,130,52,No
50,Barbados,2001,1.567,Physicians density ,per 1k pop,All,All,PHYDEN51,0,130,52,No
51,Barbados,2000,1.367,Physicians density ,per 1k pop,All,All,PHYDEN52,0,130,52,No
52,Barbados,1995,1.361,Physicians density ,per 1k pop,All,All,PHYDEN53,0,130,52,No
53,Belarus,2011,3.756,Physicians density ,per 1k pop,All,All,PHYDEN54,0,130,112,No
54,Belarus,2010,3.511,Physicians density ,per 1k pop,All,All,PHYDEN55,0,130,112,No
55,Belgium,2011,2.993,Physicians density ,per 1k pop,All,All,PHYDEN56,0,130,56,No
56,Belgium,2010,3.782,Physicians density ,per 1k pop,All,All,PHYDEN57,0,130,56,No
57,Belize,2009,0.828,Physicians density ,per 1k pop,All,All,PHYDEN58,0,130,84,No
58,Belize,2000,1.046,Physicians density ,per 1k pop,All,All,PHYDEN59,0,130,84,No
59,Benin,2008,0.059,Physicians density ,per 1k pop,All,All,PHYDEN60,0,130,204,No
60,Benin,2004,0.045,Physicians density ,per 1k pop,All,All,PHYDEN61,0,130,204,No
61,Bhutan,2012,0.259,Physicians density ,per 1k pop,All,All,PHYDEN62,0,130,64,No
62,Bhutan,2008,0.074,Physicians density ,per 1k pop,All,All,PHYDEN63,0,130,64,No
63,Bhutan,2007,0.064,Physicians density ,per 1k pop,All,All,PHYDEN64,0,130,64,No
64,Bhutan,2004,0.051,Physicians density ,per 1k pop,All,All,PHYDEN65,0,130,64,No
65,Bolivia (Plurinational State of),2011,0.473,Physicians density ,per 1k pop,All,All,PHYDEN66,0,130,68,No
66,Bolivia (Plurinational State of),2010,0.439,Physicians density ,per 1k pop,All,All,PHYDEN67,0,130,68,No
67,Bolivia (Plurinational State of),2007,0.333,Physicians density ,per 1k pop,All,All,PHYDEN68,0,130,68,No
68,Bolivia (Plurinational State of),2001,1.218,Physicians density ,per 1k pop,All,All,PHYDEN69,0,130,68,No
69,Bosnia and Herzegovina,2010,1.694,Physicians density ,per 1k pop,All,All,PHYDEN70,0,130,70,No
70,Bosnia and Herzegovina,2009,1.65,Physicians density ,per 1k pop,All,All,PHYDEN71,0,130,70,No
71,Botswana,2006,0.336,Physicians density ,per 1k pop,All,All,PHYDEN72,0,130,72,No
72,Botswana,2005,0.264,Physicians density ,per 1k pop,All,All,PHYDEN73,0,130,72,No
73,Botswana,2004,0.398,Physicians density ,per 1k pop,All,All,PHYDEN74,0,130,72,No
74,Botswana,2003,0.295,Physicians density ,per 1k pop,All,All,PHYDEN75,0,130,72,No
75,Botswana,2002,0.303,Physicians density ,per 1k pop,All,All,PHYDEN76,0,130,72,No
76,Botswana,2001,0.291,Physicians density ,per 1k pop,All,All,PHYDEN77,0,130,72,No
77,Botswana,2000,0.289,Physicians density ,per 1k pop,All,All,PHYDEN78,0,130,72,No
78,Botswana,1999,0.299,Physicians density ,per 1k pop,All,All,PHYDEN79,0,130,72,No
79,Botswana,1998,0.255,Physicians density ,per 1k pop,All,All,PHYDEN80,0,130,72,No
80,Brazil,2013,1.891,Physicians density ,per 1k pop,All,All,PHYDEN81,0,130,76,No
81,Brazil,2011,1.857,Physicians density ,per 1k pop,All,All,PHYDEN82,0,130,76,No
82,Brazil,2009,1.796,Physicians density ,per 1k pop,All,All,PHYDEN83,0,130,76,No
83,Brazil,2008,1.764,Physicians density ,per 1k pop,All,All,PHYDEN84,0,130,76,No
84,Brazil,2007,1.72,Physicians density ,per 1k pop,All,All,PHYDEN85,0,130,76,No
85,Brazil,2006,1.694,Physicians density ,per 1k pop,All,All,PHYDEN86,0,130,76,No
86,Brazil,2005,1.664,Physicians density ,per 1k pop,All,All,PHYDEN87,0,130,76,No
87,Brazil,2004,1.616,Physicians density ,per 1k pop,All,All,PHYDEN88,0,130,76,No
88,Brazil,2000,1.153,Physicians density ,per 1k pop,All,All,PHYDEN89,0,130,76,No
89,Brazil,1991,0.998,Physicians density ,per 1k pop,All,All,PHYDEN90,0,130,76,No
90,Brunei Darussalam,2011,1.498,Physicians density ,per 1k pop,All,All,PHYDEN91,0,130,96,No
91,Brunei Darussalam,2010,1.36,Physicians density ,per 1k pop,All,All,PHYDEN92,0,130,96,No
92,Brunei Darussalam,2008,1.417,Physicians density ,per 1k pop,All,All,PHYDEN93,0,130,96,No
93,Brunei Darussalam,2007,1.008,Physicians density ,per 1k pop,All,All,PHYDEN94,0,130,96,No
94,Brunei Darussalam,2002,1.143,Physicians density ,per 1k pop,All,All,PHYDEN95,0,130,96,No
95,Brunei Darussalam,2000,1.006,Physicians density ,per 1k pop,All,All,PHYDEN96,0,130,96,No
96,Bulgaria,2011,3.812,Physicians density ,per 1k pop,All,All,PHYDEN97,0,130,100,No
97,Bulgaria,2010,3.76,Physicians density ,per 1k pop,All,All,PHYDEN98,0,130,100,No
98,Burkina Faso,2010,0.047,Physicians density ,per 1k pop,All,All,PHYDEN99,0,130,854,No
99,Burkina Faso,2008,0.064,Physicians density ,per 1k pop,All,All,PHYDEN100,0,130,854,No
100,Burkina Faso,2006,0.028,Physicians density ,per 1k pop,All,All,PHYDEN101,0,130,854,No
101,Burkina Faso,2004,0.053,Physicians density ,per 1k pop,All,All,PHYDEN102,0,130,854,No
102,Burundi,2004,0.028,Physicians density ,per 1k pop,All,All,PHYDEN103,0,130,108,No
103,Cabo Verde,2010,0.295,Physicians density ,per 1k pop,All,All,PHYDEN104,0,130,132,No
104,Cabo Verde,2009,0.234,Physicians density ,per 1k pop,All,All,PHYDEN105,0,130,132,No
105,Cabo Verde,2008,0.572,Physicians density ,per 1k pop,All,All,PHYDEN106,0,130,132,No
106,Cabo Verde,2007,0.257,Physicians density ,per 1k pop,All,All,PHYDEN107,0,130,132,No
107,Cabo Verde,2006,0.233,Physicians density ,per 1k pop,All,All,PHYDEN108,0,130,132,No
108,Cabo Verde,2004,0.488,Physicians density ,per 1k pop,All,All,PHYDEN109,0,130,132,No
109,Cambodia,2008,0.227,Physicians density ,per 1k pop,All,All,PHYDEN110,0,130,116,No
110,Cambodia,2000,0.156,Physicians density ,per 1k pop,All,All,PHYDEN111,0,130,116,No
111,Cambodia,1998,0.137,Physicians density ,per 1k pop,All,All,PHYDEN112,0,130,116,No
112,Cambodia,1996,0.105,Physicians density ,per 1k pop,All,All,PHYDEN113,0,130,116,No
113,Cameroon,2009,0.077,Physicians density ,per 1k pop,All,All,PHYDEN114,0,130,120,No
114,Cameroon,2007,0.078,Physicians density ,per 1k pop,All,All,PHYDEN115,0,130,120,No
115,Cameroon,2005,0.064,Physicians density ,per 1k pop,All,All,PHYDEN116,0,130,120,No
116,Cameroon,2004,0.192,Physicians density ,per 1k pop,All,All,PHYDEN117,0,130,120,No
117,Canada,2010,2.068,Physicians density ,per 1k pop,All,All,PHYDEN118,0,130,124,No
118,Canada,2008,1.975,Physicians density ,per 1k pop,All,All,PHYDEN119,0,130,124,No
119,Canada,2006,1.913,Physicians density ,per 1k pop,All,All,PHYDEN120,0,130,124,No
120,Canada,2004,1.82,Physicians density ,per 1k pop,All,All,PHYDEN121,0,130,124,No
121,Canada,2003,2.139,Physicians density ,per 1k pop,All,All,PHYDEN122,0,130,124,No
122,Canada,2002,1.916,Physicians density ,per 1k pop,All,All,PHYDEN123,0,130,124,No
123,Canada,2001,1.9,Physicians density ,per 1k pop,All,All,PHYDEN124,0,130,124,No
124,Canada,1998,1.858,Physicians density ,per 1k pop,All,All,PHYDEN125,0,130,124,No
125,Central African Republic,2009,0.048,Physicians density ,per 1k pop,All,All,PHYDEN126,0,130,140,No
126,Central African Republic,2008,0.041,Physicians density ,per 1k pop,All,All,PHYDEN127,0,130,140,No
127,Central African Republic,2004,0.085,Physicians density ,per 1k pop,All,All,PHYDEN128,0,130,140,No
128,Chad,2006,0.037,Physicians density ,per 1k pop,All,All,PHYDEN129,0,130,148,No
129,Chad,2004,0.039,Physicians density ,per 1k pop,All,All,PHYDEN130,0,130,148,No
130,Chad,2000,0.03,Physicians density ,per 1k pop,All,All,PHYDEN131,0,130,148,No
131,Chad,1999,0.03,Physicians density ,per 1k pop,All,All,PHYDEN132,0,130,148,No
132,Chad,1998,0.021,Physicians density ,per 1k pop,All,All,PHYDEN133,0,130,148,No
133,Chad,1997,0.027,Physicians density ,per 1k pop,All,All,PHYDEN134,0,130,148,No
134,Chile,2009,1.024,Physicians density ,per 1k pop,All,All,PHYDEN135,0,130,152,No
135,Chile,2008,1.033,Physicians density ,per 1k pop,All,All,PHYDEN136,0,130,152,No
136,Chile,2007,1.03,Physicians density ,per 1k pop,All,All,PHYDEN137,0,130,152,No
137,Chile,2006,1.033,Physicians density ,per 1k pop,All,All,PHYDEN138,0,130,152,No
138,Chile,2005,0.974,Physicians density ,per 1k pop,All,All,PHYDEN139,0,130,152,No
139,Chile,2004,0.985,Physicians density ,per 1k pop,All,All,PHYDEN140,0,130,152,No
140,Chile,2003,0.949,Physicians density ,per 1k pop,All,All,PHYDEN141,0,130,152,No
141,Chile,2002,0.896,Physicians density ,per 1k pop,All,All,PHYDEN142,0,130,152,No
142,Chile,1992,1.008,Physicians density ,per 1k pop,All,All,PHYDEN143,0,130,152,No
143,China,2010,1.456,Physicians density ,per 1k pop,All,All,PHYDEN144,0,130,156,No
144,China,2009,1.415,Physicians density ,per 1k pop,All,All,PHYDEN145,0,130,156,No
145,China,2003,1.42,Physicians density ,per 1k pop,All,All,PHYDEN146,0,130,156,No
146,China,2001,1.055,Physicians density ,per 1k pop,All,All,PHYDEN147,0,130,156,No
147,Colombia,2010,1.471,Physicians density ,per 1k pop,All,All,PHYDEN148,0,130,170,No
148,Colombia,2009,1.452,Physicians density ,per 1k pop,All,All,PHYDEN149,0,130,170,No
149,Colombia,2008,1.434,Physicians density ,per 1k pop,All,All,PHYDEN150,0,130,170,No
150,Colombia,2007,1.415,Physicians density ,per 1k pop,All,All,PHYDEN151,0,130,170,No
151,Colombia,2006,1.396,Physicians density ,per 1k pop,All,All,PHYDEN152,0,130,170,No
152,Colombia,2005,1.377,Physicians density ,per 1k pop,All,All,PHYDEN153,0,130,170,No
153,Colombia,2002,1.35,Physicians density ,per 1k pop,All,All,PHYDEN154,0,130,170,No
154,Colombia,1999,1.25,Physicians density ,per 1k pop,All,All,PHYDEN155,0,130,170,No
155,Colombia,1998,1.222,Physicians density ,per 1k pop,All,All,PHYDEN156,0,130,170,No
156,Colombia,1997,1.192,Physicians density ,per 1k pop,All,All,PHYDEN157,0,130,170,No
157,Colombia,1996,1.162,Physicians density ,per 1k pop,All,All,PHYDEN158,0,130,170,No
158,Colombia,1994,1.11,Physicians density ,per 1k pop,All,All,PHYDEN159,0,130,170,No
159,Colombia,1993,1.085,Physicians density ,per 1k pop,All,All,PHYDEN160,0,130,170,No
