,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,29825,Population,In Thousands,All,All,PITT,0,130,4,No
1,Afghanistan,2011,29105,Population,In Thousands,All,All,PITT,0,130,4,No
2,Afghanistan,2010,28398,Population,In Thousands,All,All,PITT,0,130,4,No
3,Afghanistan,2009,27708,Population,In Thousands,All,All,PITT,0,130,4,No
4,Afghanistan,2008,27032,Population,In Thousands,All,All,PITT,0,130,4,No
5,Afghanistan,2007,26349,Population,In Thousands,All,All,PITT,0,130,4,No
6,Afghanistan,2006,25631,Population,In Thousands,All,All,PITT,0,130,4,No
7,Afghanistan,2005,24861,Population,In Thousands,All,All,PITT,0,130,4,No
8,Afghanistan,2004,24019,Population,In Thousands,All,All,PITT,0,130,4,No
9,Afghanistan,2003,23116,Population,In Thousands,All,All,PITT,0,130,4,No
10,Afghanistan,2002,22203,Population,In Thousands,All,All,PITT,0,130,4,No
11,Afghanistan,2001,21348,Population,In Thousands,All,All,PITT,0,130,4,No
12,Afghanistan,2000,20595,Population,In Thousands,All,All,PITT,0,130,4,No
13,Afghanistan,1999,19987,Population,In Thousands,All,All,PITT,0,130,4,No
14,Afghanistan,1998,19497,Population,In Thousands,All,All,PITT,0,130,4,No
15,Afghanistan,1997,19021,Population,In Thousands,All,All,PITT,0,130,4,No
16,Afghanistan,1996,18415,Population,In Thousands,All,All,PITT,0,130,4,No
17,Afghanistan,1995,17586,Population,In Thousands,All,All,PITT,0,130,4,No
18,Afghanistan,1994,16485,Population,In Thousands,All,All,PITT,0,130,4,No
19,Afghanistan,1993,15175,Population,In Thousands,All,All,PITT,0,130,4,No
20,Afghanistan,1992,13812,Population,In Thousands,All,All,PITT,0,130,4,No
21,Afghanistan,1991,12612,Population,In Thousands,All,All,PITT,0,130,4,No
22,Afghanistan,1990,11731,Population,In Thousands,All,All,PITT,0,130,4,No
23,Albania,2012,3162,Population,In Thousands,All,All,PITT,0,130,8,No
24,Albania,2011,3154,Population,In Thousands,All,All,PITT,0,130,8,No
25,Albania,2010,3150,Population,In Thousands,All,All,PITT,0,130,8,No
26,Albania,2009,3151,Population,In Thousands,All,All,PITT,0,130,8,No
27,Albania,2008,3157,Population,In Thousands,All,All,PITT,0,130,8,No
28,Albania,2007,3166,Population,In Thousands,All,All,PITT,0,130,8,No
29,Albania,2006,3180,Population,In Thousands,All,All,PITT,0,130,8,No
30,Albania,2005,3196,Population,In Thousands,All,All,PITT,0,130,8,No
31,Albania,2004,3216,Population,In Thousands,All,All,PITT,0,130,8,No
32,Albania,2003,3239,Population,In Thousands,All,All,PITT,0,130,8,No
33,Albania,2002,3264,Population,In Thousands,All,All,PITT,0,130,8,No
34,Albania,2001,3286,Population,In Thousands,All,All,PITT,0,130,8,No
35,Albania,2000,3305,Population,In Thousands,All,All,PITT,0,130,8,No
36,Albania,1999,3318,Population,In Thousands,All,All,PITT,0,130,8,No
37,Albania,1998,3325,Population,In Thousands,All,All,PITT,0,130,8,No
38,Albania,1997,3331,Population,In Thousands,All,All,PITT,0,130,8,No
39,Albania,1996,3341,Population,In Thousands,All,All,PITT,0,130,8,No
40,Albania,1995,3358,Population,In Thousands,All,All,PITT,0,130,8,No
41,Albania,1994,3384,Population,In Thousands,All,All,PITT,0,130,8,No
42,Albania,1993,3417,Population,In Thousands,All,All,PITT,0,130,8,No
43,Albania,1992,3447,Population,In Thousands,All,All,PITT,0,130,8,No
44,Albania,1991,3460,Population,In Thousands,All,All,PITT,0,130,8,No
45,Albania,1990,3447,Population,In Thousands,All,All,PITT,0,130,8,No
46,Algeria,2012,38482,Population,In Thousands,All,All,PITT,0,130,12,No
47,Algeria,2011,37763,Population,In Thousands,All,All,PITT,0,130,12,No
48,Algeria,2010,37063,Population,In Thousands,All,All,PITT,0,130,12,No
49,Algeria,2009,36383,Population,In Thousands,All,All,PITT,0,130,12,No
50,Algeria,2008,35725,Population,In Thousands,All,All,PITT,0,130,12,No
51,Algeria,2007,35097,Population,In Thousands,All,All,PITT,0,130,12,No
52,Algeria,2006,34507,Population,In Thousands,All,All,PITT,0,130,12,No
53,Algeria,2005,33961,Population,In Thousands,All,All,PITT,0,130,12,No
54,Algeria,2004,33461,Population,In Thousands,All,All,PITT,0,130,12,No
55,Algeria,2003,33003,Population,In Thousands,All,All,PITT,0,130,12,No
56,Algeria,2002,32573,Population,In Thousands,All,All,PITT,0,130,12,No
57,Algeria,2001,32150,Population,In Thousands,All,All,PITT,0,130,12,No
58,Algeria,2000,31719,Population,In Thousands,All,All,PITT,0,130,12,No
59,Algeria,1999,31276,Population,In Thousands,All,All,PITT,0,130,12,No
60,Algeria,1998,30820,Population,In Thousands,All,All,PITT,0,130,12,No
61,Algeria,1997,30345,Population,In Thousands,All,All,PITT,0,130,12,No
62,Algeria,1996,29845,Population,In Thousands,All,All,PITT,0,130,12,No
63,Algeria,1995,29315,Population,In Thousands,All,All,PITT,0,130,12,No
64,Algeria,1994,28753,Population,In Thousands,All,All,PITT,0,130,12,No
65,Algeria,1993,28158,Population,In Thousands,All,All,PITT,0,130,12,No
66,Algeria,1992,27535,Population,In Thousands,All,All,PITT,0,130,12,No
67,Algeria,1991,26894,Population,In Thousands,All,All,PITT,0,130,12,No
68,Algeria,1990,26240,Population,In Thousands,All,All,PITT,0,130,12,No
