,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,16.2,Population Median Age,Absolute,All,All,PMAY1,0,130,4,No
1,Albania,2012,32.56,Population Median Age,Absolute,All,All,PMAY2,0,130,8,No
2,Algeria,2012,26.62,Population Median Age,Absolute,All,All,PMAY3,0,130,12,No
3,Angola,2012,16.18,Population Median Age,Absolute,All,All,PMAY4,0,130,24,No
4,Antigua and Barbuda,2012,30.26,Population Median Age,Absolute,All,All,PMAY5,0,130,28,No
5,Argentina,2012,30.83,Population Median Age,Absolute,All,All,PMAY6,0,130,32,No
6,Armenia,2012,32.3,Population Median Age,Absolute,All,All,PMAY7,0,130,51,No
7,Australia,2012,37.08,Population Median Age,Absolute,All,All,PMAY8,0,130,36,No
8,Austria,2012,42.4,Population Median Age,Absolute,All,All,PMAY9,0,130,40,No
9,Azerbaijan,2012,29.34,Population Median Age,Absolute,All,All,PMAY10,0,130,31,No
10,Bahamas,2012,31.54,Population Median Age,Absolute,All,All,PMAY11,0,130,44,No
11,Bahrain,2012,30.07,Population Median Age,Absolute,All,All,PMAY12,0,130,48,No
12,Bangladesh,2012,24.7,Population Median Age,Absolute,All,All,PMAY13,0,130,50,No
13,Barbados,2012,36.68,Population Median Age,Absolute,All,All,PMAY14,0,130,52,No
14,Belarus,2012,39.15,Population Median Age,Absolute,All,All,PMAY15,0,130,112,No
15,Belgium,2012,41.41,Population Median Age,Absolute,All,All,PMAY16,0,130,56,No
16,Belize,2012,22.69,Population Median Age,Absolute,All,All,PMAY17,0,130,84,No
17,Benin,2012,18.3,Population Median Age,Absolute,All,All,PMAY18,0,130,204,No
18,Bhutan,2012,25.29,Population Median Age,Absolute,All,All,PMAY19,0,130,64,No
19,Bolivia (Plurinational State of),2012,22.14,Population Median Age,Absolute,All,All,PMAY20,0,130,68,No
20,Bosnia and Herzegovina,2012,39.23,Population Median Age,Absolute,All,All,PMAY21,0,130,70,No
21,Botswana,2012,22.33,Population Median Age,Absolute,All,All,PMAY22,0,130,72,No
22,Brazil,2012,29.89,Population Median Age,Absolute,All,All,PMAY23,0,130,76,No
23,Brunei Darussalam,2012,30.14,Population Median Age,Absolute,All,All,PMAY24,0,130,96,No
24,Bulgaria,2012,42.84,Population Median Age,Absolute,All,All,PMAY25,0,130,100,No
25,Burkina Faso,2012,17.01,Population Median Age,Absolute,All,All,PMAY26,0,130,854,No
26,Burundi,2012,17.64,Population Median Age,Absolute,All,All,PMAY27,0,130,108,No
27,Cabo Verde,2012,23.71,Population Median Age,Absolute,All,All,PMAY28,0,130,132,No
28,Cambodia,2012,24.1,Population Median Age,Absolute,All,All,PMAY29,0,130,116,No
29,Cameroon,2012,18.18,Population Median Age,Absolute,All,All,PMAY30,0,130,120,No
30,Canada,2012,39.99,Population Median Age,Absolute,All,All,PMAY31,0,130,124,No
31,Central African Republic,2012,19.59,Population Median Age,Absolute,All,All,PMAY32,0,130,140,No
32,Chad,2012,15.7,Population Median Age,Absolute,All,All,PMAY33,0,130,148,No
33,Chile,2012,32.76,Population Median Age,Absolute,All,All,PMAY34,0,130,152,No
34,China,2012,35.12,Population Median Age,Absolute,All,All,PMAY35,0,130,156,No
35,Colombia,2012,27.4,Population Median Age,Absolute,All,All,PMAY36,0,130,170,No
36,Comoros,2012,19.08,Population Median Age,Absolute,All,All,PMAY37,0,130,174,No
37,Congo,2012,18.81,Population Median Age,Absolute,All,All,PMAY38,0,130,178,No
38,Costa Rica,2012,29.29,Population Median Age,Absolute,All,All,PMAY39,0,130,188,No
39,Côte dIvoire,2012,18.96,Population Median Age,Absolute,All,All,PMAY40,0,130,384,No
40,Croatia,2012,42.38,Population Median Age,Absolute,All,All,PMAY41,0,130,191,No
41,Cuba,2012,39.57,Population Median Age,Absolute,All,All,PMAY42,0,130,192,No
42,Cyprus,2012,34.88,Population Median Age,Absolute,All,All,PMAY43,0,130,196,No
43,Czech Republic,2012,40.07,Population Median Age,Absolute,All,All,PMAY44,0,130,203,No
44,Democratic Peoples Republic of Korea,2012,33.4,Population Median Age,Absolute,All,All,PMAY45,0,130,408,No
45,Democratic Republic of the Congo,2012,17.27,Population Median Age,Absolute,All,All,PMAY46,0,130,180,No
46,Denmark,2012,40.95,Population Median Age,Absolute,All,All,PMAY47,0,130,208,No
47,Djibouti,2012,22.55,Population Median Age,Absolute,All,All,PMAY48,0,130,262,No
48,Dominican Republic,2012,25.53,Population Median Age,Absolute,All,All,PMAY49,0,130,214,No
49,Ecuador,2012,25.83,Population Median Age,Absolute,All,All,PMAY50,0,130,218,No
50,Egypt,2012,24.93,Population Median Age,Absolute,All,All,PMAY51,0,130,818,No
51,El Salvador,2012,23.78,Population Median Age,Absolute,All,All,PMAY52,0,130,222,No
52,Equatorial Guinea,2012,20.49,Population Median Age,Absolute,All,All,PMAY53,0,130,226,No
53,Eritrea,2012,18.37,Population Median Age,Absolute,All,All,PMAY54,0,130,232,No
54,Estonia,2012,40.78,Population Median Age,Absolute,All,All,PMAY55,0,130,233,No
55,Ethiopia,2012,17.93,Population Median Age,Absolute,All,All,PMAY56,0,130,231,No
56,Ethiopia,2012,17.93,Population Median Age,Absolute,All,All,PMAY56,0,130,230,No
57,Fiji,2012,26.88,Population Median Age,Absolute,All,All,PMAY57,0,130,242,No
58,Finland,2012,42.24,Population Median Age,Absolute,All,All,PMAY58,0,130,246,No
59,France,2012,40.43,Population Median Age,Absolute,All,All,PMAY59,0,130,250,No
60,Gabon,2012,20.66,Population Median Age,Absolute,All,All,PMAY60,0,130,266,No
61,Gambia,2012,16.95,Population Median Age,Absolute,All,All,PMAY61,0,130,270,No
62,Georgia,2012,37.43,Population Median Age,Absolute,All,All,PMAY62,0,130,268,No
63,Germany,2012,45.09,Population Median Age,Absolute,All,All,PMAY63,0,130,276,No
64,Ghana,2012,20.45,Population Median Age,Absolute,All,All,PMAY64,0,130,288,No
65,Greece,2012,42.47,Population Median Age,Absolute,All,All,PMAY65,0,130,300,No
66,Grenada,2012,25.89,Population Median Age,Absolute,All,All,PMAY66,0,130,308,No
67,Guatemala,2012,19.19,Population Median Age,Absolute,All,All,PMAY67,0,130,320,No
