,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,3.82,Population Proportion over 60,Percent,>60,All,PP60P1,60,130,4,No
1,Afghanistan,2011,3.77,Population Proportion over 60,Percent,>60,All,PP60P2,60,130,4,No
2,Afghanistan,2010,3.71,Population Proportion over 60,Percent,>60,All,PP60P3,60,130,4,No
3,Afghanistan,2009,3.65,Population Proportion over 60,Percent,>60,All,PP60P4,60,130,4,No
4,Afghanistan,2008,3.58,Population Proportion over 60,Percent,>60,All,PP60P5,60,130,4,No
5,Afghanistan,2007,3.51,Population Proportion over 60,Percent,>60,All,PP60P6,60,130,4,No
6,Afghanistan,2006,3.45,Population Proportion over 60,Percent,>60,All,PP60P7,60,130,4,No
7,Afghanistan,2005,3.4,Population Proportion over 60,Percent,>60,All,PP60P8,60,130,4,No
8,Afghanistan,2004,3.37,Population Proportion over 60,Percent,>60,All,PP60P9,60,130,4,No
9,Afghanistan,2003,3.35,Population Proportion over 60,Percent,>60,All,PP60P10,60,130,4,No
10,Afghanistan,2002,3.35,Population Proportion over 60,Percent,>60,All,PP60P11,60,130,4,No
11,Afghanistan,2001,3.35,Population Proportion over 60,Percent,>60,All,PP60P12,60,130,4,No
12,Afghanistan,2000,3.36,Population Proportion over 60,Percent,>60,All,PP60P13,60,130,4,No
13,Afghanistan,1999,3.38,Population Proportion over 60,Percent,>60,All,PP60P14,60,130,4,No
14,Afghanistan,1998,3.4,Population Proportion over 60,Percent,>60,All,PP60P15,60,130,4,No
15,Afghanistan,1997,3.43,Population Proportion over 60,Percent,>60,All,PP60P16,60,130,4,No
16,Afghanistan,1996,3.43,Population Proportion over 60,Percent,>60,All,PP60P17,60,130,4,No
17,Afghanistan,1995,3.42,Population Proportion over 60,Percent,>60,All,PP60P18,60,130,4,No
18,Afghanistan,1994,3.39,Population Proportion over 60,Percent,>60,All,PP60P19,60,130,4,No
19,Afghanistan,1993,3.32,Population Proportion over 60,Percent,>60,All,PP60P20,60,130,4,No
20,Afghanistan,1992,3.23,Population Proportion over 60,Percent,>60,All,PP60P21,60,130,4,No
21,Afghanistan,1991,3.13,Population Proportion over 60,Percent,>60,All,PP60P22,60,130,4,No
22,Afghanistan,1990,3.07,Population Proportion over 60,Percent,>60,All,PP60P23,60,130,4,No
23,Albania,2012,14.93,Population Proportion over 60,Percent,>60,All,PP60P24,60,130,8,No
24,Albania,2011,14.56,Population Proportion over 60,Percent,>60,All,PP60P25,60,130,8,No
25,Albania,2010,14.19,Population Proportion over 60,Percent,>60,All,PP60P26,60,130,8,No
26,Albania,2009,13.83,Population Proportion over 60,Percent,>60,All,PP60P27,60,130,8,No
27,Albania,2008,13.47,Population Proportion over 60,Percent,>60,All,PP60P28,60,130,8,No
28,Albania,2007,13.12,Population Proportion over 60,Percent,>60,All,PP60P29,60,130,8,No
29,Albania,2006,12.75,Population Proportion over 60,Percent,>60,All,PP60P30,60,130,8,No
30,Albania,2005,12.36,Population Proportion over 60,Percent,>60,All,PP60P31,60,130,8,No
31,Albania,2004,11.94,Population Proportion over 60,Percent,>60,All,PP60P32,60,130,8,No
32,Albania,2003,11.5,Population Proportion over 60,Percent,>60,All,PP60P33,60,130,8,No
33,Albania,2002,11.06,Population Proportion over 60,Percent,>60,All,PP60P34,60,130,8,No
34,Albania,2001,10.63,Population Proportion over 60,Percent,>60,All,PP60P35,60,130,8,No
35,Albania,2000,10.22,Population Proportion over 60,Percent,>60,All,PP60P36,60,130,8,No
36,Albania,1999,9.86,Population Proportion over 60,Percent,>60,All,PP60P37,60,130,8,No
37,Albania,1998,9.52,Population Proportion over 60,Percent,>60,All,PP60P38,60,130,8,No
38,Albania,1997,9.2,Population Proportion over 60,Percent,>60,All,PP60P39,60,130,8,No
39,Albania,1996,8.91,Population Proportion over 60,Percent,>60,All,PP60P40,60,130,8,No
40,Albania,1995,8.62,Population Proportion over 60,Percent,>60,All,PP60P41,60,130,8,No
41,Albania,1994,8.36,Population Proportion over 60,Percent,>60,All,PP60P42,60,130,8,No
42,Albania,1993,8.11,Population Proportion over 60,Percent,>60,All,PP60P43,60,130,8,No
43,Albania,1992,7.89,Population Proportion over 60,Percent,>60,All,PP60P44,60,130,8,No
44,Albania,1991,7.7,Population Proportion over 60,Percent,>60,All,PP60P45,60,130,8,No
45,Albania,1990,7.55,Population Proportion over 60,Percent,>60,All,PP60P46,60,130,8,No
46,Algeria,2012,7.17,Population Proportion over 60,Percent,>60,All,PP60P47,60,130,12,No
47,Algeria,2011,6.96,Population Proportion over 60,Percent,>60,All,PP60P48,60,130,12,No
48,Algeria,2010,6.79,Population Proportion over 60,Percent,>60,All,PP60P49,60,130,12,No
49,Algeria,2009,6.66,Population Proportion over 60,Percent,>60,All,PP60P50,60,130,12,No
50,Algeria,2008,6.58,Population Proportion over 60,Percent,>60,All,PP60P51,60,130,12,No
51,Algeria,2007,6.52,Population Proportion over 60,Percent,>60,All,PP60P52,60,130,12,No
52,Algeria,2006,6.47,Population Proportion over 60,Percent,>60,All,PP60P53,60,130,12,No
53,Algeria,2005,6.41,Population Proportion over 60,Percent,>60,All,PP60P54,60,130,12,No
54,Algeria,2004,6.33,Population Proportion over 60,Percent,>60,All,PP60P55,60,130,12,No
55,Algeria,2003,6.24,Population Proportion over 60,Percent,>60,All,PP60P56,60,130,12,No
56,Algeria,2002,6.14,Population Proportion over 60,Percent,>60,All,PP60P57,60,130,12,No
57,Algeria,2001,6.03,Population Proportion over 60,Percent,>60,All,PP60P58,60,130,12,No
58,Algeria,2000,5.92,Population Proportion over 60,Percent,>60,All,PP60P59,60,130,12,No
59,Algeria,1999,5.81,Population Proportion over 60,Percent,>60,All,PP60P60,60,130,12,No
60,Algeria,1998,5.7,Population Proportion over 60,Percent,>60,All,PP60P61,60,130,12,No
61,Algeria,1997,5.58,Population Proportion over 60,Percent,>60,All,PP60P62,60,130,12,No
62,Algeria,1996,5.47,Population Proportion over 60,Percent,>60,All,PP60P63,60,130,12,No
63,Algeria,1995,5.36,Population Proportion over 60,Percent,>60,All,PP60P64,60,130,12,No
64,Algeria,1994,5.26,Population Proportion over 60,Percent,>60,All,PP60P65,60,130,12,No
65,Algeria,1993,5.16,Population Proportion over 60,Percent,>60,All,PP60P66,60,130,12,No
66,Algeria,1992,5.07,Population Proportion over 60,Percent,>60,All,PP60P67,60,130,12,No
67,Algeria,1991,5.0,Population Proportion over 60,Percent,>60,All,PP60P68,60,130,12,No
68,Algeria,1990,4.94,Population Proportion over 60,Percent,>60,All,PP60P69,60,130,12,No
69,Andorra,2012,22.86,Population Proportion over 60,Percent,>60,All,PP60P70,60,130,20,No
70,Andorra,2011,22.64,Population Proportion over 60,Percent,>60,All,PP60P71,60,130,20,No
71,Andorra,2010,22.43,Population Proportion over 60,Percent,>60,All,PP60P72,60,130,20,No
72,Andorra,2009,22.23,Population Proportion over 60,Percent,>60,All,PP60P73,60,130,20,No
73,Andorra,2008,22.03,Population Proportion over 60,Percent,>60,All,PP60P74,60,130,20,No
74,Andorra,2007,21.84,Population Proportion over 60,Percent,>60,All,PP60P75,60,130,20,No
