,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2010,12,Preterm birth rate,per 100 pop,All,All,PREBR1,0,130,4,No
1,Albania,2010,9,Preterm birth rate,per 100 pop,All,All,PREBR2,0,130,8,No
2,Algeria,2010,7,Preterm birth rate,per 100 pop,All,All,PREBR3,0,130,12,No
3,Angola,2010,13,Preterm birth rate,per 100 pop,All,All,PREBR4,0,130,24,No
4,Antigua and Barbuda,2010,6,Preterm birth rate,per 100 pop,All,All,PREBR5,0,130,28,No
5,Argentina,2010,8,Preterm birth rate,per 100 pop,All,All,PREBR6,0,130,32,No
6,Armenia,2010,11,Preterm birth rate,per 100 pop,All,All,PREBR7,0,130,51,No
7,Australia,2010,8,Preterm birth rate,per 100 pop,All,All,PREBR8,0,130,36,No
8,Austria,2010,11,Preterm birth rate,per 100 pop,All,All,PREBR9,0,130,40,No
9,Azerbaijan,2010,9,Preterm birth rate,per 100 pop,All,All,PREBR10,0,130,31,No
10,Bahamas,2010,10,Preterm birth rate,per 100 pop,All,All,PREBR11,0,130,44,No
11,Bahrain,2010,14,Preterm birth rate,per 100 pop,All,All,PREBR12,0,130,48,No
12,Bangladesh,2010,14,Preterm birth rate,per 100 pop,All,All,PREBR13,0,130,50,No
13,Barbados,2010,9,Preterm birth rate,per 100 pop,All,All,PREBR14,0,130,52,No
14,Belarus,2010,4,Preterm birth rate,per 100 pop,All,All,PREBR15,0,130,112,No
15,Belgium,2010,8,Preterm birth rate,per 100 pop,All,All,PREBR16,0,130,56,No
16,Belize,2010,10,Preterm birth rate,per 100 pop,All,All,PREBR17,0,130,84,No
17,Benin,2010,11,Preterm birth rate,per 100 pop,All,All,PREBR18,0,130,204,No
18,Bhutan,2010,10,Preterm birth rate,per 100 pop,All,All,PREBR19,0,130,64,No
19,Bolivia (Plurinational State of),2010,9,Preterm birth rate,per 100 pop,All,All,PREBR20,0,130,68,No
20,Bosnia and Herzegovina,2010,8,Preterm birth rate,per 100 pop,All,All,PREBR21,0,130,70,No
21,Botswana,2010,15,Preterm birth rate,per 100 pop,All,All,PREBR22,0,130,72,No
22,Brazil,2010,9,Preterm birth rate,per 100 pop,All,All,PREBR23,0,130,76,No
23,Brunei Darussalam,2010,12,Preterm birth rate,per 100 pop,All,All,PREBR24,0,130,96,No
