,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,358.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE1,0,130,4,No
1,Afghanistan,2011,352.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE2,0,130,4,No
2,Afghanistan,2010,350.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE3,0,130,4,No
3,Afghanistan,2009,348.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE4,0,130,4,No
4,Afghanistan,2008,350.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE5,0,130,4,No
5,Afghanistan,2007,354.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE6,0,130,4,No
6,Afghanistan,2006,360.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE7,0,130,4,No
7,Afghanistan,2005,369.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE8,0,130,4,No
8,Afghanistan,2004,380.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE9,0,130,4,No
9,Afghanistan,2003,396.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE10,0,130,4,No
10,Afghanistan,2002,416.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE11,0,130,4,No
11,Afghanistan,2001,431.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE12,0,130,4,No
12,Afghanistan,2000,449.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE13,0,130,4,No
13,Afghanistan,1999,465.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE14,0,130,4,No
14,Afghanistan,1998,474.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE15,0,130,4,No
15,Afghanistan,1997,469.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE16,0,130,4,No
16,Afghanistan,1996,461.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE17,0,130,4,No
17,Afghanistan,1995,447.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE18,0,130,4,No
18,Afghanistan,1994,431.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE19,0,130,4,No
19,Afghanistan,1993,412.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE20,0,130,4,No
20,Afghanistan,1992,387.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE21,0,130,4,No
21,Afghanistan,1991,359.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE22,0,130,4,No
22,Afghanistan,1990,327.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE23,0,130,4,No
23,Albania,2012,22.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE24,0,130,8,No
24,Albania,2011,23.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE25,0,130,8,No
25,Albania,2010,24.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE26,0,130,8,No
26,Albania,2009,24.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE27,0,130,8,No
27,Albania,2008,22.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE28,0,130,8,No
28,Albania,2007,22.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE29,0,130,8,No
29,Albania,2006,25.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE30,0,130,8,No
30,Albania,2005,27.0,Prevelance of tuberculosis,per 100k pop,All,All,PREVOFTUBE31,0,130,8,No
