,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,0.16,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS1,0,130,4,No
1,Albania,2011,1.83,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS2,0,130,8,No
2,Algeria,2011,1.55,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS3,0,130,12,No
3,Andorra,2011,6.92,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS4,0,130,20,No
4,Angola,2011,0.02,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS5,0,130,24,No
5,Antigua and Barbuda,2011,1.13,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS6,0,130,28,No
6,Armenia,2011,4.04,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS7,0,130,51,No
7,Australia,2011,12.76,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS8,0,130,36,No
8,Austria,2011,19.71,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS9,0,130,40,No
9,Azerbaijan,2011,5.08,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS10,0,130,31,No
10,Bahrain,2011,8.18,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS11,0,130,48,No
11,Bangladesh,2011,0.07,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS12,0,130,50,No
12,Barbados,2011,4.29,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS13,0,130,52,No
13,Belarus,2011,8.77,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS14,0,130,112,No
14,Belize,2011,0.96,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS15,0,130,84,No
15,Benin,2011,0.14,Psychiatrists working in mental health sector,per 100k pop,All,All,PSYCWOMHS16,0,130,204,No
