,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Albania,2008,16.6,Unmet need for family planning,Percent,15-19,Female,UNFPAYG1,15,19,8,No
1,Armenia,2010,27.0,Unmet need for family planning,Percent,15-19,Female,UNFPAYG2,15,19,51,No
2,Azerbaijan,2006,16.5,Unmet need for family planning,Percent,15-19,Female,UNFPAYG3,15,19,31,No
3,Bangladesh,2011,17.0,Unmet need for family planning,Percent,15-19,Female,UNFPAYG4,15,19,50,No
4,Belize,2011,30.8,Unmet need for family planning,Percent,15-19,Female,UNFPAYG5,15,19,84,No
5,Benin,2006,26.2,Unmet need for family planning,Percent,15-19,Female,UNFPAYG6,15,19,204,No
6,Bhutan,2010,27.4,Unmet need for family planning,Percent,15-19,Female,UNFPAYG7,15,19,64,No
7,Bolivia (Plurinational State of),2008,37.9,Unmet need for family planning,Percent,15-19,Female,UNFPAYG8,15,19,68,No
8,Burkina Faso,2010,21.7,Unmet need for family planning,Percent,15-19,Female,UNFPAYG9,15,19,854,No
9,Burundi,2010,18.8,Unmet need for family planning,Percent,15-19,Female,UNFPAYG10,15,19,108,No
10,Cambodia,2005,25.7,Unmet need for family planning,Percent,15-19,Female,UNFPAYG11,15,19,116,No
11,Cameroon,2011,25.7,Unmet need for family planning,Percent,15-19,Female,UNFPAYG12,15,19,120,No
12,Central African Republic,2010,26.6,Unmet need for family planning,Percent,15-19,Female,UNFPAYG13,15,19,140,No
13,Chad,2004,20.8,Unmet need for family planning,Percent,15-19,Female,UNFPAYG14,15,19,148,No
14,Colombia,2010,23.7,Unmet need for family planning,Percent,15-19,Female,UNFPAYG15,15,19,170,No
15,Colombia,2005,16.2,Unmet need for family planning,Percent,15-19,Female,UNFPAYG16,15,19,170,No
16,Congo,2005,30.3,Unmet need for family planning,Percent,15-19,Female,UNFPAYG17,15,19,178,No
17,Côte dIvoire,2006,29.0,Unmet need for family planning,Percent,15-19,Female,UNFPAYG18,15,19,384,No
18,Cuba,2010,16.4,Unmet need for family planning,Percent,15-19,Female,UNFPAYG19,15,19,192,No
19,Democratic Republic of the Congo,2007,28.9,Unmet need for family planning,Percent,15-19,Female,UNFPAYG20,15,19,180,No
20,Dominican Republic,2007,28.0,Unmet need for family planning,Percent,15-19,Female,UNFPAYG21,15,19,214,No
21,Egypt,2008,7.9,Unmet need for family planning,Percent,15-19,Female,UNFPAYG22,15,19,818,No
22,Ethiopia,2011,23.9,Unmet need for family planning,Percent,15-19,Female,UNFPAYG23,15,19,231,No
23,Ethiopia,2011,23.9,Unmet need for family planning,Percent,15-19,Female,UNFPAYG23,15,19,230,No
