name,alpha-3,country-code,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code,Currency
Afghanistan,AFG,4,Asia,Southern Asia,,142,34,,AFN
Afghanistan,AFG,4,Asia,Southern Asia,,142,34,,AFA
Åland Islands,ALA,248,Europe,Northern Europe,,150,154,,EUR
Albania,ALB,8,Europe,Southern Europe,,150,39,,ALL
Algeria,DZA,12,Africa,Northern Africa,,2,15,,DZD
American Samoa,ASM,16,Oceania,Polynesia,,9,61,,WST
Andorra,AND,20,Europe,Southern Europe,,150,39,,EUR
Andorra,AND,20,Europe,Southern Europe,,150,39,,ADF
Andorra,AND,20,Europe,Southern Europe,,150,39,,ADP
Angola,AGO,24,Africa,Sub-Saharan Africa,Middle Africa,2,202,17,AOA
Angola,AGO,24,Africa,Sub-Saharan Africa,Middle Africa,2,202,17,AON
Anguilla,AIA,660,Americas,Latin America and the Caribbean,Caribbean,19,419,29,XCD
Antarctica,ATA,10,,,,,,,AAD
Antigua and Barbuda,ATG,28,Americas,Latin America and the Caribbean,Caribbean,19,419,29,XCD
Argentina,ARG,32,Americas,Latin America and the Caribbean,South America,19,419,5,ARS
Armenia,ARM,51,Asia,Western Asia,,142,145,,AMD
Aruba,ABW,533,Americas,Latin America and the Caribbean,Caribbean,19,419,29,AWG
Aruba,ABW,533,Americas,Latin America and the Caribbean,Caribbean,19,419,29,AWF
Aruba,ABW,533,Americas,Latin America and the Caribbean,Caribbean,19,419,29,AZM
Australia,AUS,36,Oceania,Australia and New Zealand,,9,53,,AUD
Austria,AUT,40,Europe,Western Europe,,150,155,,EUR
Austria,AUT,40,Europe,Western Europe,,150,155,,ATS
Azerbaijan,AZE,31,Asia,Western Asia,,142,145,,AZN
Bahamas,BHS,44,Americas,Latin America and the Caribbean,Caribbean,19,419,29,BSD
Bahrain,BHR,48,Asia,Western Asia,,142,145,,BHD
Bangladesh,BGD,50,Asia,Southern Asia,,142,34,,BDT
Barbados,BRB,52,Americas,Latin America and the Caribbean,Caribbean,19,419,29,BBD
Belarus,BLR,112,Europe,Eastern Europe,,150,151,,BYR
Belarus,BLR,112,Europe,Eastern Europe,,150,151,,BYN
Belgium,BEL,56,Europe,Western Europe,,150,155,,EUR
Belgium,BEL,56,Europe,Western Europe,,150,155,,BEF
Belize,BLZ,84,Americas,Latin America and the Caribbean,Central America,19,419,13,BZD
Benin,BEN,204,Africa,Sub-Saharan Africa,Western Africa,2,202,11,XOF
Bermuda,BMU,60,Americas,Northern America,,19,21,,BMD
Bhutan,BTN,64,Asia,Southern Asia,,142,34,,BTN
Bolivia (Plurinational State of),BOL,68,Americas,Latin America and the Caribbean,South America,19,419,5,BOB
Bonaire- Sint Eustatius and Saba,BQ,535,Americas,Latin America and the Caribbean,Caribbean,19,419,29,EUR
Bosnia and Herzegovina,BIH,70,Europe,Southern Europe,,150,39,,BAM
Botswana,BWA,72,Africa,Sub-Saharan Africa,Southern Africa,2,202,18,BWP
