Metric_id,Country or Area,M49 code,ISO-alpha3 code,Year_id,Year,Value_id,Value,category,Gender,Value_Type,Metric_Type,Is_Currency,Age_Group,Start_Age,End_Age
T000000001,Australia,36,AUS,2019,01/01/2019,1,416563.5328,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000002,Australia,36,AUS,2018,01/01/2018,2,415339.7085,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000003,Australia,36,AUS,2017,01/01/2017,3,414597.8181,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000004,Australia,36,AUS,2016,01/01/2016,4,410968.5195,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000005,Australia,36,AUS,2015,01/01/2015,5,401499.3057,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000006,Australia,36,AUS,2014,01/01/2014,6,393952.9802,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000007,Australia,36,AUS,2013,01/01/2013,7,397888.4484,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000008,Australia,36,AUS,2012,01/01/2012,8,406152.0115,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000009,Australia,36,AUS,2011,01/01/2011,9,403830.2011,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000010,Australia,36,AUS,2010,01/01/2010,10,405106.1656,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000011,Australia,36,AUS,2009,01/01/2009,11,407067.3419,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000012,Australia,36,AUS,2008,01/01/2008,12,404233.1517,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000013,Australia,36,AUS,2007,01/01/2007,13,399626.1952,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000014,Australia,36,AUS,2006,01/01/2006,14,392385.8713,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000015,Australia,36,AUS,2005,01/01/2005,15,386155.0335,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000016,Australia,36,AUS,2004,01/01/2004,16,382821.9799,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000017,Australia,36,AUS,2003,01/01/2003,17,369279.9808,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000018,Australia,36,AUS,2002,01/01/2002,18,361540.4463,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000019,Australia,36,AUS,2001,01/01/2001,19,357131.9339,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000020,Australia,36,AUS,2000,01/01/2000,20,349635.0606,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000021,Australia,36,AUS,1999,01/01/1999,21,343488.2175,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000022,Australia,36,AUS,1998,01/01/1998,22,334074.4518,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000023,Australia,36,AUS,1997,01/01/1997,23,320282.2131,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000024,Australia,36,AUS,1996,01/01/1996,24,311885.7174,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000025,Australia,36,AUS,1995,01/01/1995,25,305002.5879,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000026,Australia,36,AUS,1994,01/01/1994,26,293696.1536,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000027,Australia,36,AUS,1993,01/01/1993,27,288871.3497,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000028,Australia,36,AUS,1992,01/01/1992,28,284524.9587,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000029,Australia,36,AUS,1991,01/01/1991,29,279529.9316,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000030,Australia,36,AUS,1990,01/01/1990,30,278155.4039,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000031,Austria,40,AUT,2019,01/01/2019,31,67962.41562,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000032,Austria,40,AUT,2018,01/01/2018,32,66565.40834,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000033,Austria,40,AUT,2017,01/01/2017,33,69598.85362,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000034,Austria,40,AUT,2016,01/01/2016,34,67215.45666,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000035,Austria,40,AUT,2015,01/01/2015,35,66351.61894,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000036,Austria,40,AUT,2014,01/01/2014,36,64160.93737,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000037,Austria,40,AUT,2013,01/01/2013,37,67758.60622,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000038,Austria,40,AUT,2012,01/01/2012,38,67263.27372,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000039,Austria,40,AUT,2011,01/01/2011,39,69888.73867,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000040,Austria,40,AUT,2010,01/01/2010,40,72000.28958,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000041,Austria,40,AUT,2009,01/01/2009,41,67290.76025,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000042,Austria,40,AUT,2008,01/01/2008,42,73472.26694,CO2,None,Absolute,CO2,No,Not Specified,0,130
T000000043,Austria,40,AUT,2007,01/01/2007,43,74096.97318,CO2,None,Absolute,CO2,No,Not Specified,0,130
