Metric_Code,Base Year,Value,Value type,Metric name
MLCON000000026,2000,81981037.79,Absolute,Exports of goods and services - Constant
MLCON000000027,2000,78411173.86,Absolute,Exports of goods and services - Constant
MLCON000000028,2000,67610263.47,Absolute,Exports of goods and services - Constant
MLCON000000029,2000,60456135.17,Absolute,Exports of goods and services - Constant
MLCON000000030,2000,55053244.3,Absolute,Exports of goods and services - Constant
MLCON000000031,2000,55559087.68,Absolute,Exports of goods and services - Constant
MLCON000000032,2000,61465392.46,Absolute,Exports of goods and services - Constant
MLCON000000033,2000,61668733.47,Absolute,Exports of goods and services - Constant
MLCON000000034,2000,54026972.54,Absolute,Exports of goods and services - Constant
MLCON000000035,2000,56586042.46,Absolute,Exports of goods and services - Constant
MLCON000000036,2000,73949778.84,Absolute,Exports of goods and services - Constant
MLCON000000037,2000,87992295.83,Absolute,Exports of goods and services - Constant
MLCON000000038,2000,110113753.5,Absolute,Exports of goods and services - Constant
MLCON000002916,2000,5.78E+12,Absolute,Exports of goods and services - Constant
MLCON000002917,2000,5.60E+12,Absolute,Exports of goods and services - Constant
MLCON000002918,2000,4.94E+12,Absolute,Exports of goods and services - Constant
MLCON000002919,2000,4.12E+12,Absolute,Exports of goods and services - Constant
MLCON000002920,2000,3.70E+12,Absolute,Exports of goods and services - Constant
MLCON000002921,2000,3.41E+12,Absolute,Exports of goods and services - Constant
MLCON000002922,2000,3.02E+12,Absolute,Exports of goods and services - Constant
MLCON000002923,2000,3.05E+12,Absolute,Exports of goods and services - Constant
MLCON000002924,2000,2.81E+12,Absolute,Exports of goods and services - Constant
MLCON000002925,2000,2.89E+12,Absolute,Exports of goods and services - Constant
MLCON000002926,2000,2.39E+12,Absolute,Exports of goods and services - Constant
MLCON000002927,2000,2.59E+12,Absolute,Exports of goods and services - Constant
MLCON000002928,2000,2.66E+12,Absolute,Exports of goods and services - Constant
MLCON000002929,2000,2.49E+12,Absolute,Exports of goods and services - Constant
MLCON000002930,2000,2.21E+12,Absolute,Exports of goods and services - Constant
MLCON000002931,2000,2.11E+12,Absolute,Exports of goods and services - Constant
MLCON000002932,2000,1.87E+12,Absolute,Exports of goods and services - Constant
MLCON000002933,2000,1.79E+12,Absolute,Exports of goods and services - Constant
MLCON000002934,2000,1.71E+12,Absolute,Exports of goods and services - Constant
MLCON000002935,2000,1.84E+12,Absolute,Exports of goods and services - Constant
MLCON000002936,2000,1.62E+12,Absolute,Exports of goods and services - Constant
MLCON000002937,2000,1.47E+12,Absolute,Exports of goods and services - Constant
MLCON000002938,2000,1.83E+12,Absolute,Exports of goods and services - Constant
MLCON000002939,2000,1.57E+12,Absolute,Exports of goods and services - Constant
MLCON000002940,2000,1.37E+12,Absolute,Exports of goods and services - Constant
MLCON000004009,2000,1203190842,Absolute,Exports of goods and services - Constant
MLCON000004010,2000,1184221537,Absolute,Exports of goods and services - Constant
MLCON000004011,2000,1129865678,Absolute,Exports of goods and services - Constant
MLCON000004012,2000,1115414411,Absolute,Exports of goods and services - Constant
MLCON000004013,2000,1120926823,Absolute,Exports of goods and services - Constant
MLCON000004014,2000,1285018634,Absolute,Exports of goods and services - Constant
MLCON000004015,2000,1314649939,Absolute,Exports of goods and services - Constant
MLCON000004016,2000,1370487366,Absolute,Exports of goods and services - Constant
MLCON000004017,2000,1316956978,Absolute,Exports of goods and services - Constant
MLCON000004018,2000,1437898961,Absolute,Exports of goods and services - Constant
MLCON000004019,2000,1280623636,Absolute,Exports of goods and services - Constant
MLCON000004020,2000,1112927048,Absolute,Exports of goods and services - Constant
MLCON000006899,2000,7.80E+12,Absolute,Exports of goods and services - Constant
MLCON000006900,2000,7.33E+12,Absolute,Exports of goods and services - Constant
MLCON000006901,2000,6.88E+12,Absolute,Exports of goods and services - Constant
MLCON000006902,2000,6.50E+12,Absolute,Exports of goods and services - Constant
MLCON000006903,2000,6.05E+12,Absolute,Exports of goods and services - Constant
MLCON000006904,2000,5.68E+12,Absolute,Exports of goods and services - Constant
MLCON000006905,2000,5.40E+12,Absolute,Exports of goods and services - Constant
MLCON000006906,2000,5.11E+12,Absolute,Exports of goods and services - Constant
MLCON000006907,2000,4.75E+12,Absolute,Exports of goods and services - Constant
MLCON000006908,2000,4.52E+12,Absolute,Exports of goods and services - Constant
MLCON000006909,2000,4.37E+12,Absolute,Exports of goods and services - Constant
MLCON000006910,2000,4.23E+12,Absolute,Exports of goods and services - Constant
