,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2004,6.3,Overweight Children,Percent,5,Male,OVCH5Y1,5,5,4,No
1,Afghanistan,2004,4.6,Overweight Children,Percent,5,All,OVCH5Y2,5,5,4,No
2,Afghanistan,2004,2.6,Overweight Children,Percent,5,Female,OVCH5Y3,5,5,4,No
3,Afghanistan,1997,6.5,Overweight Children,Percent,5,All,OVCH5Y4,5,5,4,No
4,Albania,2009,23.4,Overweight Children,Percent,5,All,OVCH5Y5,5,5,8,No
5,Albania,2009,23.4,Overweight Children,Percent,5,Female,OVCH5Y6,5,5,8,No
6,Albania,2009,23.3,Overweight Children,Percent,5,Male,OVCH5Y7,5,5,8,No
7,Albania,2005,25.2,Overweight Children,Percent,5,All,OVCH5Y8,5,5,8,No
8,Albania,2005,25.1,Overweight Children,Percent,5,Male,OVCH5Y9,5,5,8,No
9,Albania,2005,25.2,Overweight Children,Percent,5,Female,OVCH5Y10,5,5,8,No
10,Albania,2000,30.0,Overweight Children,Percent,5,All,OVCH5Y11,5,5,8,No
11,Albania,2000,29.4,Overweight Children,Percent,5,Male,OVCH5Y12,5,5,8,No
12,Albania,2000,30.6,Overweight Children,Percent,5,Female,OVCH5Y13,5,5,8,No
13,Albania,1998,9.5,Overweight Children,Percent,5,All,OVCH5Y14,5,5,8,No
14,Algeria,2005,13.4,Overweight Children,Percent,5,Male,OVCH5Y15,5,5,12,No
15,Algeria,2005,12.4,Overweight Children,Percent,5,Female,OVCH5Y16,5,5,12,No
16,Algeria,2005,12.9,Overweight Children,Percent,5,All,OVCH5Y17,5,5,12,No
17,Algeria,2002,15.3,Overweight Children,Percent,5,Male,OVCH5Y18,5,5,12,No
18,Algeria,2002,14.0,Overweight Children,Percent,5,Female,OVCH5Y19,5,5,12,No
19,Algeria,2002,14.7,Overweight Children,Percent,5,All,OVCH5Y20,5,5,12,No
20,Algeria,2000,14.1,Overweight Children,Percent,5,Male,OVCH5Y21,5,5,12,No
21,Algeria,2000,15.4,Overweight Children,Percent,5,Female,OVCH5Y22,5,5,12,No
22,Algeria,2000,14.7,Overweight Children,Percent,5,All,OVCH5Y23,5,5,12,No
23,Algeria,1995,13.8,Overweight Children,Percent,5,Male,OVCH5Y24,5,5,12,No
24,Algeria,1995,12.5,Overweight Children,Percent,5,Female,OVCH5Y25,5,5,12,No
25,Algeria,1995,13.2,Overweight Children,Percent,5,All,OVCH5Y26,5,5,12,No
26,Algeria,1992,8.4,Overweight Children,Percent,5,Female,OVCH5Y27,5,5,12,No
27,Algeria,1992,8.7,Overweight Children,Percent,5,All,OVCH5Y28,5,5,12,No
28,Algeria,1992,9.0,Overweight Children,Percent,5,Male,OVCH5Y29,5,5,12,No
29,Angola,1996,2.1,Overweight Children,Percent,5,Male,OVCH5Y30,5,5,24,No
30,Angola,1996,1.6,Overweight Children,Percent,5,All,OVCH5Y31,5,5,24,No
31,Angola,1996,1.1,Overweight Children,Percent,5,Female,OVCH5Y32,5,5,24,No
32,Argentina,2005,10.2,Overweight Children,Percent,5,Male,OVCH5Y33,5,5,32,No
33,Argentina,2005,9.5,Overweight Children,Percent,5,Female,OVCH5Y34,5,5,32,No
34,Argentina,2005,9.9,Overweight Children,Percent,5,All,OVCH5Y35,5,5,32,No
35,Argentina,1996,13.5,Overweight Children,Percent,5,All,OVCH5Y36,5,5,32,No
36,Argentina,1994,11.1,Overweight Children,Percent,5,All,OVCH5Y37,5,5,32,No
37,Armenia,2010,18.8,Overweight Children,Percent,5,Male,OVCH5Y38,5,5,51,No
38,Armenia,2010,16.8,Overweight Children,Percent,5,All,OVCH5Y39,5,5,51,No
39,Armenia,2010,14.6,Overweight Children,Percent,5,Female,OVCH5Y40,5,5,51,No
40,Armenia,2005,13.9,Overweight Children,Percent,5,Male,OVCH5Y41,5,5,51,No
41,Armenia,2005,9.1,Overweight Children,Percent,5,Female,OVCH5Y42,5,5,51,No
42,Armenia,2005,11.7,Overweight Children,Percent,5,All,OVCH5Y43,5,5,51,No
43,Armenia,2001,10.9,Overweight Children,Percent,5,Female,OVCH5Y44,5,5,51,No
44,Armenia,2001,16.0,Overweight Children,Percent,5,All,OVCH5Y45,5,5,51,No
45,Armenia,2001,19.8,Overweight Children,Percent,5,Male,OVCH5Y46,5,5,51,No
46,Armenia,1998,10.4,Overweight Children,Percent,5,Male,OVCH5Y47,5,5,51,No
47,Armenia,1998,11.4,Overweight Children,Percent,5,Female,OVCH5Y48,5,5,51,No
