,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2007,0.029,Community and traditional health workers density,per 1k pop,All,All,CATHWDP1,0,130,12,No
1,Algeria,2002,0.034,Community and traditional health workers density,per 1k pop,All,All,CATHWDP2,0,130,12,No
2,Australia,2006,0.05,Community and traditional health workers density,per 1k pop,All,All,CATHWDP3,0,130,36,No
3,Australia,2001,0.197,Community and traditional health workers density,per 1k pop,All,All,CATHWDP4,0,130,36,No
4,Australia,1996,0.039,Community and traditional health workers density,per 1k pop,All,All,CATHWDP5,0,130,36,No
5,Bangladesh,2011,0.334,Community and traditional health workers density,per 1k pop,All,All,CATHWDP6,0,130,50,No
6,Bangladesh,2007,0.331,Community and traditional health workers density,per 1k pop,All,All,CATHWDP7,0,130,50,No
7,Bangladesh,2005,0.148,Community and traditional health workers density,per 1k pop,All,All,CATHWDP8,0,130,50,No
8,Bangladesh,2004,0.309,Community and traditional health workers density,per 1k pop,All,All,CATHWDP9,0,130,50,No
9,Belize,2009,0.543,Community and traditional health workers density,per 1k pop,All,All,CATHWDP10,0,130,84,No
10,Benin,2004,0.013,Community and traditional health workers density,per 1k pop,All,All,CATHWDP11,0,130,204,No
11,Bhutan,2012,0.854,Community and traditional health workers density,per 1k pop,All,All,CATHWDP12,0,130,64,No
12,Bhutan,2008,0.023,Community and traditional health workers density,per 1k pop,All,All,CATHWDP13,0,130,64,No
13,Bhutan,2007,0.105,Community and traditional health workers density,per 1k pop,All,All,CATHWDP14,0,130,64,No
14,Bhutan,2004,0.2,Community and traditional health workers density,per 1k pop,All,All,CATHWDP15,0,130,64,No
15,Bolivia (Plurinational State of),2001,0.119,Community and traditional health workers density,per 1k pop,All,All,CATHWDP16,0,130,68,No
16,Botswana,2006,0.523,Community and traditional health workers density,per 1k pop,All,All,CATHWDP17,0,130,72,No
17,Botswana,2005,0.521,Community and traditional health workers density,per 1k pop,All,All,CATHWDP18,0,130,72,No
18,Botswana,2003,0.486,Community and traditional health workers density,per 1k pop,All,All,CATHWDP19,0,130,72,No
19,Botswana,2002,0.487,Community and traditional health workers density,per 1k pop,All,All,CATHWDP20,0,130,72,No
20,Botswana,2001,0.469,Community and traditional health workers density,per 1k pop,All,All,CATHWDP21,0,130,72,No
21,Botswana,2000,0.736,Community and traditional health workers density,per 1k pop,All,All,CATHWDP22,0,130,72,No
