,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,0.003,Dentistry personnel density,per 1k pop,All,All,DPDDP1,0,130,4,No
1,Afghanistan,2010,0.003,Dentistry personnel density,per 1k pop,All,All,DPDDP2,0,130,4,No
2,Afghanistan,2009,0.003,Dentistry personnel density,per 1k pop,All,All,DPDDP3,0,130,4,No
3,Afghanistan,2008,0.011,Dentistry personnel density,per 1k pop,All,All,DPDDP4,0,130,4,No
4,Afghanistan,2007,0.01,Dentistry personnel density,per 1k pop,All,All,DPDDP5,0,130,4,No
5,Afghanistan,2006,0.011,Dentistry personnel density,per 1k pop,All,All,DPDDP6,0,130,4,No
6,Afghanistan,2005,0.03,Dentistry personnel density,per 1k pop,All,All,DPDDP7,0,130,4,No
7,Afghanistan,2001,0.029,Dentistry personnel density,per 1k pop,All,All,DPDDP8,0,130,4,No
8,Algeria,2007,0.325,Dentistry personnel density,per 1k pop,All,All,DPDDP9,0,130,12,No
9,Algeria,2005,0.275,Dentistry personnel density,per 1k pop,All,All,DPDDP10,0,130,12,No
10,Algeria,2002,0.306,Dentistry personnel density,per 1k pop,All,All,DPDDP11,0,130,12,No
11,Andorra,2003,0.667,Dentistry personnel density,per 1k pop,All,All,DPDDP12,0,130,20,No
12,Angola,2004,0.016,Dentistry personnel density,per 1k pop,All,All,DPDDP13,0,130,24,No
13,Angola,1997,0.0,Dentistry personnel density,per 1k pop,All,All,DPDDP14,0,130,24,No
14,Antigua and Barbuda,1997,0.188,Dentistry personnel density,per 1k pop,All,All,DPDDP15,0,130,28,No
15,Argentina,2004,0.916,Dentistry personnel density,per 1k pop,All,All,DPDDP16,0,130,32,No
16,Argentina,1998,0.799,Dentistry personnel density,per 1k pop,All,All,DPDDP17,0,130,32,No
17,Armenia,2012,0.415,Dentistry personnel density,per 1k pop,All,All,DPDDP18,0,130,51,No
18,Australia,2011,0.538,Dentistry personnel density,per 1k pop,All,All,DPDDP19,0,130,36,No
19,Australia,2009,0.691,Dentistry personnel density,per 1k pop,All,All,DPDDP20,0,130,36,No
20,Australia,2006,1.455,Dentistry personnel density,per 1k pop,All,All,DPDDP21,0,130,36,No
21,Australia,2001,1.1,Dentistry personnel density,per 1k pop,All,All,DPDDP22,0,130,36,No
22,Australia,1996,1.274,Dentistry personnel density,per 1k pop,All,All,DPDDP23,0,130,36,No
23,Austria,2012,0.569,Dentistry personnel density,per 1k pop,All,All,DPDDP24,0,130,40,No
24,Austria,2003,0.497,Dentistry personnel density,per 1k pop,All,All,DPDDP25,0,130,40,No
25,Azerbaijan,2012,0.261,Dentistry personnel density,per 1k pop,All,All,DPDDP26,0,130,31,No
26,Bahamas,2008,0.342,Dentistry personnel density,per 1k pop,All,All,DPDDP27,0,130,44,No
27,Bahamas,1998,0.071,Dentistry personnel density,per 1k pop,All,All,DPDDP28,0,130,44,No
28,Bahrain,2011,0.233,Dentistry personnel density,per 1k pop,All,All,DPDDP29,0,130,48,No
29,Bahrain,2010,0.372,Dentistry personnel density,per 1k pop,All,All,DPDDP30,0,130,48,No
30,Bahrain,2009,0.356,Dentistry personnel density,per 1k pop,All,All,DPDDP31,0,130,48,No
31,Bahrain,2008,0.357,Dentistry personnel density,per 1k pop,All,All,DPDDP32,0,130,48,No
32,Bahrain,2007,0.152,Dentistry personnel density,per 1k pop,All,All,DPDDP33,0,130,48,No
33,Bahrain,2005,0.413,Dentistry personnel density,per 1k pop,All,All,DPDDP34,0,130,48,No
34,Bahrain,2004,0.463,Dentistry personnel density,per 1k pop,All,All,DPDDP35,0,130,48,No
35,Bangladesh,2011,0.028,Dentistry personnel density,per 1k pop,All,All,DPDDP36,0,130,50,No
36,Bangladesh,2007,0.019,Dentistry personnel density,per 1k pop,All,All,DPDDP37,0,130,50,No
37,Bangladesh,2005,0.017,Dentistry personnel density,per 1k pop,All,All,DPDDP38,0,130,50,No
38,Bangladesh,2004,0.017,Dentistry personnel density,per 1k pop,All,All,DPDDP39,0,130,50,No
39,Bangladesh,2002,0.013,Dentistry personnel density,per 1k pop,All,All,DPDDP40,0,130,50,No
40,Barbados,2005,0.348,Dentistry personnel density,per 1k pop,All,All,DPDDP41,0,130,52,No
41,Barbados,2001,0.231,Dentistry personnel density,per 1k pop,All,All,DPDDP42,0,130,52,No
42,Barbados,1995,0.232,Dentistry personnel density,per 1k pop,All,All,DPDDP43,0,130,52,No
43,Belarus,2011,0.536,Dentistry personnel density,per 1k pop,All,All,DPDDP44,0,130,112,No
44,Belgium,2011,0.723,Dentistry personnel density,per 1k pop,All,All,DPDDP45,0,130,56,No
45,Belgium,2010,0.792,Dentistry personnel density,per 1k pop,All,All,DPDDP46,0,130,56,No
46,Belize,2009,0.041,Dentistry personnel density,per 1k pop,All,All,DPDDP47,0,130,84,No
47,Belize,2000,0.133,Dentistry personnel density,per 1k pop,All,All,DPDDP48,0,130,84,No
48,Benin,2008,0.004,Dentistry personnel density,per 1k pop,All,All,DPDDP49,0,130,204,No
49,Benin,2004,0.002,Dentistry personnel density,per 1k pop,All,All,DPDDP50,0,130,204,No
50,Bhutan,2007,0.029,Dentistry personnel density,per 1k pop,All,All,DPDDP51,0,130,64,No
51,Bhutan,2004,0.025,Dentistry personnel density,per 1k pop,All,All,DPDDP52,0,130,64,No
52,Bolivia (Plurinational State of),2011,0.112,Dentistry personnel density,per 1k pop,All,All,DPDDP53,0,130,68,No
53,Bolivia (Plurinational State of),2010,0.097,Dentistry personnel density,per 1k pop,All,All,DPDDP54,0,130,68,No
54,Bolivia (Plurinational State of),2007,0.063,Dentistry personnel density,per 1k pop,All,All,DPDDP55,0,130,68,No
55,Bolivia (Plurinational State of),2001,0.707,Dentistry personnel density,per 1k pop,All,All,DPDDP56,0,130,68,No
56,Botswana,2004,0.021,Dentistry personnel density,per 1k pop,All,All,DPDDP57,0,130,72,No
57,Brazil,2009,1.18,Dentistry personnel density,per 1k pop,All,All,DPDDP58,0,130,76,No
58,Brazil,2008,1.172,Dentistry personnel density,per 1k pop,All,All,DPDDP59,0,130,76,No
59,Brazil,2007,1.149,Dentistry personnel density,per 1k pop,All,All,DPDDP60,0,130,76,No
60,Brazil,2006,1.15,Dentistry personnel density,per 1k pop,All,All,DPDDP61,0,130,76,No
61,Brazil,2005,1.115,Dentistry personnel density,per 1k pop,All,All,DPDDP62,0,130,76,No
62,Brazil,2004,0.985,Dentistry personnel density,per 1k pop,All,All,DPDDP63,0,130,76,No
63,Brazil,2000,1.109,Dentistry personnel density,per 1k pop,All,All,DPDDP64,0,130,76,No
64,Brazil,1991,0.67,Dentistry personnel density,per 1k pop,All,All,DPDDP65,0,130,76,No
65,Brunei Darussalam,2011,0.234,Dentistry personnel density,per 1k pop,All,All,DPDDP66,0,130,96,No
66,Brunei Darussalam,2010,0.208,Dentistry personnel density,per 1k pop,All,All,DPDDP67,0,130,96,No
67,Brunei Darussalam,2008,0.206,Dentistry personnel density,per 1k pop,All,All,DPDDP68,0,130,96,No
68,Brunei Darussalam,2007,0.208,Dentistry personnel density,per 1k pop,All,All,DPDDP69,0,130,96,No
69,Brunei Darussalam,2002,0.2,Dentistry personnel density,per 1k pop,All,All,DPDDP70,0,130,96,No
70,Brunei Darussalam,2000,0.144,Dentistry personnel density,per 1k pop,All,All,DPDDP71,0,130,96,No
71,Bulgaria,2011,0.897,Dentistry personnel density,per 1k pop,All,All,DPDDP72,0,130,100,No
72,Bulgaria,2010,0.853,Dentistry personnel density,per 1k pop,All,All,DPDDP73,0,130,100,No
73,Burkina Faso,2010,0.002,Dentistry personnel density,per 1k pop,All,All,DPDDP74,0,130,854,No
74,Burkina Faso,2006,0.002,Dentistry personnel density,per 1k pop,All,All,DPDDP75,0,130,854,No
75,Burkina Faso,2004,0.004,Dentistry personnel density,per 1k pop,All,All,DPDDP76,0,130,854,No
76,Burundi,2004,0.002,Dentistry personnel density,per 1k pop,All,All,DPDDP77,0,130,108,No
77,Cabo Verde,2010,0.007,Dentistry personnel density,per 1k pop,All,All,DPDDP78,0,130,132,No
78,Cabo Verde,2009,0.005,Dentistry personnel density,per 1k pop,All,All,DPDDP79,0,130,132,No
79,Cabo Verde,2007,0.006,Dentistry personnel density,per 1k pop,All,All,DPDDP80,0,130,132,No
80,Cabo Verde,2006,0.006,Dentistry personnel density,per 1k pop,All,All,DPDDP81,0,130,132,No
81,Cabo Verde,2004,0.023,Dentistry personnel density,per 1k pop,All,All,DPDDP82,0,130,132,No
82,Cambodia,2008,0.017,Dentistry personnel density,per 1k pop,All,All,DPDDP83,0,130,116,No
83,Cambodia,2000,0.016,Dentistry personnel density,per 1k pop,All,All,DPDDP84,0,130,116,No
84,Cambodia,1998,0.017,Dentistry personnel density,per 1k pop,All,All,DPDDP85,0,130,116,No
85,Cambodia,1996,0.016,Dentistry personnel density,per 1k pop,All,All,DPDDP86,0,130,116,No
86,Cameroon,2009,0.002,Dentistry personnel density,per 1k pop,All,All,DPDDP87,0,130,120,No
87,Cameroon,2007,0.002,Dentistry personnel density,per 1k pop,All,All,DPDDP88,0,130,120,No
88,Cameroon,2005,0.002,Dentistry personnel density,per 1k pop,All,All,DPDDP89,0,130,120,No
89,Cameroon,2004,0.009,Dentistry personnel density,per 1k pop,All,All,DPDDP90,0,130,120,No
90,Canada,2008,1.262,Dentistry personnel density,per 1k pop,All,All,DPDDP91,0,130,124,No
91,Canada,2006,1.176,Dentistry personnel density,per 1k pop,All,All,DPDDP92,0,130,124,No
92,Canada,2004,1.076,Dentistry personnel density,per 1k pop,All,All,DPDDP93,0,130,124,No
