,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,0,Diptheria,Absolute,All,All,DNRC1,0,130,4,No
1,Afghanistan,2011,0,Diptheria,Absolute,All,All,DNRC2,0,130,4,No
2,Afghanistan,2010,0,Diptheria,Absolute,All,All,DNRC3,0,130,4,No
3,Afghanistan,2009,0,Diptheria,Absolute,All,All,DNRC4,0,130,4,No
4,Albania,2012,0,Diptheria,Absolute,All,All,DNRC5,0,130,8,No
5,Albania,2010,0,Diptheria,Absolute,All,All,DNRC6,0,130,8,No
6,Albania,2009,0,Diptheria,Absolute,All,All,DNRC7,0,130,8,No
7,Algeria,2012,0,Diptheria,Absolute,All,All,DNRC8,0,130,12,No
8,Algeria,2011,1,Diptheria,Absolute,All,All,DNRC9,0,130,12,No
9,Algeria,2010,0,Diptheria,Absolute,All,All,DNRC10,0,130,12,No
10,Algeria,2009,0,Diptheria,Absolute,All,All,DNRC11,0,130,12,No
11,Andorra,2012,0,Diptheria,Absolute,All,All,DNRC12,0,130,20,No
12,Andorra,2011,0,Diptheria,Absolute,All,All,DNRC13,0,130,20,No
13,Andorra,2010,0,Diptheria,Absolute,All,All,DNRC14,0,130,20,No
14,Andorra,2009,0,Diptheria,Absolute,All,All,DNRC15,0,130,20,No
15,Angola,2012,15,Diptheria,Absolute,All,All,DNRC16,0,130,24,No
16,Angola,2011,0,Diptheria,Absolute,All,All,DNRC17,0,130,24,No
17,Antigua and Barbuda,2012,0,Diptheria,Absolute,All,All,DNRC18,0,130,28,No
18,Antigua and Barbuda,2011,0,Diptheria,Absolute,All,All,DNRC19,0,130,28,No
19,Antigua and Barbuda,2010,0,Diptheria,Absolute,All,All,DNRC20,0,130,28,No
20,Antigua and Barbuda,2009,0,Diptheria,Absolute,All,All,DNRC21,0,130,28,No
21,Argentina,2012,0,Diptheria,Absolute,All,All,DNRC22,0,130,32,No
22,Argentina,2011,0,Diptheria,Absolute,All,All,DNRC23,0,130,32,No
23,Argentina,2010,0,Diptheria,Absolute,All,All,DNRC24,0,130,32,No
24,Argentina,2009,0,Diptheria,Absolute,All,All,DNRC25,0,130,32,No
25,Armenia,2012,0,Diptheria,Absolute,All,All,DNRC26,0,130,51,No
26,Armenia,2011,0,Diptheria,Absolute,All,All,DNRC27,0,130,51,No
27,Armenia,2010,0,Diptheria,Absolute,All,All,DNRC28,0,130,51,No
28,Armenia,2009,1,Diptheria,Absolute,All,All,DNRC29,0,130,51,No
29,Australia,2012,0,Diptheria,Absolute,All,All,DNRC30,0,130,36,No
30,Australia,2011,4,Diptheria,Absolute,All,All,DNRC31,0,130,36,No
31,Australia,2010,0,Diptheria,Absolute,All,All,DNRC32,0,130,36,No
32,Australia,2009,0,Diptheria,Absolute,All,All,DNRC33,0,130,36,No
33,Austria,2012,0,Diptheria,Absolute,All,All,DNRC34,0,130,40,No
34,Austria,2011,0,Diptheria,Absolute,All,All,DNRC35,0,130,40,No
35,Austria,2010,0,Diptheria,Absolute,All,All,DNRC36,0,130,40,No
36,Austria,2009,0,Diptheria,Absolute,All,All,DNRC37,0,130,40,No
37,Azerbaijan,2012,0,Diptheria,Absolute,All,All,DNRC38,0,130,31,No
38,Azerbaijan,2011,0,Diptheria,Absolute,All,All,DNRC39,0,130,31,No
39,Azerbaijan,2010,0,Diptheria,Absolute,All,All,DNRC40,0,130,31,No
40,Bahamas,2012,0,Diptheria,Absolute,All,All,DNRC41,0,130,44,No
41,Bahamas,2011,0,Diptheria,Absolute,All,All,DNRC42,0,130,44,No
42,Bahamas,2010,0,Diptheria,Absolute,All,All,DNRC43,0,130,44,No
43,Bahamas,2009,0,Diptheria,Absolute,All,All,DNRC44,0,130,44,No
44,Bahrain,2012,0,Diptheria,Absolute,All,All,DNRC45,0,130,48,No
45,Bahrain,2011,0,Diptheria,Absolute,All,All,DNRC46,0,130,48,No
46,Bahrain,2010,0,Diptheria,Absolute,All,All,DNRC47,0,130,48,No
47,Bahrain,2009,0,Diptheria,Absolute,All,All,DNRC48,0,130,48,No
48,Bangladesh,2012,16,Diptheria,Absolute,All,All,DNRC49,0,130,50,No
49,Bangladesh,2011,11,Diptheria,Absolute,All,All,DNRC50,0,130,50,No
50,Bangladesh,2010,27,Diptheria,Absolute,All,All,DNRC51,0,130,50,No
51,Bangladesh,2009,23,Diptheria,Absolute,All,All,DNRC52,0,130,50,No
52,Barbados,2012,0,Diptheria,Absolute,All,All,DNRC53,0,130,52,No
53,Barbados,2011,0,Diptheria,Absolute,All,All,DNRC54,0,130,52,No
54,Barbados,2010,0,Diptheria,Absolute,All,All,DNRC55,0,130,52,No
55,Barbados,2009,0,Diptheria,Absolute,All,All,DNRC56,0,130,52,No
56,Belarus,2012,0,Diptheria,Absolute,All,All,DNRC57,0,130,112,No
57,Belarus,2011,0,Diptheria,Absolute,All,All,DNRC58,0,130,112,No
58,Belarus,2010,1,Diptheria,Absolute,All,All,DNRC59,0,130,112,No
59,Belarus,2009,3,Diptheria,Absolute,All,All,DNRC60,0,130,112,No
60,Belgium,2012,1,Diptheria,Absolute,All,All,DNRC61,0,130,56,No
61,Belgium,2011,0,Diptheria,Absolute,All,All,DNRC62,0,130,56,No
62,Belgium,2010,0,Diptheria,Absolute,All,All,DNRC63,0,130,56,No
