,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,71,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y1,1,1,4,No
1,Afghanistan,2011,68,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y2,1,1,4,No
2,Afghanistan,2010,66,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y3,1,1,4,No
3,Afghanistan,2009,63,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y4,1,1,4,No
4,Afghanistan,2008,64,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y5,1,1,4,No
5,Afghanistan,2007,63,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y6,1,1,4,No
6,Afghanistan,2006,58,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y7,1,1,4,No
7,Afghanistan,2005,58,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y8,1,1,4,No
8,Afghanistan,2004,50,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y9,1,1,4,No
9,Afghanistan,2003,41,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y10,1,1,4,No
10,Afghanistan,2002,36,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y11,1,1,4,No
11,Afghanistan,2001,33,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y12,1,1,4,No
12,Afghanistan,2000,24,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y13,1,1,4,No
13,Afghanistan,1999,27,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y14,1,1,4,No
14,Afghanistan,1998,27,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y15,1,1,4,No
15,Afghanistan,1997,28,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y16,1,1,4,No
16,Afghanistan,1996,31,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y17,1,1,4,No
17,Afghanistan,1995,20,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y18,1,1,4,No
18,Afghanistan,1994,12,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y19,1,1,4,No
19,Afghanistan,1993,18,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y20,1,1,4,No
20,Afghanistan,1992,21,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y21,1,1,4,No
21,Afghanistan,1991,23,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y22,1,1,4,No
22,Afghanistan,1990,25,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y23,1,1,4,No
23,Afghanistan,1989,33,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y24,1,1,4,No
24,Afghanistan,1988,35,DTP3 immunization coverage,Percent,1,All,DTP3IC1Y25,1,1,4,No
