,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,20.8,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH1,0,130,4,Yes
1,Afghanistan,2011,19.0,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH2,0,130,4,Yes
2,Afghanistan,2010,20.9,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH3,0,130,4,Yes
3,Afghanistan,2009,21.1,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH4,0,130,4,Yes
4,Afghanistan,2008,19.1,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH5,0,130,4,Yes
5,Afghanistan,2007,10.9,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH6,0,130,4,Yes
6,Afghanistan,2006,12.4,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH7,0,130,4,Yes
7,Afghanistan,2005,9.2,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH8,0,130,4,Yes
8,Afghanistan,2004,10.5,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH9,0,130,4,Yes
9,Afghanistan,2003,6.5,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH10,0,130,4,Yes
10,Afghanistan,2002,6.7,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH11,0,130,4,Yes
11,Albania,2012,47.6,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH12,0,130,8,Yes
12,Albania,2011,47.9,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH13,0,130,8,Yes
13,Albania,2010,45.4,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH14,0,130,8,Yes
14,Albania,2009,47.1,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH15,0,130,8,Yes
15,Albania,2008,43.7,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH16,0,130,8,Yes
16,Albania,2007,40.8,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH17,0,130,8,Yes
17,Albania,2006,43.9,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH18,0,130,8,Yes
18,Albania,2005,44.3,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH19,0,130,8,Yes
19,Albania,2004,42.0,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH20,0,130,8,Yes
20,Albania,2003,35.9,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH21,0,130,8,Yes
21,Albania,2002,34.8,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH22,0,130,8,Yes
22,Albania,2001,38.2,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH23,0,130,8,Yes
23,Albania,2000,36.1,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH24,0,130,8,Yes
24,Albania,1999,43.3,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH25,0,130,8,Yes
25,Albania,1998,39.5,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH26,0,130,8,Yes
26,Albania,1997,39.2,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH27,0,130,8,Yes
27,Albania,1996,39.4,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH28,0,130,8,Yes
28,Albania,1995,48.1,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH29,0,130,8,Yes
29,Algeria,2012,84.1,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH30,0,130,12,Yes
30,Algeria,2011,82.0,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH31,0,130,12,Yes
31,Algeria,2010,79.2,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH32,0,130,12,Yes
32,Algeria,2009,79.4,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH33,0,130,12,Yes
33,Algeria,2008,80.0,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH34,0,130,12,Yes
34,Algeria,2007,77.1,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH35,0,130,12,Yes
35,Algeria,2006,74.4,General government expenditure on health as a percentage of total expenditure on health,Percent,All,All,GGEHPTEH36,0,130,12,Yes
