,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,7.1,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE1,0,130,4,Yes
1,Afghanistan,2011,3.5,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE2,0,130,4,Yes
2,Afghanistan,2010,3.5,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE3,0,130,4,Yes
3,Afghanistan,2009,3.0,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE4,0,130,4,Yes
4,Afghanistan,2008,2.6,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE5,0,130,4,Yes
5,Afghanistan,2007,1.4,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE6,0,130,4,Yes
6,Afghanistan,2006,1.5,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE7,0,130,4,Yes
7,Afghanistan,2005,1.1,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE8,0,130,4,Yes
8,Afghanistan,2004,1.9,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE9,0,130,4,Yes
9,Afghanistan,2003,1.4,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE10,0,130,4,Yes
10,Afghanistan,2002,6.7,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE11,0,130,4,Yes
11,Albania,2012,9.9,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE12,0,130,8,Yes
12,Albania,2011,9.9,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE13,0,130,8,Yes
13,Albania,2010,8.5,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE14,0,130,8,Yes
14,Albania,2009,8.5,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE15,0,130,8,Yes
15,Albania,2008,8.4,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE16,0,130,8,Yes
16,Albania,2007,8.9,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE17,0,130,8,Yes
17,Albania,2006,9.0,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE18,0,130,8,Yes
18,Albania,2005,9.7,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE19,0,130,8,Yes
19,Albania,2004,9.2,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE20,0,130,8,Yes
20,Albania,2003,7.8,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE21,0,130,8,Yes
21,Albania,2002,7.2,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE22,0,130,8,Yes
22,Albania,2001,7.3,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE23,0,130,8,Yes
23,Albania,2000,7.1,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE24,0,130,8,Yes
24,Albania,1999,7.2,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE25,0,130,8,Yes
25,Albania,1998,6.3,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE26,0,130,8,Yes
26,Albania,1997,6.8,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE27,0,130,8,Yes
27,Albania,1996,6.6,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE28,0,130,8,Yes
28,Albania,1995,5.5,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE29,0,130,8,Yes
29,Algeria,2012,9.8,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE30,0,130,12,Yes
30,Algeria,2011,9.0,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE31,0,130,12,Yes
31,Algeria,2010,8.9,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE32,0,130,12,Yes
32,Algeria,2009,8.6,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE33,0,130,12,Yes
33,Algeria,2008,8.1,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE34,0,130,12,Yes
34,Algeria,2007,8.1,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE35,0,130,12,Yes
35,Algeria,2006,7.8,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE36,0,130,12,Yes
36,Algeria,2005,8.2,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE37,0,130,12,Yes
37,Algeria,2004,8.5,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE38,0,130,12,Yes
38,Algeria,2003,8.5,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE39,0,130,12,Yes
39,Algeria,2002,8.4,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE40,0,130,12,Yes
40,Algeria,2001,8.5,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE41,0,130,12,Yes
41,Algeria,2000,8.8,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE42,0,130,12,Yes
42,Algeria,1999,8.0,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE43,0,130,12,Yes
43,Algeria,1998,8.1,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE44,0,130,12,Yes
44,Algeria,1997,8.3,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE45,0,130,12,Yes
45,Algeria,1996,8.6,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE46,0,130,12,Yes
46,Algeria,1995,8.5,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE47,0,130,12,Yes
47,Andorra,2010,21.3,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE48,0,130,20,Yes
48,Andorra,2009,21.3,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE49,0,130,20,Yes
49,Andorra,2008,21.3,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE50,0,130,20,Yes
50,Andorra,2007,21.3,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE51,0,130,20,Yes
51,Andorra,2006,22.8,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE52,0,130,20,Yes
52,Andorra,2005,22.0,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE53,0,130,20,Yes
53,Andorra,2004,22.7,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE54,0,130,20,Yes
54,Andorra,2003,22.0,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE55,0,130,20,Yes
55,Andorra,2002,20.0,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE56,0,130,20,Yes
56,Andorra,2001,19.2,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE57,0,130,20,Yes
57,Andorra,2000,19.1,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE58,0,130,20,Yes
58,Andorra,1999,20.8,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE59,0,130,20,Yes
59,Andorra,1998,28.7,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE60,0,130,20,Yes
60,Andorra,1997,23.2,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE61,0,130,20,Yes
61,Andorra,1996,23.8,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE62,0,130,20,Yes
62,Andorra,1995,23.6,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE63,0,130,20,Yes
63,Angola,2012,5.6,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE64,0,130,24,Yes
64,Angola,2011,5.6,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE65,0,130,24,Yes
65,Angola,2010,6.3,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE66,0,130,24,Yes
66,Angola,2009,6.0,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE67,0,130,24,Yes
67,Angola,2008,6.5,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE68,0,130,24,Yes
68,Angola,2007,6.4,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE69,0,130,24,Yes
69,Angola,2006,9.6,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE70,0,130,24,Yes
70,Angola,2005,6.2,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE71,0,130,24,Yes
71,Angola,2004,6.4,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE72,0,130,24,Yes
72,Angola,2003,4.8,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE73,0,130,24,Yes
73,Angola,2002,3.7,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE74,0,130,24,Yes
74,Angola,2001,5.8,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE75,0,130,24,Yes
75,Angola,2000,2.9,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE76,0,130,24,Yes
76,Angola,1999,2.6,General government expenditure on health as a percentage of total government expenditure,Percent,All,All,GGEHPTGE77,0,130,24,Yes
