,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2007,0.028,Health management and support workers density,per 1k pop,All,All,HMASWDP1,0,130,12,No
1,Algeria,2005,1.875,Health management and support workers density,per 1k pop,All,All,HMASWDP2,0,130,12,No
2,Algeria,2002,1.929,Health management and support workers density,per 1k pop,All,All,HMASWDP3,0,130,12,No
3,Angola,2004,0.018,Health management and support workers density,per 1k pop,All,All,HMASWDP4,0,130,24,No
4,Australia,2006,0.096,Health management and support workers density,per 1k pop,All,All,HMASWDP5,0,130,36,No
5,Australia,2001,25.233,Health management and support workers density,per 1k pop,All,All,HMASWDP6,0,130,36,No
6,Bahrain,2004,2.789,Health management and support workers density,per 1k pop,All,All,HMASWDP7,0,130,48,No
7,Barbados,2005,0.022,Health management and support workers density,per 1k pop,All,All,HMASWDP8,0,130,52,No
8,Barbados,2001,0.022,Health management and support workers density,per 1k pop,All,All,HMASWDP9,0,130,52,No
9,Barbados,1995,0.023,Health management and support workers density,per 1k pop,All,All,HMASWDP10,0,130,52,No
10,Benin,2008,0.658,Health management and support workers density,per 1k pop,All,All,HMASWDP11,0,130,204,No
11,Benin,2004,0.474,Health management and support workers density,per 1k pop,All,All,HMASWDP12,0,130,204,No
12,Bhutan,2012,2.408,Health management and support workers density,per 1k pop,All,All,HMASWDP13,0,130,64,No
13,Bhutan,2008,0.618,Health management and support workers density,per 1k pop,All,All,HMASWDP14,0,130,64,No
14,Bhutan,2007,0.553,Health management and support workers density,per 1k pop,All,All,HMASWDP15,0,130,64,No
15,Bhutan,2004,0.515,Health management and support workers density,per 1k pop,All,All,HMASWDP16,0,130,64,No
16,Bolivia (Plurinational State of),2011,0.919,Health management and support workers density,per 1k pop,All,All,HMASWDP17,0,130,68,No
17,Bolivia (Plurinational State of),2010,0.434,Health management and support workers density,per 1k pop,All,All,HMASWDP18,0,130,68,No
18,Bolivia (Plurinational State of),2007,0.317,Health management and support workers density,per 1k pop,All,All,HMASWDP19,0,130,68,No
19,Bolivia (Plurinational State of),2001,0.956,Health management and support workers density,per 1k pop,All,All,HMASWDP20,0,130,68,No
20,Brazil,2000,4.886,Health management and support workers density,per 1k pop,All,All,HMASWDP21,0,130,76,No
21,Burkina Faso,2006,0.009,Health management and support workers density,per 1k pop,All,All,HMASWDP22,0,130,854,No
22,Burkina Faso,2004,0.016,Health management and support workers density,per 1k pop,All,All,HMASWDP23,0,130,854,No
23,Burundi,2004,0.295,Health management and support workers density,per 1k pop,All,All,HMASWDP24,0,130,108,No
24,Cabo Verde,2010,0.004,Health management and support workers density,per 1k pop,All,All,HMASWDP25,0,130,132,No
25,Cabo Verde,2009,0.004,Health management and support workers density,per 1k pop,All,All,HMASWDP26,0,130,132,No
26,Cabo Verde,2008,2.127,Health management and support workers density,per 1k pop,All,All,HMASWDP27,0,130,132,No
27,Cabo Verde,2007,0.004,Health management and support workers density,per 1k pop,All,All,HMASWDP28,0,130,132,No
28,Cabo Verde,2006,0.004,Health management and support workers density,per 1k pop,All,All,HMASWDP29,0,130,132,No
29,Cabo Verde,2004,0.156,Health management and support workers density,per 1k pop,All,All,HMASWDP30,0,130,132,No
30,Cameroon,2009,0.001,Health management and support workers density,per 1k pop,All,All,HMASWDP31,0,130,120,No
31,Cameroon,2007,0.001,Health management and support workers density,per 1k pop,All,All,HMASWDP32,0,130,120,No
32,Cameroon,2005,0.001,Health management and support workers density,per 1k pop,All,All,HMASWDP33,0,130,120,No
33,Cameroon,2004,0.362,Health management and support workers density,per 1k pop,All,All,HMASWDP34,0,130,120,No
34,Canada,2008,0.119,Health management and support workers density,per 1k pop,All,All,HMASWDP35,0,130,124,No
35,Canada,2006,0.099,Health management and support workers density,per 1k pop,All,All,HMASWDP36,0,130,124,No
36,Canada,2004,0.074,Health management and support workers density,per 1k pop,All,All,HMASWDP37,0,130,124,No
37,Canada,2002,0.078,Health management and support workers density,per 1k pop,All,All,HMASWDP38,0,130,124,No
38,Canada,2001,0.078,Health management and support workers density,per 1k pop,All,All,HMASWDP39,0,130,124,No
39,Canada,1998,0.094,Health management and support workers density,per 1k pop,All,All,HMASWDP40,0,130,124,No
40,Central African Republic,2009,0.009,Health management and support workers density,per 1k pop,All,All,HMASWDP41,0,130,140,No
41,Central African Republic,2008,0.008,Health management and support workers density,per 1k pop,All,All,HMASWDP42,0,130,140,No
42,Central African Republic,2004,0.043,Health management and support workers density,per 1k pop,All,All,HMASWDP43,0,130,140,No
43,Chad,2004,0.17,Health management and support workers density,per 1k pop,All,All,HMASWDP44,0,130,148,No
44,China,2010,0.701,Health management and support workers density,per 1k pop,All,All,HMASWDP45,0,130,156,No
45,China,2009,0.683,Health management and support workers density,per 1k pop,All,All,HMASWDP46,0,130,156,No
46,China,2001,0.833,Health management and support workers density,per 1k pop,All,All,HMASWDP47,0,130,156,No
47,Comoros,2004,0.343,Health management and support workers density,per 1k pop,All,All,HMASWDP48,0,130,174,No
48,Congo,2007,0.618,Health management and support workers density,per 1k pop,All,All,HMASWDP49,0,130,178,No
49,Congo,2006,0.252,Health management and support workers density,per 1k pop,All,All,HMASWDP50,0,130,178,No
50,Congo,2004,0.259,Health management and support workers density,per 1k pop,All,All,HMASWDP51,0,130,178,No
51,Congo,1998,0.161,Health management and support workers density,per 1k pop,All,All,HMASWDP52,0,130,178,No
52,Cook Islands,2009,1.0,Health management and support workers density,per 1k pop,All,All,HMASWDP53,0,130,184,No
53,Costa Rica,2013,0.131,Health management and support workers density,per 1k pop,All,All,HMASWDP54,0,130,188,No
54,Costa Rica,2000,4.685,Health management and support workers density,per 1k pop,All,All,HMASWDP55,0,130,188,No
55,Côte dIvoire,2008,0.134,Health management and support workers density,per 1k pop,All,All,HMASWDP56,0,130,384,No
56,Côte dIvoire,2005,0.133,Health management and support workers density,per 1k pop,All,All,HMASWDP57,0,130,384,No
57,Côte dIvoire,2004,0.125,Health management and support workers density,per 1k pop,All,All,HMASWDP58,0,130,384,No
58,Cuba,2010,0.189,Health management and support workers density,per 1k pop,All,All,HMASWDP59,0,130,192,No
59,Cyprus,2008,0.007,Health management and support workers density,per 1k pop,All,All,HMASWDP60,0,130,196,No
60,Cyprus,2006,0.006,Health management and support workers density,per 1k pop,All,All,HMASWDP61,0,130,196,No
61,Democratic Republic of the Congo,2004,0.276,Health management and support workers density,per 1k pop,All,All,HMASWDP62,0,130,180,No
62,Djibouti,2005,0.293,Health management and support workers density,per 1k pop,All,All,HMASWDP63,0,130,262,No
63,Djibouti,2004,0.326,Health management and support workers density,per 1k pop,All,All,HMASWDP64,0,130,262,No
64,Ecuador,2009,1.419,Health management and support workers density,per 1k pop,All,All,HMASWDP65,0,130,218,No
65,Ecuador,2003,1.057,Health management and support workers density,per 1k pop,All,All,HMASWDP66,0,130,218,No
66,Ecuador,2002,1.163,Health management and support workers density,per 1k pop,All,All,HMASWDP67,0,130,218,No
67,Ecuador,2001,1.147,Health management and support workers density,per 1k pop,All,All,HMASWDP68,0,130,218,No
68,Ecuador,2000,1.177,Health management and support workers density,per 1k pop,All,All,HMASWDP69,0,130,218,No
69,Ecuador,1999,1.225,Health management and support workers density,per 1k pop,All,All,HMASWDP70,0,130,218,No
70,Ecuador,1998,1.25,Health management and support workers density,per 1k pop,All,All,HMASWDP71,0,130,218,No
71,Ecuador,1997,1.23,Health management and support workers density,per 1k pop,All,All,HMASWDP72,0,130,218,No
72,Ecuador,1996,1.202,Health management and support workers density,per 1k pop,All,All,HMASWDP73,0,130,218,No
73,Ecuador,1995,0.331,Health management and support workers density,per 1k pop,All,All,HMASWDP74,0,130,218,No
74,Ecuador,1994,1.215,Health management and support workers density,per 1k pop,All,All,HMASWDP75,0,130,218,No
75,Ecuador,1993,1.012,Health management and support workers density,per 1k pop,All,All,HMASWDP76,0,130,218,No
76,Ecuador,1992,1.237,Health management and support workers density,per 1k pop,All,All,HMASWDP77,0,130,218,No
77,Ecuador,1991,1.217,Health management and support workers density,per 1k pop,All,All,HMASWDP78,0,130,218,No
78,Ecuador,1990,1.184,Health management and support workers density,per 1k pop,All,All,HMASWDP79,0,130,218,No
79,Egypt,2004,0.07,Health management and support workers density,per 1k pop,All,All,HMASWDP80,0,130,818,No
80,Equatorial Guinea,2004,0.146,Health management and support workers density,per 1k pop,All,All,HMASWDP81,0,130,226,No
81,Eritrea,2004,0.178,Health management and support workers density,per 1k pop,All,All,HMASWDP82,0,130,232,No
82,Estonia,2000,7.944,Health management and support workers density,per 1k pop,All,All,HMASWDP83,0,130,233,No
83,Fiji,2009,0.302,Health management and support workers density,per 1k pop,All,All,HMASWDP84,0,130,242,No
84,Gabon,2004,0.107,Health management and support workers density,per 1k pop,All,All,HMASWDP85,0,130,266,No
85,Gambia,2008,0.174,Health management and support workers density,per 1k pop,All,All,HMASWDP86,0,130,270,No
86,Gambia,2007,0.179,Health management and support workers density,per 1k pop,All,All,HMASWDP87,0,130,270,No
87,Gambia,2006,0.135,Health management and support workers density,per 1k pop,All,All,HMASWDP88,0,130,270,No
88,Gambia,2005,0.134,Health management and support workers density,per 1k pop,All,All,HMASWDP89,0,130,270,No
89,Gambia,2004,0.14,Health management and support workers density,per 1k pop,All,All,HMASWDP90,0,130,270,No
90,Gambia,2003,0.274,Health management and support workers density,per 1k pop,All,All,HMASWDP91,0,130,270,No
91,Ghana,2008,0.011,Health management and support workers density,per 1k pop,All,All,HMASWDP92,0,130,288,No
92,Ghana,2007,0.922,Health management and support workers density,per 1k pop,All,All,HMASWDP93,0,130,288,No
93,Ghana,2004,0.896,Health management and support workers density,per 1k pop,All,All,HMASWDP94,0,130,288,No
94,Grenada,2003,0.05,Health management and support workers density,per 1k pop,All,All,HMASWDP95,0,130,308,No
95,Grenada,2002,0.049,Health management and support workers density,per 1k pop,All,All,HMASWDP96,0,130,308,No
96,Grenada,2001,0.049,Health management and support workers density,per 1k pop,All,All,HMASWDP97,0,130,308,No
97,Grenada,2000,0.049,Health management and support workers density,per 1k pop,All,All,HMASWDP98,0,130,308,No
98,Grenada,1999,0.049,Health management and support workers density,per 1k pop,All,All,HMASWDP99,0,130,308,No
99,Guinea,2005,0.05,Health management and support workers density,per 1k pop,All,All,HMASWDP100,0,130,324,No
100,Guinea,2004,0.059,Health management and support workers density,per 1k pop,All,All,HMASWDP101,0,130,324,No
101,Guinea,2000,0.055,Health management and support workers density,per 1k pop,All,All,HMASWDP102,0,130,324,No
102,Guinea-Bissau,2008,0.38,Health management and support workers density,per 1k pop,All,All,HMASWDP103,0,130,624,No
103,Guinea-Bissau,2004,0.025,Health management and support workers density,per 1k pop,All,All,HMASWDP104,0,130,624,No
104,Honduras,2005,0.768,Health management and support workers density,per 1k pop,All,All,HMASWDP105,0,130,340,No
105,Indonesia,2012,0.513,Health management and support workers density,per 1k pop,All,All,HMASWDP106,0,130,360,No
106,Indonesia,2010,0.487,Health management and support workers density,per 1k pop,All,All,HMASWDP107,0,130,360,No
