,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,71,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y1,1,1,4,No
1,Afghanistan,2011,68,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y2,1,1,4,No
2,Afghanistan,2010,66,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y3,1,1,4,No
3,Afghanistan,2009,63,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y4,1,1,4,No
4,Afghanistan,2008,64,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y5,1,1,4,No
5,Afghanistan,2007,63,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y6,1,1,4,No
6,Afghanistan,2006,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y7,1,1,4,No
7,Afghanistan,2005,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y8,1,1,4,No
8,Afghanistan,2004,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y9,1,1,4,No
9,Afghanistan,2003,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y10,1,1,4,No
10,Afghanistan,2002,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y11,1,1,4,No
11,Afghanistan,2001,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y12,1,1,4,No
12,Afghanistan,2000,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y13,1,1,4,No
13,Afghanistan,1999,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y14,1,1,4,No
14,Afghanistan,1998,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y15,1,1,4,No
15,Afghanistan,1997,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y16,1,1,4,No
16,Afghanistan,1996,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y17,1,1,4,No
17,Afghanistan,1995,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y18,1,1,4,No
18,Afghanistan,1994,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y19,1,1,4,No
19,Afghanistan,1993,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y20,1,1,4,No
20,Afghanistan,1992,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y21,1,1,4,No
21,Afghanistan,1991,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y22,1,1,4,No
22,Afghanistan,1990,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y23,1,1,4,No
23,Afghanistan,1989,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y24,1,1,4,No
24,Afghanistan,1988,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y25,1,1,4,No
25,Afghanistan,1987,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y26,1,1,4,No
26,Afghanistan,1986,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y27,1,1,4,No
27,Afghanistan,1985,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y28,1,1,4,No
28,Albania,2012,99,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y29,1,1,8,No
29,Albania,2011,99,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y30,1,1,8,No
30,Albania,2010,99,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y31,1,1,8,No
31,Albania,2009,98,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y32,1,1,8,No
32,Albania,2008,99,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y33,1,1,8,No
33,Albania,2007,98,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y34,1,1,8,No
34,Albania,2006,98,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y35,1,1,8,No
35,Albania,2005,98,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y36,1,1,8,No
36,Albania,2004,99,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y37,1,1,8,No
37,Albania,2003,97,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y38,1,1,8,No
38,Albania,2002,96,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y39,1,1,8,No
39,Albania,2001,96,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y40,1,1,8,No
40,Albania,2000,96,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y41,1,1,8,No
41,Albania,1999,96,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y42,1,1,8,No
42,Albania,1998,94,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y43,1,1,8,No
43,Albania,1997,97,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y44,1,1,8,No
44,Albania,1996,96,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y45,1,1,8,No
45,Albania,1995,88,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y46,1,1,8,No
46,Albania,1994,99,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y47,1,1,8,No
47,Albania,1993,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y48,1,1,8,No
48,Albania,1992,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y49,1,1,8,No
49,Albania,1991,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y50,1,1,8,No
50,Albania,1990,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y51,1,1,8,No
51,Albania,1989,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y52,1,1,8,No
52,Albania,1988,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y53,1,1,8,No
53,Albania,1987,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y54,1,1,8,No
54,Albania,1986,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y55,1,1,8,No
55,Albania,1985,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y56,1,1,8,No
56,Algeria,2012,95,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y57,1,1,12,No
57,Algeria,2011,95,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y58,1,1,12,No
58,Algeria,2010,95,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y59,1,1,12,No
59,Algeria,2009,94,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y60,1,1,12,No
60,Algeria,2008,91,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y61,1,1,12,No
61,Algeria,2007,90,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y62,1,1,12,No
62,Algeria,2006,80,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y63,1,1,12,No
63,Algeria,2005,83,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y64,1,1,12,No
64,Algeria,2004,81,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y65,1,1,12,No
65,Algeria,2003,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y66,1,1,12,No
66,Algeria,2002,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y67,1,1,12,No
67,Algeria,2001,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y68,1,1,12,No
68,Algeria,2000,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y69,1,1,12,No
69,Algeria,1999,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y70,1,1,12,No
70,Algeria,1998,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y71,1,1,12,No
71,Algeria,1997,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y72,1,1,12,No
72,Algeria,1996,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y73,1,1,12,No
73,Algeria,1995,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y74,1,1,12,No
74,Algeria,1994,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y75,1,1,12,No
75,Algeria,1993,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y76,1,1,12,No
76,Algeria,1992,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y77,1,1,12,No
77,Algeria,1991,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y78,1,1,12,No
78,Algeria,1990,0,Hepatitis B immunization coverage,Percent,1,All,HBIC1Y79,1,1,12,No
