,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,71,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y1,1,1,4,No
1,Afghanistan,2011,68,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y2,1,1,4,No
2,Afghanistan,2010,66,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y3,1,1,4,No
3,Afghanistan,2009,63,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y4,1,1,4,No
4,Afghanistan,2008,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y5,1,1,4,No
5,Afghanistan,2007,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y6,1,1,4,No
6,Afghanistan,2006,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y7,1,1,4,No
7,Afghanistan,2005,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y8,1,1,4,No
8,Afghanistan,2004,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y9,1,1,4,No
9,Afghanistan,2003,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y10,1,1,4,No
10,Afghanistan,2002,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y11,1,1,4,No
11,Afghanistan,2001,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y12,1,1,4,No
12,Afghanistan,2000,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y13,1,1,4,No
13,Afghanistan,1999,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y14,1,1,4,No
14,Afghanistan,1998,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y15,1,1,4,No
15,Afghanistan,1997,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y16,1,1,4,No
16,Afghanistan,1996,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y17,1,1,4,No
17,Afghanistan,1995,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y18,1,1,4,No
18,Afghanistan,1994,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y19,1,1,4,No
19,Afghanistan,1993,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y20,1,1,4,No
20,Afghanistan,1992,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y21,1,1,4,No
21,Afghanistan,1991,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y22,1,1,4,No
22,Afghanistan,1990,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y23,1,1,4,No
23,Albania,2012,99,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y24,1,1,8,No
24,Albania,2011,99,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y25,1,1,8,No
25,Albania,2010,99,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y26,1,1,8,No
26,Albania,2009,98,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y27,1,1,8,No
27,Albania,2008,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y28,1,1,8,No
28,Albania,2007,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y29,1,1,8,No
29,Albania,2006,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y30,1,1,8,No
30,Albania,2005,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y31,1,1,8,No
31,Albania,2004,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y32,1,1,8,No
32,Albania,2003,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y33,1,1,8,No
33,Albania,2002,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y34,1,1,8,No
34,Albania,2001,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y35,1,1,8,No
35,Albania,2000,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y36,1,1,8,No
36,Albania,1999,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y37,1,1,8,No
37,Albania,1998,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y38,1,1,8,No
38,Albania,1997,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y39,1,1,8,No
39,Albania,1996,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y40,1,1,8,No
40,Albania,1995,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y41,1,1,8,No
41,Albania,1994,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y42,1,1,8,No
42,Albania,1993,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y43,1,1,8,No
43,Albania,1992,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y44,1,1,8,No
44,Albania,1991,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y45,1,1,8,No
45,Albania,1990,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y46,1,1,8,No
46,Algeria,2012,95,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y47,1,1,12,No
47,Algeria,2011,95,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y48,1,1,12,No
48,Algeria,2010,95,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y49,1,1,12,No
49,Algeria,2009,95,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y50,1,1,12,No
50,Algeria,2008,93,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y51,1,1,12,No
51,Algeria,2007,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y52,1,1,12,No
52,Algeria,2006,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y53,1,1,12,No
53,Algeria,2005,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y54,1,1,12,No
54,Algeria,2004,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y55,1,1,12,No
55,Algeria,2003,0,Hib3 immunization coverage,Percent,1,All,HIB3IC1Y56,1,1,12,No
