,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Andorra,2010,1.7,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR1,0,130,20,No
1,Antigua and Barbuda,2009,7.2,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR2,0,130,28,No
2,Argentina,2010,22.1,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR3,0,130,32,No
3,Armenia,2011,3.0,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR4,0,130,51,No
4,Australia,2007,5.4,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR5,0,130,36,No
5,Austria,2011,9.7,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR6,0,130,40,No
6,Azerbaijan,2007,34.3,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR7,0,130,31,No
7,Bahamas,2008,5.9,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR8,0,130,44,No
8,Bahrain,2009,30.6,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR9,0,130,48,No
9,Barbados,2008,9.5,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR10,0,130,52,No
10,Belarus,2009,11.9,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR11,0,130,112,No
11,Belgium,2006,12.2,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR12,0,130,56,No
12,Belize,2009,10.2,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR13,0,130,84,No
13,Bosnia and Herzegovina,2011,24.5,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR14,0,130,70,No
14,Brazil,2010,12.1,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR15,0,130,76,No
15,Brunei Darussalam,2010,6.2,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR16,0,130,96,No
16,Bulgaria,2011,26.9,Ill-defined Causes in Cause-of-death Registration,Percent,All,All,IDCCODR17,0,130,100,No
