,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,189.0,Incidence of TB,per 100k pop,All,All,ITB1,0,130,4,No
1,Afghanistan,2011,189.0,Incidence of TB,per 100k pop,All,All,ITB2,0,130,4,No
2,Afghanistan,2010,189.0,Incidence of TB,per 100k pop,All,All,ITB3,0,130,4,No
3,Afghanistan,2009,189.0,Incidence of TB,per 100k pop,All,All,ITB4,0,130,4,No
4,Afghanistan,2008,189.0,Incidence of TB,per 100k pop,All,All,ITB5,0,130,4,No
5,Afghanistan,2007,189.0,Incidence of TB,per 100k pop,All,All,ITB6,0,130,4,No
6,Afghanistan,2006,189.0,Incidence of TB,per 100k pop,All,All,ITB7,0,130,4,No
7,Afghanistan,2005,189.0,Incidence of TB,per 100k pop,All,All,ITB8,0,130,4,No
8,Afghanistan,2004,189.0,Incidence of TB,per 100k pop,All,All,ITB9,0,130,4,No
9,Afghanistan,2003,189.0,Incidence of TB,per 100k pop,All,All,ITB10,0,130,4,No
10,Afghanistan,2002,189.0,Incidence of TB,per 100k pop,All,All,ITB11,0,130,4,No
11,Afghanistan,2001,189.0,Incidence of TB,per 100k pop,All,All,ITB12,0,130,4,No
12,Afghanistan,2000,189.0,Incidence of TB,per 100k pop,All,All,ITB13,0,130,4,No
13,Afghanistan,1999,189.0,Incidence of TB,per 100k pop,All,All,ITB14,0,130,4,No
14,Afghanistan,1998,189.0,Incidence of TB,per 100k pop,All,All,ITB15,0,130,4,No
15,Afghanistan,1997,189.0,Incidence of TB,per 100k pop,All,All,ITB16,0,130,4,No
16,Afghanistan,1996,189.0,Incidence of TB,per 100k pop,All,All,ITB17,0,130,4,No
17,Afghanistan,1995,189.0,Incidence of TB,per 100k pop,All,All,ITB18,0,130,4,No
18,Afghanistan,1994,189.0,Incidence of TB,per 100k pop,All,All,ITB19,0,130,4,No
19,Afghanistan,1993,189.0,Incidence of TB,per 100k pop,All,All,ITB20,0,130,4,No
20,Afghanistan,1992,189.0,Incidence of TB,per 100k pop,All,All,ITB21,0,130,4,No
21,Afghanistan,1991,189.0,Incidence of TB,per 100k pop,All,All,ITB22,0,130,4,No
22,Afghanistan,1990,189.0,Incidence of TB,per 100k pop,All,All,ITB23,0,130,4,No
23,Albania,2012,16.0,Incidence of TB,per 100k pop,All,All,ITB24,0,130,8,No
24,Albania,2011,17.0,Incidence of TB,per 100k pop,All,All,ITB25,0,130,8,No
25,Albania,2010,17.0,Incidence of TB,per 100k pop,All,All,ITB26,0,130,8,No
26,Albania,2009,17.0,Incidence of TB,per 100k pop,All,All,ITB27,0,130,8,No
27,Albania,2008,17.0,Incidence of TB,per 100k pop,All,All,ITB28,0,130,8,No
28,Albania,2007,17.0,Incidence of TB,per 100k pop,All,All,ITB29,0,130,8,No
29,Albania,2006,18.0,Incidence of TB,per 100k pop,All,All,ITB30,0,130,8,No
30,Albania,2005,20.0,Incidence of TB,per 100k pop,All,All,ITB31,0,130,8,No
31,Albania,2004,21.0,Incidence of TB,per 100k pop,All,All,ITB32,0,130,8,No
32,Albania,2003,21.0,Incidence of TB,per 100k pop,All,All,ITB33,0,130,8,No
33,Albania,2002,23.0,Incidence of TB,per 100k pop,All,All,ITB34,0,130,8,No
34,Albania,2001,21.0,Incidence of TB,per 100k pop,All,All,ITB35,0,130,8,No
35,Albania,2000,23.0,Incidence of TB,per 100k pop,All,All,ITB36,0,130,8,No
36,Albania,1999,27.0,Incidence of TB,per 100k pop,All,All,ITB37,0,130,8,No
37,Albania,1998,26.0,Incidence of TB,per 100k pop,All,All,ITB38,0,130,8,No
38,Albania,1997,24.0,Incidence of TB,per 100k pop,All,All,ITB39,0,130,8,No
39,Albania,1996,24.0,Incidence of TB,per 100k pop,All,All,ITB40,0,130,8,No
40,Albania,1995,24.0,Incidence of TB,per 100k pop,All,All,ITB41,0,130,8,No
41,Albania,1994,24.0,Incidence of TB,per 100k pop,All,All,ITB42,0,130,8,No
42,Albania,1993,24.0,Incidence of TB,per 100k pop,All,All,ITB43,0,130,8,No
43,Albania,1992,24.0,Incidence of TB,per 100k pop,All,All,ITB44,0,130,8,No
44,Albania,1991,24.0,Incidence of TB,per 100k pop,All,All,ITB45,0,130,8,No
45,Albania,1990,24.0,Incidence of TB,per 100k pop,All,All,ITB46,0,130,8,No
46,Algeria,2012,89.0,Incidence of TB,per 100k pop,All,All,ITB47,0,130,12,No
47,Algeria,2011,90.0,Incidence of TB,per 100k pop,All,All,ITB48,0,130,12,No
