,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,54.3,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M1,0,0.5,4,No
1,Albania,2009,39,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M2,0,0.5,8,No
2,Algeria,2006,7,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M3,0,0.5,12,No
3,Angola,2001,11,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M4,0,0.5,24,No
4,Argentina,2010,55,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M5,0,0.5,32,No
5,Armenia,2010,34.6,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M6,0,0.5,51,No
6,Armenia,2005,33,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M7,0,0.5,51,No
7,Austria,2006,10,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M8,0,0.5,40,No
8,Azerbaijan,2006,12,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M9,0,0.5,31,No
9,Bangladesh,2011,63.5,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M10,0,0.5,50,No
10,Bangladesh,2011,64,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M11,0,0.5,50,No
11,Bangladesh,2007,43,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M12,0,0.5,50,No
12,Belarus,2012,19,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M13,0,0.5,112,No
13,Belarus,2005,9,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M14,0,0.5,112,No
14,Belgium,2002,1,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M15,0,0.5,56,No
15,Belize,2011,14.7,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M16,0,0.5,84,No
16,Belize,2006,10,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M17,0,0.5,84,No
17,Benin,2012,33,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M18,0,0.5,204,No
18,Benin,2006,43,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M19,0,0.5,204,No
19,Bhutan,2010,49,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M20,0,0.5,64,No
20,Bhutan,2008,10,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M21,0,0.5,64,No
21,Bolivia (Plurinational State of),2008,60,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M22,0,0.5,68,No
22,Bosnia and Herzegovina,2012,22,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M23,0,0.5,70,No
23,Bosnia and Herzegovina,2006,18,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M24,0,0.5,70,No
24,Brazil,2007,40,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M25,0,0.5,76,No
25,Burkina Faso,2010,24.8,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M26,0,0.5,854,No
26,Burkina Faso,2006,7,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M27,0,0.5,854,No
27,Burundi,2010,69.3,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M28,0,0.5,108,No
28,Burundi,2005,45,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M29,0,0.5,108,No
29,Cabo Verde,2005,60,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M30,0,0.5,132,No
30,Cambodia,2010,74,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M31,0,0.5,116,No
31,Cambodia,2008,66,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M32,0,0.5,116,No
32,Cameroon,2011,20,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M33,0,0.5,120,No
33,Cameroon,2006,21,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M34,0,0.5,120,No
34,Canada,2006,14,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M35,0,0.5,124,No
35,Canada,2005,16,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M36,0,0.5,124,No
36,Central African Republic,2006,23,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M37,0,0.5,140,No
37,Chad,2010,3,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M38,0,0.5,148,No
38,Chad,2004,2,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M39,0,0.5,148,No
39,Chile,2002,58,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M40,0,0.5,152,No
40,China,2008,27.8,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M41,0,0.5,156,No
41,Colombia,2010,43,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M42,0,0.5,170,No
42,Colombia,2005,47,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M43,0,0.5,170,No
43,Comoros,2000,21,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M44,0,0.5,174,No
44,Congo,2012,21,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M45,0,0.5,178,No
45,Congo,2005,19,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M46,0,0.5,178,No
46,Costa Rica,2006,19,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M47,0,0.5,188,No
47,Côte dIvoire,2012,12.1,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M48,0,0.5,384,No
48,Côte dIvoire,2006,4,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M49,0,0.5,384,No
49,Cuba,2011,48.6,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M50,0,0.5,192,No
50,Cuba,2006,26,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M51,0,0.5,192,No
51,Democratic Peoples Republic of Korea,2009,89,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M52,0,0.5,408,No
52,Democratic Peoples Republic of Korea,2004,65,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M53,0,0.5,408,No
53,Democratic Republic of the Congo,2010,37,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M54,0,0.5,180,No
54,Djibouti,2006,1,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M55,0,0.5,262,No
55,Dominican Republic,2007,8,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M56,0,0.5,214,No
56,Ecuador,2012,44,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M57,0,0.5,218,No
57,Ecuador,2004,40,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M58,0,0.5,218,No
58,Egypt,2008,53,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M59,0,0.5,818,No
59,El Salvador,2008,31,Infants exclusively breastfed,Percent,0-0.5,All,IEBF6M60,0,0.5,222,No
