,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP1,0,130,4,No
1,Albania,2011,0.06,Mental hospitals,per 100k pop,All,All,MENHOSP2,0,130,8,No
2,Algeria,2011,0.04,Mental hospitals,per 100k pop,All,All,MENHOSP3,0,130,12,No
3,Andorra,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP4,0,130,20,No
4,Angola,2011,0.01,Mental hospitals,per 100k pop,All,All,MENHOSP5,0,130,24,No
5,Antigua and Barbuda,2011,1.13,Mental hospitals,per 100k pop,All,All,MENHOSP6,0,130,28,No
6,Argentina,2011,0.13,Mental hospitals,per 100k pop,All,All,MENHOSP7,0,130,32,No
7,Armenia,2011,0.32,Mental hospitals,per 100k pop,All,All,MENHOSP8,0,130,51,No
8,Australia,2011,0.07,Mental hospitals,per 100k pop,All,All,MENHOSP9,0,130,36,No
9,Austria,2011,0.08,Mental hospitals,per 100k pop,All,All,MENHOSP10,0,130,40,No
10,Azerbaijan,2011,0.12,Mental hospitals,per 100k pop,All,All,MENHOSP11,0,130,31,No
11,Bahrain,2011,0.12,Mental hospitals,per 100k pop,All,All,MENHOSP12,0,130,48,No
12,Bangladesh,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP13,0,130,50,No
13,Barbados,2011,0.39,Mental hospitals,per 100k pop,All,All,MENHOSP14,0,130,52,No
14,Belarus,2011,0.15,Mental hospitals,per 100k pop,All,All,MENHOSP15,0,130,112,No
15,Belgium,2011,0.64,Mental hospitals,per 100k pop,All,All,MENHOSP16,0,130,56,No
16,Belize,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP17,0,130,84,No
17,Benin,2011,0.02,Mental hospitals,per 100k pop,All,All,MENHOSP18,0,130,204,No
18,Bhutan,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP19,0,130,64,No
19,Bolivia (Plurinational State of),2011,0.09,Mental hospitals,per 100k pop,All,All,MENHOSP20,0,130,68,No
20,Bosnia and Herzegovina,2011,0.16,Mental hospitals,per 100k pop,All,All,MENHOSP21,0,130,70,No
21,Botswana,2011,0.1,Mental hospitals,per 100k pop,All,All,MENHOSP22,0,130,72,No
22,Brazil,2011,0.11,Mental hospitals,per 100k pop,All,All,MENHOSP23,0,130,76,No
23,Brunei Darussalam,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP24,0,130,96,No
24,Bulgaria,2011,0.16,Mental hospitals,per 100k pop,All,All,MENHOSP25,0,130,100,No
25,Burundi,2011,0.01,Mental hospitals,per 100k pop,All,All,MENHOSP26,0,130,108,No
26,Cabo Verde,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP27,0,130,132,No
27,Cambodia,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP28,0,130,116,No
28,Cameroon,2011,0.01,Mental hospitals,per 100k pop,All,All,MENHOSP29,0,130,120,No
29,Central African Republic,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP30,0,130,140,No
30,Chad,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP31,0,130,148,No
31,Chile,2011,0.02,Mental hospitals,per 100k pop,All,All,MENHOSP32,0,130,152,No
32,China,2011,0.06,Mental hospitals,per 100k pop,All,All,MENHOSP33,0,130,156,No
33,Comoros,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP34,0,130,174,No
34,Congo,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP35,0,130,178,No
35,Cook Islands,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP36,0,130,184,No
36,Costa Rica,2011,0.04,Mental hospitals,per 100k pop,All,All,MENHOSP37,0,130,188,No
37,Côte dIvoire,2011,0.01,Mental hospitals,per 100k pop,All,All,MENHOSP38,0,130,384,No
38,Croatia,2011,0.16,Mental hospitals,per 100k pop,All,All,MENHOSP39,0,130,191,No
39,Cuba,2011,0.21,Mental hospitals,per 100k pop,All,All,MENHOSP40,0,130,192,No
40,Cyprus,2011,0.11,Mental hospitals,per 100k pop,All,All,MENHOSP41,0,130,196,No
41,Czech Republic,2011,0.18,Mental hospitals,per 100k pop,All,All,MENHOSP42,0,130,203,No
42,Democratic Republic of the Congo,2011,0.01,Mental hospitals,per 100k pop,All,All,MENHOSP43,0,130,180,No
43,Dominica,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP44,0,130,212,No
44,Dominican Republic,2011,0.01,Mental hospitals,per 100k pop,All,All,MENHOSP45,0,130,214,No
45,Ecuador,2011,0.04,Mental hospitals,per 100k pop,All,All,MENHOSP46,0,130,218,No
46,Egypt,2011,0.04,Mental hospitals,per 100k pop,All,All,MENHOSP47,0,130,818,No
47,El Salvador,2011,0.02,Mental hospitals,per 100k pop,All,All,MENHOSP48,0,130,222,No
48,Eritrea,2011,0.02,Mental hospitals,per 100k pop,All,All,MENHOSP49,0,130,232,No
49,Estonia,2011,0.37,Mental hospitals,per 100k pop,All,All,MENHOSP50,0,130,233,No
50,Ethiopia,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP51,0,130,231,No
51,Ethiopia,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP51,0,130,230,No
52,Fiji,2011,0.12,Mental hospitals,per 100k pop,All,All,MENHOSP52,0,130,242,No
53,Finland,2011,0.04,Mental hospitals,per 100k pop,All,All,MENHOSP53,0,130,246,No
54,France,2011,0.6,Mental hospitals,per 100k pop,All,All,MENHOSP54,0,130,250,No
55,Gabon,2011,0.07,Mental hospitals,per 100k pop,All,All,MENHOSP55,0,130,266,No
56,Gambia,2011,0.06,Mental hospitals,per 100k pop,All,All,MENHOSP56,0,130,270,No
57,Georgia,2011,0.14,Mental hospitals,per 100k pop,All,All,MENHOSP57,0,130,268,No
58,Germany,2011,0.33,Mental hospitals,per 100k pop,All,All,MENHOSP58,0,130,276,No
59,Ghana,2011,0.02,Mental hospitals,per 100k pop,All,All,MENHOSP59,0,130,288,No
60,Greece,2011,0.08,Mental hospitals,per 100k pop,All,All,MENHOSP60,0,130,300,No
61,Grenada,2011,0.96,Mental hospitals,per 100k pop,All,All,MENHOSP61,0,130,308,No
62,Guatemala,2011,0.02,Mental hospitals,per 100k pop,All,All,MENHOSP62,0,130,320,No
63,Guinea,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP63,0,130,324,No
64,Guinea-Bissau,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP64,0,130,624,No
65,Guyana,2011,0.13,Mental hospitals,per 100k pop,All,All,MENHOSP65,0,130,328,No
66,Haiti,2011,0.02,Mental hospitals,per 100k pop,All,All,MENHOSP66,0,130,332,No
67,Honduras,2011,0.03,Mental hospitals,per 100k pop,All,All,MENHOSP67,0,130,340,No
68,Hungary,2011,0.03,Mental hospitals,per 100k pop,All,All,MENHOSP68,0,130,348,No
69,India,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP69,0,130,356,No
70,Indonesia,2011,0.02,Mental hospitals,per 100k pop,All,All,MENHOSP70,0,130,360,No
71,Iran (Islamic Republic of),2011,0.05,Mental hospitals,per 100k pop,All,All,MENHOSP71,0,130,364,No
72,Iraq,2011,0.01,Mental hospitals,per 100k pop,All,All,MENHOSP72,0,130,368,No
73,Ireland,2011,0.78,Mental hospitals,per 100k pop,All,All,MENHOSP73,0,130,372,No
74,Israel,2011,0.19,Mental hospitals,per 100k pop,All,All,MENHOSP74,0,130,376,No
75,Italy,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP75,0,130,380,No
76,Jamaica,2011,0.29,Mental hospitals,per 100k pop,All,All,MENHOSP76,0,130,388,No
77,Japan,2011,0.84,Mental hospitals,per 100k pop,All,All,MENHOSP77,0,130,392,No
78,Japan,2011,0.84,Mental hospitals,per 100k pop,All,All,MENHOSP77,0,130,392,No
79,Jordan,2011,0.03,Mental hospitals,per 100k pop,All,All,MENHOSP78,0,130,400,No
80,Kazakhstan,2011,0.2,Mental hospitals,per 100k pop,All,All,MENHOSP79,0,130,398,No
81,Kiribati,2011,1.0,Mental hospitals,per 100k pop,All,All,MENHOSP80,0,130,296,No
82,Kuwait,2011,0.03,Mental hospitals,per 100k pop,All,All,MENHOSP81,0,130,414,No
83,Kyrgyzstan,2011,0.09,Mental hospitals,per 100k pop,All,All,MENHOSP82,0,130,417,No
84,Lao Peoples Democratic Republic,2011,0.0,Mental hospitals,per 100k pop,All,All,MENHOSP83,0,130,418,No
85,Latvia,2011,0.27,Mental hospitals,per 100k pop,All,All,MENHOSP84,0,130,428,No
86,Lebanon,2011,0.07,Mental hospitals,per 100k pop,All,All,MENHOSP85,0,130,422,No
87,Lesotho,2011,0.05,Mental hospitals,per 100k pop,All,All,MENHOSP86,0,130,426,No
88,Lithuania,2011,0.34,Mental hospitals,per 100k pop,All,All,MENHOSP87,0,130,440,No
