,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2008,149,Mortality Rate Injuries,per 100k pop,30-70,All,MRI1,30,70,4,No
1,Albania,2008,46,Mortality Rate Injuries,per 100k pop,30-70,All,MRI2,30,70,8,No
2,Algeria,2008,47,Mortality Rate Injuries,per 100k pop,30-70,All,MRI3,30,70,12,No
3,Andorra,2008,27,Mortality Rate Injuries,per 100k pop,30-70,All,MRI4,30,70,20,No
4,Angola,2008,112,Mortality Rate Injuries,per 100k pop,30-70,All,MRI5,30,70,24,No
5,Antigua and Barbuda,2008,46,Mortality Rate Injuries,per 100k pop,30-70,All,MRI6,30,70,28,No
6,Argentina,2008,48,Mortality Rate Injuries,per 100k pop,30-70,All,MRI7,30,70,32,No
7,Armenia,2008,50,Mortality Rate Injuries,per 100k pop,30-70,All,MRI8,30,70,51,No
8,Australia,2008,30,Mortality Rate Injuries,per 100k pop,30-70,All,MRI9,30,70,36,No
9,Austria,2008,34,Mortality Rate Injuries,per 100k pop,30-70,All,MRI10,30,70,40,No
10,Azerbaijan,2008,36,Mortality Rate Injuries,per 100k pop,30-70,All,MRI11,30,70,31,No
11,Bahamas,2008,54,Mortality Rate Injuries,per 100k pop,30-70,All,MRI12,30,70,44,No
12,Bahrain,2008,33,Mortality Rate Injuries,per 100k pop,30-70,All,MRI13,30,70,48,No
13,Bangladesh,2008,91,Mortality Rate Injuries,per 100k pop,30-70,All,MRI14,30,70,50,No
14,Barbados,2008,31,Mortality Rate Injuries,per 100k pop,30-70,All,MRI15,30,70,52,No
15,Belarus,2008,125,Mortality Rate Injuries,per 100k pop,30-70,All,MRI16,30,70,112,No
16,Belgium,2008,42,Mortality Rate Injuries,per 100k pop,30-70,All,MRI17,30,70,56,No
17,Belize,2008,92,Mortality Rate Injuries,per 100k pop,30-70,All,MRI18,30,70,84,No
18,Benin,2008,87,Mortality Rate Injuries,per 100k pop,30-70,All,MRI19,30,70,204,No
19,Bhutan,2008,105,Mortality Rate Injuries,per 100k pop,30-70,All,MRI20,30,70,64,No
20,Bolivia (Plurinational State of),2008,64,Mortality Rate Injuries,per 100k pop,30-70,All,MRI21,30,70,68,No
21,Bosnia and Herzegovina,2008,29,Mortality Rate Injuries,per 100k pop,30-70,All,MRI22,30,70,70,No
22,Botswana,2008,107,Mortality Rate Injuries,per 100k pop,30-70,All,MRI23,30,70,72,No
23,Brazil,2008,76,Mortality Rate Injuries,per 100k pop,30-70,All,MRI24,30,70,76,No
24,Brunei Darussalam,2008,24,Mortality Rate Injuries,per 100k pop,30-70,All,MRI25,30,70,96,No
25,Bulgaria,2008,42,Mortality Rate Injuries,per 100k pop,30-70,All,MRI26,30,70,100,No
26,Burkina Faso,2008,108,Mortality Rate Injuries,per 100k pop,30-70,All,MRI27,30,70,854,No
27,Burundi,2008,124,Mortality Rate Injuries,per 100k pop,30-70,All,MRI28,30,70,108,No
28,Cabo Verde,2008,71,Mortality Rate Injuries,per 100k pop,30-70,All,MRI29,30,70,132,No
29,Cambodia,2008,65,Mortality Rate Injuries,per 100k pop,30-70,All,MRI30,30,70,116,No
30,Cameroon,2008,111,Mortality Rate Injuries,per 100k pop,30-70,All,MRI31,30,70,120,No
31,Canada,2008,32,Mortality Rate Injuries,per 100k pop,30-70,All,MRI32,30,70,124,No
32,Central African Republic,2008,151,Mortality Rate Injuries,per 100k pop,30-70,All,MRI33,30,70,140,No
33,Chad,2008,119,Mortality Rate Injuries,per 100k pop,30-70,All,MRI34,30,70,148,No
34,Chile,2008,45,Mortality Rate Injuries,per 100k pop,30-70,All,MRI35,30,70,152,No
35,China,2008,70,Mortality Rate Injuries,per 100k pop,30-70,All,MRI36,30,70,156,No
36,Colombia,2008,97,Mortality Rate Injuries,per 100k pop,30-70,All,MRI37,30,70,170,No
37,Comoros,2008,76,Mortality Rate Injuries,per 100k pop,30-70,All,MRI38,30,70,174,No
