,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,36,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB1,0,0.1,4,No
1,Afghanistan,2010,37,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB2,0,0.1,4,No
2,Afghanistan,2005,40,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB3,0,0.1,4,No
3,Afghanistan,2000,43,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB4,0,0.1,4,No
4,Afghanistan,1995,45,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB5,0,0.1,4,No
5,Afghanistan,1990,50,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB6,0,0.1,4,No
6,Albania,2012,8,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB7,0,0.1,8,No
7,Albania,2010,9,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB8,0,0.1,8,No
8,Albania,2005,11,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB9,0,0.1,8,No
9,Albania,2000,13,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB10,0,0.1,8,No
10,Albania,1995,15,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB11,0,0.1,8,No
11,Albania,1990,17,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB12,0,0.1,8,No
12,Algeria,2012,12,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB13,0,0.1,12,No
13,Algeria,2010,12,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB14,0,0.1,12,No
14,Algeria,2005,15,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB15,0,0.1,12,No
15,Algeria,2000,18,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB16,0,0.1,12,No
16,Algeria,1995,21,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB17,0,0.1,12,No
17,Algeria,1990,23,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB18,0,0.1,12,No
18,Andorra,2012,1,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB19,0,0.1,20,No
19,Andorra,2010,1,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB20,0,0.1,20,No
20,Andorra,2005,1,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB21,0,0.1,20,No
21,Andorra,2000,1,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB22,0,0.1,20,No
22,Andorra,1995,2,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB23,0,0.1,20,No
23,Andorra,1990,2,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB24,0,0.1,20,No
24,Angola,2012,45,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB25,0,0.1,24,No
25,Angola,2010,47,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB26,0,0.1,24,No
26,Angola,2005,50,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB27,0,0.1,24,No
27,Angola,2000,51,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB28,0,0.1,24,No
28,Angola,1995,51,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB29,0,0.1,24,No
29,Angola,1990,52,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB30,0,0.1,24,No
30,Antigua and Barbuda,2012,6,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB31,0,0.1,28,No
31,Antigua and Barbuda,2010,6,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB32,0,0.1,28,No
32,Antigua and Barbuda,2005,7,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB33,0,0.1,28,No
33,Antigua and Barbuda,2000,8,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB34,0,0.1,28,No
34,Antigua and Barbuda,1995,10,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB35,0,0.1,28,No
35,Antigua and Barbuda,1990,12,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB36,0,0.1,28,No
36,Argentina,2012,8,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB37,0,0.1,32,No
37,Argentina,2010,8,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB38,0,0.1,32,No
38,Argentina,2005,9,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB39,0,0.1,32,No
39,Argentina,2000,11,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB40,0,0.1,32,No
40,Argentina,1995,13,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB41,0,0.1,32,No
41,Argentina,1990,16,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB42,0,0.1,32,No
42,Armenia,2012,10,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB43,0,0.1,51,No
43,Armenia,2010,11,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB44,0,0.1,51,No
44,Armenia,2005,14,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB45,0,0.1,51,No
45,Armenia,2000,17,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB46,0,0.1,51,No
46,Armenia,1995,20,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB47,0,0.1,51,No
47,Armenia,1990,24,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB48,0,0.1,51,No
48,Australia,2012,3,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB49,0,0.1,36,No
49,Australia,2010,3,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB50,0,0.1,36,No
50,Australia,2005,3,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB51,0,0.1,36,No
51,Australia,2000,3,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB52,0,0.1,36,No
52,Australia,1995,4,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB53,0,0.1,36,No
53,Australia,1990,5,Neonatal mortality rate,per 100 pop,0-0.1,All,NEOMRPLB54,0,0.1,36,No
