,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Australia,2006,1012,Number of community health workers,Absolute,All,All,NOCHW1,0,130,36,No
1,Australia,1996,708,Number of community health workers,Absolute,All,All,NOCHW2,0,130,36,No
2,Bangladesh,2011,50221,Number of community health workers,Absolute,All,All,NOCHW3,0,130,50,No
3,Bangladesh,2007,48692,Number of community health workers,Absolute,All,All,NOCHW4,0,130,50,No
4,Bangladesh,2005,21000,Number of community health workers,Absolute,All,All,NOCHW5,0,130,50,No
5,Bangladesh,2004,21202,Number of community health workers,Absolute,All,All,NOCHW6,0,130,50,No
6,Belize,2009,158,Number of community health workers,Absolute,All,All,NOCHW7,0,130,84,No
7,Bhutan,2012,578,Number of community health workers,Absolute,All,All,NOCHW8,0,130,64,No
8,Bhutan,2007,195,Number of community health workers,Absolute,All,All,NOCHW9,0,130,64,No
9,Bhutan,2004,405,Number of community health workers,Absolute,All,All,NOCHW10,0,130,64,No
10,Botswana,2006,920,Number of community health workers,Absolute,All,All,NOCHW11,0,130,72,No
11,Botswana,2005,920,Number of community health workers,Absolute,All,All,NOCHW12,0,130,72,No
12,Botswana,2003,867,Number of community health workers,Absolute,All,All,NOCHW13,0,130,72,No
13,Botswana,2002,862,Number of community health workers,Absolute,All,All,NOCHW14,0,130,72,No
14,Botswana,2001,821,Number of community health workers,Absolute,All,All,NOCHW15,0,130,72,No
15,Botswana,2000,1269,Number of community health workers,Absolute,All,All,NOCHW16,0,130,72,No
16,Botswana,1999,775,Number of community health workers,Absolute,All,All,NOCHW17,0,130,72,No
17,Botswana,1998,742,Number of community health workers,Absolute,All,All,NOCHW18,0,130,72,No
18,Burkina Faso,2010,1976,Number of community health workers,Absolute,All,All,NOCHW19,0,130,854,No
19,Burkina Faso,2006,1238,Number of community health workers,Absolute,All,All,NOCHW20,0,130,854,No
20,Burkina Faso,2004,1201,Number of community health workers,Absolute,All,All,NOCHW21,0,130,854,No
21,Burundi,2004,548,Number of community health workers,Absolute,All,All,NOCHW22,0,130,108,No
22,Cabo Verde,2004,65,Number of community health workers,Absolute,All,All,NOCHW23,0,130,132,No
23,Cambodia,2004,1638,Number of community health workers,Absolute,All,All,NOCHW24,0,130,116,No
24,Central African Republic,2009,1713,Number of community health workers,Absolute,All,All,NOCHW25,0,130,140,No
25,Central African Republic,2008,1746,Number of community health workers,Absolute,All,All,NOCHW26,0,130,140,No
26,Central African Republic,2004,99,Number of community health workers,Absolute,All,All,NOCHW27,0,130,140,No
27,Chad,2004,154,Number of community health workers,Absolute,All,All,NOCHW28,0,130,148,No
28,China,2010,1091863,Number of community health workers,Absolute,All,All,NOCHW29,0,130,156,No
29,China,2009,1113331,Number of community health workers,Absolute,All,All,NOCHW30,0,130,156,No
30,Cook Islands,2009,9,Number of community health workers,Absolute,All,All,NOCHW31,0,130,184,No
31,Equatorial Guinea,2004,308,Number of community health workers,Absolute,All,All,NOCHW32,0,130,226,No
32,Ethiopia,2009,30950,Number of community health workers,Absolute,All,All,NOCHW33,0,130,231,No
33,Ethiopia,2009,30950,Number of community health workers,Absolute,All,All,NOCHW33,0,130,230,No
34,Ethiopia,2008,24571,Number of community health workers,Absolute,All,All,NOCHW34,0,130,231,No
35,Ethiopia,2008,24571,Number of community health workers,Absolute,All,All,NOCHW34,0,130,230,No
36,Ethiopia,2007,17653,Number of community health workers,Absolute,All,All,NOCHW35,0,130,231,No
37,Ethiopia,2007,17653,Number of community health workers,Absolute,All,All,NOCHW35,0,130,230,No
38,Ethiopia,2006,8901,Number of community health workers,Absolute,All,All,NOCHW36,0,130,231,No
39,Ethiopia,2006,8901,Number of community health workers,Absolute,All,All,NOCHW36,0,130,230,No
40,Ethiopia,2005,2737,Number of community health workers,Absolute,All,All,NOCHW37,0,130,231,No
41,Ethiopia,2005,2737,Number of community health workers,Absolute,All,All,NOCHW37,0,130,230,No
42,Ethiopia,2004,15752,Number of community health workers,Absolute,All,All,NOCHW38,0,130,231,No
43,Ethiopia,2004,15752,Number of community health workers,Absolute,All,All,NOCHW38,0,130,230,No
44,Ethiopia,2003,13433,Number of community health workers,Absolute,All,All,NOCHW39,0,130,231,No
45,Ethiopia,2003,13433,Number of community health workers,Absolute,All,All,NOCHW39,0,130,230,No
46,Gambia,2008,1150,Number of community health workers,Absolute,All,All,NOCHW40,0,130,270,No
47,Gambia,2007,1156,Number of community health workers,Absolute,All,All,NOCHW41,0,130,270,No
48,Gambia,2003,412,Number of community health workers,Absolute,All,All,NOCHW42,0,130,270,No
49,Ghana,2008,4502,Number of community health workers,Absolute,All,All,NOCHW43,0,130,288,No
50,Grenada,2003,45,Number of community health workers,Absolute,All,All,NOCHW44,0,130,308,No
51,Grenada,2002,45,Number of community health workers,Absolute,All,All,NOCHW45,0,130,308,No
52,Grenada,2001,45,Number of community health workers,Absolute,All,All,NOCHW46,0,130,308,No
53,Grenada,2000,45,Number of community health workers,Absolute,All,All,NOCHW47,0,130,308,No
54,Grenada,1999,45,Number of community health workers,Absolute,All,All,NOCHW48,0,130,308,No
55,Grenada,1998,40,Number of community health workers,Absolute,All,All,NOCHW49,0,130,308,No
56,Guinea-Bissau,2004,2355,Number of community health workers,Absolute,All,All,NOCHW50,0,130,624,No
