,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2007,389,Number of dental technician assistants,Absolute,All,All,NODTA1,0,130,12,No
1,Algeria,2002,692,Number of dental technician assistants,Absolute,All,All,NODTA2,0,130,12,No
2,Australia,2001,13096,Number of dental technician assistants,Absolute,All,All,NODTA3,0,130,36,No
3,Bahamas,2008,36,Number of dental technician assistants,Absolute,All,All,NODTA4,0,130,44,No
4,Bahrain,2011,181,Number of dental technician assistants,Absolute,All,All,NODTA5,0,130,48,No
5,Bahrain,2010,172,Number of dental technician assistants,Absolute,All,All,NODTA6,0,130,48,No
6,Bahrain,2009,159,Number of dental technician assistants,Absolute,All,All,NODTA7,0,130,48,No
7,Bahrain,2008,154,Number of dental technician assistants,Absolute,All,All,NODTA8,0,130,48,No
8,Bahrain,2004,162,Number of dental technician assistants,Absolute,All,All,NODTA9,0,130,48,No
9,Bangladesh,2004,589,Number of dental technician assistants,Absolute,All,All,NODTA10,0,130,50,No
10,Barbados,2005,11,Number of dental technician assistants,Absolute,All,All,NODTA11,0,130,52,No
11,Barbados,2001,2,Number of dental technician assistants,Absolute,All,All,NODTA12,0,130,52,No
12,Barbados,1995,11,Number of dental technician assistants,Absolute,All,All,NODTA13,0,130,52,No
13,Benin,2004,1,Number of dental technician assistants,Absolute,All,All,NODTA14,0,130,204,No
14,Bhutan,2007,58,Number of dental technician assistants,Absolute,All,All,NODTA15,0,130,64,No
15,Bhutan,2004,48,Number of dental technician assistants,Absolute,All,All,NODTA16,0,130,64,No
16,Bolivia (Plurinational State of),2001,742,Number of dental technician assistants,Absolute,All,All,NODTA17,0,130,68,No
17,Brazil,2000,37036,Number of dental technician assistants,Absolute,All,All,NODTA18,0,130,76,No
18,Cabo Verde,2004,5,Number of dental technician assistants,Absolute,All,All,NODTA19,0,130,132,No
19,Cambodia,1998,143,Number of dental technician assistants,Absolute,All,All,NODTA20,0,130,116,No
20,Cambodia,1996,125,Number of dental technician assistants,Absolute,All,All,NODTA21,0,130,116,No
21,Canada,2008,22365,Number of dental technician assistants,Absolute,All,All,NODTA22,0,130,124,No
22,Canada,2006,19385,Number of dental technician assistants,Absolute,All,All,NODTA23,0,130,124,No
23,Canada,2004,17553,Number of dental technician assistants,Absolute,All,All,NODTA24,0,130,124,No
24,Canada,2002,16128,Number of dental technician assistants,Absolute,All,All,NODTA25,0,130,124,No
25,Canada,2001,15553,Number of dental technician assistants,Absolute,All,All,NODTA26,0,130,124,No
26,Canada,1998,14213,Number of dental technician assistants,Absolute,All,All,NODTA27,0,130,124,No
27,Central African Republic,2009,8,Number of dental technician assistants,Absolute,All,All,NODTA28,0,130,140,No
28,Central African Republic,2004,7,Number of dental technician assistants,Absolute,All,All,NODTA29,0,130,140,No
29,Chad,2004,8,Number of dental technician assistants,Absolute,All,All,NODTA30,0,130,148,No
30,Chile,1992,4390,Number of dental technician assistants,Absolute,All,All,NODTA31,0,130,152,No
31,Comoros,2004,12,Number of dental technician assistants,Absolute,All,All,NODTA32,0,130,174,No
32,Congo,2004,2,Number of dental technician assistants,Absolute,All,All,NODTA33,0,130,178,No
33,Cook Islands,2009,15,Number of dental technician assistants,Absolute,All,All,NODTA34,0,130,184,No
34,Costa Rica,2000,438,Number of dental technician assistants,Absolute,All,All,NODTA35,0,130,188,No
35,Cyprus,2008,49,Number of dental technician assistants,Absolute,All,All,NODTA36,0,130,196,No
36,Democratic Peoples Republic of Korea,2003,4360,Number of dental technician assistants,Absolute,All,All,NODTA37,0,130,408,No
37,Egypt,2004,1724,Number of dental technician assistants,Absolute,All,All,NODTA38,0,130,818,No
38,Equatorial Guinea,2004,10,Number of dental technician assistants,Absolute,All,All,NODTA39,0,130,226,No
39,Estonia,2000,838,Number of dental technician assistants,Absolute,All,All,NODTA40,0,130,233,No
40,Ethiopia,2003,33,Number of dental technician assistants,Absolute,All,All,NODTA41,0,130,231,No
41,Ethiopia,2003,33,Number of dental technician assistants,Absolute,All,All,NODTA41,0,130,230,No
42,Finland,2002,2016,Number of dental technician assistants,Absolute,All,All,NODTA42,0,130,246,No
43,Gabon,2004,52,Number of dental technician assistants,Absolute,All,All,NODTA43,0,130,266,No
44,Gambia,2008,35,Number of dental technician assistants,Absolute,All,All,NODTA44,0,130,270,No
45,Gambia,2007,35,Number of dental technician assistants,Absolute,All,All,NODTA45,0,130,270,No
46,Gambia,2003,36,Number of dental technician assistants,Absolute,All,All,NODTA46,0,130,270,No
47,Ghana,2008,103,Number of dental technician assistants,Absolute,All,All,NODTA47,0,130,288,No
48,Ghana,2004,289,Number of dental technician assistants,Absolute,All,All,NODTA48,0,130,288,No
49,Grenada,2003,4,Number of dental technician assistants,Absolute,All,All,NODTA49,0,130,308,No
50,Grenada,2002,4,Number of dental technician assistants,Absolute,All,All,NODTA50,0,130,308,No
51,Grenada,2001,4,Number of dental technician assistants,Absolute,All,All,NODTA51,0,130,308,No
52,Grenada,2000,5,Number of dental technician assistants,Absolute,All,All,NODTA52,0,130,308,No
53,Grenada,1999,5,Number of dental technician assistants,Absolute,All,All,NODTA53,0,130,308,No
54,Grenada,1998,5,Number of dental technician assistants,Absolute,All,All,NODTA54,0,130,308,No
55,Guinea,2005,16,Number of dental technician assistants,Absolute,All,All,NODTA55,0,130,324,No
56,Guinea,2004,38,Number of dental technician assistants,Absolute,All,All,NODTA56,0,130,324,No
57,Guinea,2000,20,Number of dental technician assistants,Absolute,All,All,NODTA57,0,130,324,No
58,Guinea-Bissau,2009,6,Number of dental technician assistants,Absolute,All,All,NODTA58,0,130,624,No
59,Guinea-Bissau,2008,4,Number of dental technician assistants,Absolute,All,All,NODTA59,0,130,624,No
60,Guinea-Bissau,2004,19,Number of dental technician assistants,Absolute,All,All,NODTA60,0,130,624,No
61,Guyana,2009,35,Number of dental technician assistants,Absolute,All,All,NODTA61,0,130,328,No
62,Honduras,2000,230,Number of dental technician assistants,Absolute,All,All,NODTA62,0,130,340,No
63,Iceland,2011,15,Number of dental technician assistants,Absolute,All,All,NODTA63,0,130,352,No
64,Iceland,2010,14,Number of dental technician assistants,Absolute,All,All,NODTA64,0,130,352,No
65,Iceland,2009,14,Number of dental technician assistants,Absolute,All,All,NODTA65,0,130,352,No
