,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,104,Number of dentistry personnel,Absolute,All,All,NODP1,0,130,4,No
1,Afghanistan,2010,103,Number of dentistry personnel,Absolute,All,All,NODP2,0,130,4,No
2,Afghanistan,2009,107,Number of dentistry personnel,Absolute,All,All,NODP3,0,130,4,No
3,Afghanistan,2008,382,Number of dentistry personnel,Absolute,All,All,NODP4,0,130,4,No
4,Afghanistan,2007,311,Number of dentistry personnel,Absolute,All,All,NODP5,0,130,4,No
5,Afghanistan,2006,337,Number of dentistry personnel,Absolute,All,All,NODP6,0,130,4,No
6,Afghanistan,2005,900,Number of dentistry personnel,Absolute,All,All,NODP7,0,130,4,No
7,Afghanistan,2001,630,Number of dentistry personnel,Absolute,All,All,NODP8,0,130,4,No
8,Algeria,2007,11010,Number of dentistry personnel,Absolute,All,All,NODP9,0,130,12,No
9,Algeria,2005,9022,Number of dentistry personnel,Absolute,All,All,NODP10,0,130,12,No
10,Algeria,2002,9553,Number of dentistry personnel,Absolute,All,All,NODP11,0,130,12,No
11,Andorra,2003,44,Number of dentistry personnel,Absolute,All,All,NODP12,0,130,20,No
12,Angola,2004,222,Number of dentistry personnel,Absolute,All,All,NODP13,0,130,24,No
13,Angola,1997,2,Number of dentistry personnel,Absolute,All,All,NODP14,0,130,24,No
14,Antigua and Barbuda,1997,13,Number of dentistry personnel,Absolute,All,All,NODP15,0,130,28,No
15,Argentina,2004,35592,Number of dentistry personnel,Absolute,All,All,NODP16,0,130,32,No
16,Argentina,1998,28900,Number of dentistry personnel,Absolute,All,All,NODP17,0,130,32,No
17,Armenia,2012,1290,Number of dentistry personnel,Absolute,All,All,NODP18,0,130,51,No
18,Australia,2011,12154,Number of dentistry personnel,Absolute,All,All,NODP19,0,130,36,No
19,Australia,2009,14500,Number of dentistry personnel,Absolute,All,All,NODP20,0,130,36,No
20,Australia,2006,29624,Number of dentistry personnel,Absolute,All,All,NODP21,0,130,36,No
21,Australia,2001,21296,Number of dentistry personnel,Absolute,All,All,NODP22,0,130,36,No
