,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Algeria,2002,4555,Number of laboratory scientists,Absolute,All,All,NOLSC1,0,130,12,No
1,Argentina,2004,19629,Number of laboratory scientists,Absolute,All,All,NOLSC2,0,130,32,No
2,Bahrain,2011,3,Number of laboratory scientists,Absolute,All,All,NOLSC3,0,130,48,No
3,Bahrain,2010,6,Number of laboratory scientists,Absolute,All,All,NOLSC4,0,130,48,No
4,Bahrain,2009,5,Number of laboratory scientists,Absolute,All,All,NOLSC5,0,130,48,No
5,Bahrain,2008,4,Number of laboratory scientists,Absolute,All,All,NOLSC6,0,130,48,No
6,Bahrain,2004,111,Number of laboratory scientists,Absolute,All,All,NOLSC7,0,130,48,No
7,Bangladesh,2007,3794,Number of laboratory scientists,Absolute,All,All,NOLSC8,0,130,50,No
8,Benin,2004,2,Number of laboratory scientists,Absolute,All,All,NOLSC9,0,130,204,No
9,Bhutan,2007,3,Number of laboratory scientists,Absolute,All,All,NOLSC10,0,130,64,No
10,Botswana,2004,35,Number of laboratory scientists,Absolute,All,All,NOLSC11,0,130,72,No
11,Brazil,2000,13924,Number of laboratory scientists,Absolute,All,All,NOLSC12,0,130,76,No
12,Burkina Faso,2008,418,Number of laboratory scientists,Absolute,All,All,NOLSC13,0,130,854,No
13,Burkina Faso,2006,9,Number of laboratory scientists,Absolute,All,All,NOLSC14,0,130,854,No
14,Burkina Faso,2004,21,Number of laboratory scientists,Absolute,All,All,NOLSC15,0,130,854,No
15,Burundi,2004,142,Number of laboratory scientists,Absolute,All,All,NOLSC16,0,130,108,No
16,Cabo Verde,2010,9,Number of laboratory scientists,Absolute,All,All,NOLSC17,0,130,132,No
17,Cabo Verde,2009,9,Number of laboratory scientists,Absolute,All,All,NOLSC18,0,130,132,No
18,Cabo Verde,2007,10,Number of laboratory scientists,Absolute,All,All,NOLSC19,0,130,132,No
19,Cabo Verde,2006,9,Number of laboratory scientists,Absolute,All,All,NOLSC20,0,130,132,No
20,Cabo Verde,2004,5,Number of laboratory scientists,Absolute,All,All,NOLSC21,0,130,132,No
21,Cambodia,1998,383,Number of laboratory scientists,Absolute,All,All,NOLSC22,0,130,116,No
22,Cambodia,1996,334,Number of laboratory scientists,Absolute,All,All,NOLSC23,0,130,116,No
23,Canada,2008,351,Number of laboratory scientists,Absolute,All,All,NOLSC24,0,130,124,No
24,Canada,2006,322,Number of laboratory scientists,Absolute,All,All,NOLSC25,0,130,124,No
25,Canada,2004,297,Number of laboratory scientists,Absolute,All,All,NOLSC26,0,130,124,No
26,Canada,2002,267,Number of laboratory scientists,Absolute,All,All,NOLSC27,0,130,124,No
27,Canada,2001,277,Number of laboratory scientists,Absolute,All,All,NOLSC28,0,130,124,No
28,Canada,1998,253,Number of laboratory scientists,Absolute,All,All,NOLSC29,0,130,124,No
29,Central African Republic,2004,3,Number of laboratory scientists,Absolute,All,All,NOLSC30,0,130,140,No
30,Chad,2004,111,Number of laboratory scientists,Absolute,All,All,NOLSC31,0,130,148,No
31,Chile,2009,29,Number of laboratory scientists,Absolute,All,All,NOLSC32,0,130,152,No
32,Chile,2008,29,Number of laboratory scientists,Absolute,All,All,NOLSC33,0,130,152,No
33,Chile,2007,29,Number of laboratory scientists,Absolute,All,All,NOLSC34,0,130,152,No
34,Chile,2006,29,Number of laboratory scientists,Absolute,All,All,NOLSC35,0,130,152,No
35,Chile,2005,28,Number of laboratory scientists,Absolute,All,All,NOLSC36,0,130,152,No
36,Chile,2004,29,Number of laboratory scientists,Absolute,All,All,NOLSC37,0,130,152,No
37,Chile,2003,31,Number of laboratory scientists,Absolute,All,All,NOLSC38,0,130,152,No
38,Chile,2002,31,Number of laboratory scientists,Absolute,All,All,NOLSC39,0,130,152,No
39,Comoros,2004,7,Number of laboratory scientists,Absolute,All,All,NOLSC40,0,130,174,No
40,Congo,2007,280,Number of laboratory scientists,Absolute,All,All,NOLSC41,0,130,178,No
41,Congo,2006,516,Number of laboratory scientists,Absolute,All,All,NOLSC42,0,130,178,No
42,Congo,2004,9,Number of laboratory scientists,Absolute,All,All,NOLSC43,0,130,178,No
43,Cook Islands,2009,6,Number of laboratory scientists,Absolute,All,All,NOLSC44,0,130,184,No
44,Costa Rica,2013,624,Number of laboratory scientists,Absolute,All,All,NOLSC45,0,130,188,No
45,Côte dIvoire,2004,473,Number of laboratory scientists,Absolute,All,All,NOLSC46,0,130,384,No
46,Cyprus,2008,22,Number of laboratory scientists,Absolute,All,All,NOLSC47,0,130,196,No
47,Cyprus,2006,18,Number of laboratory scientists,Absolute,All,All,NOLSC48,0,130,196,No
48,Djibouti,2005,3,Number of laboratory scientists,Absolute,All,All,NOLSC49,0,130,262,No
49,Djibouti,2004,3,Number of laboratory scientists,Absolute,All,All,NOLSC50,0,130,262,No
50,Egypt,2004,6542,Number of laboratory scientists,Absolute,All,All,NOLSC51,0,130,818,No
51,El Salvador,2008,1975,Number of laboratory scientists,Absolute,All,All,NOLSC52,0,130,222,No
52,El Salvador,2005,1574,Number of laboratory scientists,Absolute,All,All,NOLSC53,0,130,222,No
53,El Salvador,1999,891,Number of laboratory scientists,Absolute,All,All,NOLSC54,0,130,222,No
54,Equatorial Guinea,2004,3,Number of laboratory scientists,Absolute,All,All,NOLSC55,0,130,226,No
55,Eritrea,2004,17,Number of laboratory scientists,Absolute,All,All,NOLSC56,0,130,232,No
56,Gabon,2004,17,Number of laboratory scientists,Absolute,All,All,NOLSC57,0,130,266,No
