,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2009,17257,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE1,0,130,4,No
1,Afghanistan,2008,13780,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE2,0,130,4,No
2,Afghanistan,2007,13430,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE3,0,130,4,No
3,Afghanistan,2006,11631,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE4,0,130,4,No
4,Afghanistan,2005,14930,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE5,0,130,4,No
5,Afghanistan,2001,4752,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE6,0,130,4,No
6,Albania,2012,12878,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE7,0,130,8,No
7,Albania,1994,1891,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE8,0,130,8,No
8,Algeria,2007,65919,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE9,0,130,12,No
9,Algeria,2002,69749,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE10,0,130,12,No
10,Andorra,2003,215,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE11,0,130,20,No
11,Angola,2009,29592,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE12,0,130,24,No
12,Angola,2004,18485,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE13,0,130,24,No
13,Angola,1997,13627,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE14,0,130,24,No
14,Antigua and Barbuda,1999,233,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE15,0,130,28,No
15,Argentina,2004,18685,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE16,0,130,32,No
16,Argentina,1998,29000,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE17,0,130,32,No
17,Armenia,2012,15254,Number of nursing and midwifery personnel,Absolute,All,All,NONAMPE18,0,130,51,No
