,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2009,17257,Number of nursing personnel,Absolute,All,All,NONUPE1,0,130,4,No
1,Afghanistan,2008,12113,Number of nursing personnel,Absolute,All,All,NONUPE2,0,130,4,No
2,Afghanistan,2007,11809,Number of nursing personnel,Absolute,All,All,NONUPE3,0,130,4,No
3,Afghanistan,2006,11631,Number of nursing personnel,Absolute,All,All,NONUPE4,0,130,4,No
4,Afghanistan,2005,14930,Number of nursing personnel,Absolute,All,All,NONUPE5,0,130,4,No
5,Afghanistan,2001,4752,Number of nursing personnel,Absolute,All,All,NONUPE6,0,130,4,No
6,Albania,2012,12878,Number of nursing personnel,Absolute,All,All,NONUPE7,0,130,8,No
7,Algeria,2007,57652,Number of nursing personnel,Absolute,All,All,NONUPE8,0,130,12,No
8,Algeria,2002,62177,Number of nursing personnel,Absolute,All,All,NONUPE9,0,130,12,No
9,Andorra,2003,205,Number of nursing personnel,Absolute,All,All,NONUPE10,0,130,20,No
10,Angola,2009,29592,Number of nursing personnel,Absolute,All,All,NONUPE11,0,130,24,No
11,Angola,2004,18485,Number of nursing personnel,Absolute,All,All,NONUPE12,0,130,24,No
12,Angola,1997,13135,Number of nursing personnel,Absolute,All,All,NONUPE13,0,130,24,No
13,Antigua and Barbuda,1999,233,Number of nursing personnel,Absolute,All,All,NONUPE14,0,130,28,No
14,Argentina,2004,14474,Number of nursing personnel,Absolute,All,All,NONUPE15,0,130,32,No
15,Argentina,1998,29000,Number of nursing personnel,Absolute,All,All,NONUPE16,0,130,32,No
16,Armenia,2012,13956,Number of nursing personnel,Absolute,All,All,NONUPE17,0,130,51,No
17,Australia,2011,225193,Number of nursing personnel,Absolute,All,All,NONUPE18,0,130,36,No
18,Australia,2009,188300,Number of nursing personnel,Absolute,All,All,NONUPE19,0,130,36,No
19,Australia,2006,209897,Number of nursing personnel,Absolute,All,All,NONUPE20,0,130,36,No
20,Australia,2001,176188,Number of nursing personnel,Absolute,All,All,NONUPE21,0,130,36,No
21,Australia,1996,178387,Number of nursing personnel,Absolute,All,All,NONUPE22,0,130,36,No
22,Austria,2011,65248,Number of nursing personnel,Absolute,All,All,NONUPE23,0,130,40,No
23,Austria,2003,76161,Number of nursing personnel,Absolute,All,All,NONUPE24,0,130,40,No
24,Azerbaijan,2012,57506,Number of nursing personnel,Absolute,All,All,NONUPE25,0,130,31,No
25,Bahamas,2008,1391,Number of nursing personnel,Absolute,All,All,NONUPE26,0,130,44,No
26,Bahamas,1998,1323,Number of nursing personnel,Absolute,All,All,NONUPE27,0,130,44,No
27,Bahrain,2011,3192,Number of nursing personnel,Absolute,All,All,NONUPE28,0,130,48,No
28,Bahrain,2010,3052,Number of nursing personnel,Absolute,All,All,NONUPE29,0,130,48,No
29,Bahrain,2009,2990,Number of nursing personnel,Absolute,All,All,NONUPE30,0,130,48,No
30,Bahrain,2008,2856,Number of nursing personnel,Absolute,All,All,NONUPE31,0,130,48,No
31,Bahrain,2007,4354,Number of nursing personnel,Absolute,All,All,NONUPE32,0,130,48,No
32,Bahrain,2005,3850,Number of nursing personnel,Absolute,All,All,NONUPE33,0,130,48,No
33,Bahrain,2004,2989,Number of nursing personnel,Absolute,All,All,NONUPE34,0,130,48,No
34,Bangladesh,2011,26899,Number of nursing personnel,Absolute,All,All,NONUPE35,0,130,50,No
35,Bangladesh,2007,21476,Number of nursing personnel,Absolute,All,All,NONUPE36,0,130,50,No
36,Bangladesh,2006,20129,Number of nursing personnel,Absolute,All,All,NONUPE37,0,130,50,No
37,Bangladesh,2005,20117,Number of nursing personnel,Absolute,All,All,NONUPE38,0,130,50,No
38,Bangladesh,2004,20334,Number of nursing personnel,Absolute,All,All,NONUPE39,0,130,50,No
39,Bangladesh,2003,19500,Number of nursing personnel,Absolute,All,All,NONUPE40,0,130,50,No
40,Barbados,2005,1311,Number of nursing personnel,Absolute,All,All,NONUPE41,0,130,52,No
41,Barbados,2001,1580,Number of nursing personnel,Absolute,All,All,NONUPE42,0,130,52,No
42,Barbados,2000,1582,Number of nursing personnel,Absolute,All,All,NONUPE43,0,130,52,No
43,Barbados,1995,1360,Number of nursing personnel,Absolute,All,All,NONUPE44,0,130,52,No
44,Belarus,2011,95746,Number of nursing personnel,Absolute,All,All,NONUPE45,0,130,112,No
45,Belgium,2010,157032,Number of nursing personnel,Absolute,All,All,NONUPE46,0,130,56,No
46,Belgium,2003,60142,Number of nursing personnel,Absolute,All,All,NONUPE47,0,130,56,No
47,Belize,2009,528,Number of nursing personnel,Absolute,All,All,NONUPE48,0,130,84,No
48,Belize,2000,303,Number of nursing personnel,Absolute,All,All,NONUPE49,0,130,84,No
49,Benin,2008,5974,Number of nursing personnel,Absolute,All,All,NONUPE50,0,130,204,No
50,Benin,2004,4965,Number of nursing personnel,Absolute,All,All,NONUPE51,0,130,204,No
51,Bhutan,2012,736,Number of nursing personnel,Absolute,All,All,NONUPE52,0,130,64,No
52,Bhutan,2008,666,Number of nursing personnel,Absolute,All,All,NONUPE53,0,130,64,No
53,Bhutan,2007,545,Number of nursing personnel,Absolute,All,All,NONUPE54,0,130,64,No
54,Bhutan,2004,330,Number of nursing personnel,Absolute,All,All,NONUPE55,0,130,64,No
55,Bolivia (Plurinational State of),2011,10139,Number of nursing personnel,Absolute,All,All,NONUPE56,0,130,68,No
56,Bolivia (Plurinational State of),2010,8366,Number of nursing personnel,Absolute,All,All,NONUPE57,0,130,68,No
57,Bolivia (Plurinational State of),2007,5815,Number of nursing personnel,Absolute,All,All,NONUPE58,0,130,68,No
58,Bolivia (Plurinational State of),2001,17995,Number of nursing personnel,Absolute,All,All,NONUPE59,0,130,68,No
59,Botswana,2006,5006,Number of nursing personnel,Absolute,All,All,NONUPE60,0,130,72,No
60,Botswana,2005,4468,Number of nursing personnel,Absolute,All,All,NONUPE61,0,130,72,No
61,Botswana,2004,4753,Number of nursing personnel,Absolute,All,All,NONUPE62,0,130,72,No
62,Botswana,2003,4450,Number of nursing personnel,Absolute,All,All,NONUPE63,0,130,72,No
63,Botswana,2002,4146,Number of nursing personnel,Absolute,All,All,NONUPE64,0,130,72,No
64,Botswana,2001,3994,Number of nursing personnel,Absolute,All,All,NONUPE65,0,130,72,No
65,Botswana,2000,4319,Number of nursing personnel,Absolute,All,All,NONUPE66,0,130,72,No
66,Botswana,1999,4992,Number of nursing personnel,Absolute,All,All,NONUPE67,0,130,72,No
67,Botswana,1998,4265,Number of nursing personnel,Absolute,All,All,NONUPE68,0,130,72,No
68,Brazil,2013,1520533,Number of nursing personnel,Absolute,All,All,NONUPE69,0,130,76,No
69,Brazil,2010,1457812,Number of nursing personnel,Absolute,All,All,NONUPE70,0,130,76,No
70,Brazil,2008,1243804,Number of nursing personnel,Absolute,All,All,NONUPE71,0,130,76,No
71,Brazil,2007,1243804,Number of nursing personnel,Absolute,All,All,NONUPE72,0,130,76,No
72,Brazil,2006,710748,Number of nursing personnel,Absolute,All,All,NONUPE73,0,130,76,No
73,Brazil,2005,703813,Number of nursing personnel,Absolute,All,All,NONUPE74,0,130,76,No
74,Brazil,2004,686089,Number of nursing personnel,Absolute,All,All,NONUPE75,0,130,76,No
75,Brazil,2000,659111,Number of nursing personnel,Absolute,All,All,NONUPE76,0,130,76,No
76,Brazil,1991,479223,Number of nursing personnel,Absolute,All,All,NONUPE77,0,130,76,No
77,Brunei Darussalam,2011,2628,Number of nursing personnel,Absolute,All,All,NONUPE78,0,130,96,No
78,Brunei Darussalam,2010,2399,Number of nursing personnel,Absolute,All,All,NONUPE79,0,130,96,No
79,Brunei Darussalam,2008,1941,Number of nursing personnel,Absolute,All,All,NONUPE80,0,130,96,No
80,Brunei Darussalam,2007,1458,Number of nursing personnel,Absolute,All,All,NONUPE81,0,130,96,No
81,Brunei Darussalam,2002,1650,Number of nursing personnel,Absolute,All,All,NONUPE82,0,130,96,No
82,Brunei Darussalam,2000,892,Number of nursing personnel,Absolute,All,All,NONUPE83,0,130,96,No
83,Bulgaria,2011,31609,Number of nursing personnel,Absolute,All,All,NONUPE84,0,130,100,No
84,Burkina Faso,2010,5612,Number of nursing personnel,Absolute,All,All,NONUPE85,0,130,854,No
85,Burkina Faso,2008,6685,Number of nursing personnel,Absolute,All,All,NONUPE86,0,130,854,No
86,Burkina Faso,2006,3750,Number of nursing personnel,Absolute,All,All,NONUPE87,0,130,854,No
87,Burkina Faso,2004,4268,Number of nursing personnel,Absolute,All,All,NONUPE88,0,130,854,No
88,Burundi,2004,1337,Number of nursing personnel,Absolute,All,All,NONUPE89,0,130,108,No
89,Cabo Verde,2010,257,Number of nursing personnel,Absolute,All,All,NONUPE90,0,130,132,No
90,Cabo Verde,2009,254,Number of nursing personnel,Absolute,All,All,NONUPE91,0,130,132,No
91,Cabo Verde,2008,714,Number of nursing personnel,Absolute,All,All,NONUPE92,0,130,132,No
92,Cabo Verde,2007,252,Number of nursing personnel,Absolute,All,All,NONUPE93,0,130,132,No
93,Cabo Verde,2006,252,Number of nursing personnel,Absolute,All,All,NONUPE94,0,130,132,No
94,Cabo Verde,2004,410,Number of nursing personnel,Absolute,All,All,NONUPE95,0,130,132,No
95,Cambodia,2008,8491,Number of nursing personnel,Absolute,All,All,NONUPE96,0,130,116,No
96,Cambodia,2000,8085,Number of nursing personnel,Absolute,All,All,NONUPE97,0,130,116,No
97,Cambodia,1998,8377,Number of nursing personnel,Absolute,All,All,NONUPE98,0,130,116,No
98,Cambodia,1996,8409,Number of nursing personnel,Absolute,All,All,NONUPE99,0,130,116,No
99,Cameroon,2009,7626,Number of nursing personnel,Absolute,All,All,NONUPE100,0,130,120,No
100,Cameroon,2007,8226,Number of nursing personnel,Absolute,All,All,NONUPE101,0,130,120,No
101,Cameroon,2005,6705,Number of nursing personnel,Absolute,All,All,NONUPE102,0,130,120,No
