,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,7584,Number of physicians,Absolute,All,All,NOOPHY1,0,130,4,No
1,Afghanistan,2010,6901,Number of physicians,Absolute,All,All,NOOPHY2,0,130,4,No
2,Afghanistan,2009,6037,Number of physicians,Absolute,All,All,NOOPHY3,0,130,4,No
3,Afghanistan,2008,4834,Number of physicians,Absolute,All,All,NOOPHY4,0,130,4,No
4,Afghanistan,2007,4723,Number of physicians,Absolute,All,All,NOOPHY5,0,130,4,No
5,Afghanistan,2006,4220,Number of physicians,Absolute,All,All,NOOPHY6,0,130,4,No
6,Afghanistan,2005,5970,Number of physicians,Absolute,All,All,NOOPHY7,0,130,4,No
7,Afghanistan,2001,4104,Number of physicians,Absolute,All,All,NOOPHY8,0,130,4,No
8,Albania,2012,3696,Number of physicians,Absolute,All,All,NOOPHY9,0,130,8,No
9,Albania,2011,3578,Number of physicians,Absolute,All,All,NOOPHY10,0,130,8,No
10,Algeria,2007,40857,Number of physicians,Absolute,All,All,NOOPHY11,0,130,12,No
11,Algeria,2005,33952,Number of physicians,Absolute,All,All,NOOPHY12,0,130,12,No
12,Algeria,2002,35368,Number of physicians,Absolute,All,All,NOOPHY13,0,130,12,No
13,Andorra,2003,244,Number of physicians,Absolute,All,All,NOOPHY14,0,130,20,No
14,Angola,2009,2956,Number of physicians,Absolute,All,All,NOOPHY15,0,130,24,No
15,Angola,2004,1165,Number of physicians,Absolute,All,All,NOOPHY16,0,130,24,No
16,Angola,1997,881,Number of physicians,Absolute,All,All,NOOPHY17,0,130,24,No
17,Antigua and Barbuda,1999,12,Number of physicians,Absolute,All,All,NOOPHY18,0,130,28,No
18,Argentina,2004,122623,Number of physicians,Absolute,All,All,NOOPHY19,0,130,32,No
19,Argentina,1998,108800,Number of physicians,Absolute,All,All,NOOPHY20,0,130,32,No
20,Armenia,2012,8355,Number of physicians,Absolute,All,All,NOOPHY21,0,130,51,No
21,Armenia,2011,8249,Number of physicians,Absolute,All,All,NOOPHY22,0,130,51,No
22,Australia,2011,73980,Number of physicians,Absolute,All,All,NOOPHY23,0,130,36,No
23,Australia,2010,81639,Number of physicians,Absolute,All,All,NOOPHY24,0,130,36,No
24,Australia,2009,62800,Number of physicians,Absolute,All,All,NOOPHY25,0,130,36,No
25,Australia,2006,55065,Number of physicians,Absolute,All,All,NOOPHY26,0,130,36,No
26,Australia,2001,47875,Number of physicians,Absolute,All,All,NOOPHY27,0,130,36,No
27,Australia,1996,46043,Number of physicians,Absolute,All,All,NOOPHY28,0,130,36,No
28,Austria,2011,40634,Number of physicians,Absolute,All,All,NOOPHY29,0,130,40,No
29,Austria,2010,40105,Number of physicians,Absolute,All,All,NOOPHY30,0,130,40,No
30,Austria,2003,27413,Number of physicians,Absolute,All,All,NOOPHY31,0,130,40,No
31,Azerbaijan,2012,32335,Number of physicians,Absolute,All,All,NOOPHY32,0,130,31,No
32,Azerbaijan,2011,31441,Number of physicians,Absolute,All,All,NOOPHY33,0,130,31,No
33,Bahamas,2008,947,Number of physicians,Absolute,All,All,NOOPHY34,0,130,44,No
34,Bahamas,1998,312,Number of physicians,Absolute,All,All,NOOPHY35,0,130,44,No
35,Bahrain,2011,1208,Number of physicians,Absolute,All,All,NOOPHY36,0,130,48,No
36,Bahrain,2010,1178,Number of physicians,Absolute,All,All,NOOPHY37,0,130,48,No
37,Bahrain,2009,1149,Number of physicians,Absolute,All,All,NOOPHY38,0,130,48,No
38,Bahrain,2008,1103,Number of physicians,Absolute,All,All,NOOPHY39,0,130,48,No
39,Bahrain,2007,1052,Number of physicians,Absolute,All,All,NOOPHY40,0,130,48,No
40,Bahrain,2005,1980,Number of physicians,Absolute,All,All,NOOPHY41,0,130,48,No
41,Bahrain,2004,803,Number of physicians,Absolute,All,All,NOOPHY42,0,130,48,No
42,Bangladesh,2011,53603,Number of physicians,Absolute,All,All,NOOPHY43,0,130,50,No
43,Bangladesh,2007,43315,Number of physicians,Absolute,All,All,NOOPHY44,0,130,50,No
44,Bangladesh,2006,44632,Number of physicians,Absolute,All,All,NOOPHY45,0,130,50,No
45,Bangladesh,2005,42881,Number of physicians,Absolute,All,All,NOOPHY46,0,130,50,No
46,Bangladesh,2004,38485,Number of physicians,Absolute,All,All,NOOPHY47,0,130,50,No
47,Bangladesh,2003,36576,Number of physicians,Absolute,All,All,NOOPHY48,0,130,50,No
48,Bangladesh,2001,32498,Number of physicians,Absolute,All,All,NOOPHY49,0,130,50,No
49,Barbados,2005,489,Number of physicians,Absolute,All,All,NOOPHY50,0,130,52,No
50,Barbados,2001,420,Number of physicians,Absolute,All,All,NOOPHY51,0,130,52,No
51,Barbados,2000,365,Number of physicians,Absolute,All,All,NOOPHY52,0,130,52,No
52,Barbados,1995,358,Number of physicians,Absolute,All,All,NOOPHY53,0,130,52,No
53,Belarus,2011,35904,Number of physicians,Absolute,All,All,NOOPHY54,0,130,112,No
54,Belarus,2010,33294,Number of physicians,Absolute,All,All,NOOPHY55,0,130,112,No
55,Belgium,2011,32182,Number of physicians,Absolute,All,All,NOOPHY56,0,130,56,No
56,Belgium,2010,39690,Number of physicians,Absolute,All,All,NOOPHY57,0,130,56,No
57,Belize,2009,241,Number of physicians,Absolute,All,All,NOOPHY58,0,130,84,No
58,Belize,2000,251,Number of physicians,Absolute,All,All,NOOPHY59,0,130,84,No
59,Benin,2008,542,Number of physicians,Absolute,All,All,NOOPHY60,0,130,204,No
60,Benin,2004,311,Number of physicians,Absolute,All,All,NOOPHY61,0,130,204,No
61,Bhutan,2012,194,Number of physicians,Absolute,All,All,NOOPHY62,0,130,64,No
62,Bhutan,2008,171,Number of physicians,Absolute,All,All,NOOPHY63,0,130,64,No
63,Bhutan,2007,144,Number of physicians,Absolute,All,All,NOOPHY64,0,130,64,No
64,Bhutan,2004,118,Number of physicians,Absolute,All,All,NOOPHY65,0,130,64,No
65,Bolivia (Plurinational State of),2011,4771,Number of physicians,Absolute,All,All,NOOPHY66,0,130,68,No
66,Bolivia (Plurinational State of),2010,4406,Number of physicians,Absolute,All,All,NOOPHY67,0,130,68,No
67,Bolivia (Plurinational State of),2007,3170,Number of physicians,Absolute,All,All,NOOPHY68,0,130,68,No
68,Bolivia (Plurinational State of),2001,10329,Number of physicians,Absolute,All,All,NOOPHY69,0,130,68,No
69,Bosnia and Herzegovina,2010,6664,Number of physicians,Absolute,All,All,NOOPHY70,0,130,70,No
70,Bosnia and Herzegovina,2009,6493,Number of physicians,Absolute,All,All,NOOPHY71,0,130,70,No
71,Botswana,2006,591,Number of physicians,Absolute,All,All,NOOPHY72,0,130,72,No
72,Botswana,2005,466,Number of physicians,Absolute,All,All,NOOPHY73,0,130,72,No
73,Botswana,2004,715,Number of physicians,Absolute,All,All,NOOPHY74,0,130,72,No
74,Botswana,2003,526,Number of physicians,Absolute,All,All,NOOPHY75,0,130,72,No
75,Botswana,2002,536,Number of physicians,Absolute,All,All,NOOPHY76,0,130,72,No
76,Botswana,2001,510,Number of physicians,Absolute,All,All,NOOPHY77,0,130,72,No
77,Botswana,2000,499,Number of physicians,Absolute,All,All,NOOPHY78,0,130,72,No
78,Botswana,1999,507,Number of physicians,Absolute,All,All,NOOPHY79,0,130,72,No
79,Botswana,1998,424,Number of physicians,Absolute,All,All,NOOPHY80,0,130,72,No
80,Brazil,2013,378354,Number of physicians,Absolute,All,All,NOOPHY81,0,130,76,No
81,Brazil,2011,365231,Number of physicians,Absolute,All,All,NOOPHY82,0,130,76,No
82,Brazil,2009,352318,Number of physicians,Absolute,All,All,NOOPHY83,0,130,76,No
83,Brazil,2008,341849,Number of physicians,Absolute,All,All,NOOPHY84,0,130,76,No
84,Brazil,2007,329041,Number of physicians,Absolute,All,All,NOOPHY85,0,130,76,No
85,Brazil,2006,320013,Number of physicians,Absolute,All,All,NOOPHY86,0,130,76,No
86,Brazil,2005,310138,Number of physicians,Absolute,All,All,NOOPHY87,0,130,76,No
87,Brazil,2004,292014,Number of physicians,Absolute,All,All,NOOPHY88,0,130,76,No
88,Brazil,2000,198153,Number of physicians,Absolute,All,All,NOOPHY89,0,130,76,No
89,Brazil,1991,150879,Number of physicians,Absolute,All,All,NOOPHY90,0,130,76,No
90,Brunei Darussalam,2011,608,Number of physicians,Absolute,All,All,NOOPHY91,0,130,96,No
91,Brunei Darussalam,2010,563,Number of physicians,Absolute,All,All,NOOPHY92,0,130,96,No
92,Brunei Darussalam,2008,564,Number of physicians,Absolute,All,All,NOOPHY93,0,130,96,No
93,Brunei Darussalam,2007,393,Number of physicians,Absolute,All,All,NOOPHY94,0,130,96,No
