,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2012,103,Number of <5 deaths,Thousands,0-5,All,NOU5DIT1,0,5,4,No
1,Afghanistan,2010,112,Number of <5 deaths,Thousands,0-5,All,NOU5DIT2,0,5,4,No
2,Afghanistan,2005,127,Number of <5 deaths,Thousands,0-5,All,NOU5DIT3,0,5,4,No
3,Afghanistan,2000,133,Number of <5 deaths,Thousands,0-5,All,NOU5DIT4,0,5,4,No
4,Afghanistan,1995,122,Number of <5 deaths,Thousands,0-5,All,NOU5DIT5,0,5,4,No
5,Afghanistan,1990,96,Number of <5 deaths,Thousands,0-5,All,NOU5DIT6,0,5,4,No
6,Albania,2012,1,Number of <5 deaths,Thousands,0-5,All,NOU5DIT7,0,5,8,No
7,Albania,2010,1,Number of <5 deaths,Thousands,0-5,All,NOU5DIT8,0,5,8,No
8,Albania,2005,1,Number of <5 deaths,Thousands,0-5,All,NOU5DIT9,0,5,8,No
9,Albania,2000,2,Number of <5 deaths,Thousands,0-5,All,NOU5DIT10,0,5,8,No
10,Albania,1995,2,Number of <5 deaths,Thousands,0-5,All,NOU5DIT11,0,5,8,No
11,Albania,1990,4,Number of <5 deaths,Thousands,0-5,All,NOU5DIT12,0,5,8,No
12,Algeria,2012,20,Number of <5 deaths,Thousands,0-5,All,NOU5DIT13,0,5,12,No
13,Algeria,2010,20,Number of <5 deaths,Thousands,0-5,All,NOU5DIT14,0,5,12,No
14,Algeria,2005,17,Number of <5 deaths,Thousands,0-5,All,NOU5DIT15,0,5,12,No
15,Algeria,2000,21,Number of <5 deaths,Thousands,0-5,All,NOU5DIT16,0,5,12,No
16,Algeria,1995,33,Number of <5 deaths,Thousands,0-5,All,NOU5DIT17,0,5,12,No
17,Algeria,1990,41,Number of <5 deaths,Thousands,0-5,All,NOU5DIT18,0,5,12,No
18,Andorra,2012,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT19,0,5,20,No
19,Andorra,2010,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT20,0,5,20,No
20,Andorra,2005,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT21,0,5,20,No
21,Andorra,2000,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT22,0,5,20,No
22,Andorra,1995,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT23,0,5,20,No
23,Andorra,1990,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT24,0,5,20,No
24,Angola,2012,148,Number of <5 deaths,Thousands,0-5,All,NOU5DIT25,0,5,24,No
25,Angola,2010,153,Number of <5 deaths,Thousands,0-5,All,NOU5DIT26,0,5,24,No
26,Angola,2005,151,Number of <5 deaths,Thousands,0-5,All,NOU5DIT27,0,5,24,No
27,Angola,2000,133,Number of <5 deaths,Thousands,0-5,All,NOU5DIT28,0,5,24,No
28,Angola,1995,120,Number of <5 deaths,Thousands,0-5,All,NOU5DIT29,0,5,24,No
29,Angola,1990,106,Number of <5 deaths,Thousands,0-5,All,NOU5DIT30,0,5,24,No
30,Antigua and Barbuda,2012,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT31,0,5,28,No
31,Antigua and Barbuda,2010,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT32,0,5,28,No
32,Antigua and Barbuda,2005,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT33,0,5,28,No
33,Antigua and Barbuda,2000,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT34,0,5,28,No
34,Antigua and Barbuda,1995,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT35,0,5,28,No
35,Antigua and Barbuda,1990,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT36,0,5,28,No
36,Argentina,2012,10,Number of <5 deaths,Thousands,0-5,All,NOU5DIT37,0,5,32,No
37,Argentina,2010,10,Number of <5 deaths,Thousands,0-5,All,NOU5DIT38,0,5,32,No
38,Argentina,2005,11,Number of <5 deaths,Thousands,0-5,All,NOU5DIT39,0,5,32,No
39,Argentina,2000,14,Number of <5 deaths,Thousands,0-5,All,NOU5DIT40,0,5,32,No
40,Argentina,1995,17,Number of <5 deaths,Thousands,0-5,All,NOU5DIT41,0,5,32,No
41,Argentina,1990,20,Number of <5 deaths,Thousands,0-5,All,NOU5DIT42,0,5,32,No
42,Armenia,2012,1,Number of <5 deaths,Thousands,0-5,All,NOU5DIT43,0,5,51,No
43,Armenia,2010,1,Number of <5 deaths,Thousands,0-5,All,NOU5DIT44,0,5,51,No
44,Armenia,2005,1,Number of <5 deaths,Thousands,0-5,All,NOU5DIT45,0,5,51,No
45,Armenia,2000,1,Number of <5 deaths,Thousands,0-5,All,NOU5DIT46,0,5,51,No
46,Armenia,1995,2,Number of <5 deaths,Thousands,0-5,All,NOU5DIT47,0,5,51,No
47,Armenia,1990,4,Number of <5 deaths,Thousands,0-5,All,NOU5DIT48,0,5,51,No
48,Australia,2012,2,Number of <5 deaths,Thousands,0-5,All,NOU5DIT49,0,5,36,No
49,Australia,2010,2,Number of <5 deaths,Thousands,0-5,All,NOU5DIT50,0,5,36,No
50,Australia,2005,1,Number of <5 deaths,Thousands,0-5,All,NOU5DIT51,0,5,36,No
51,Australia,2000,2,Number of <5 deaths,Thousands,0-5,All,NOU5DIT52,0,5,36,No
52,Australia,1995,2,Number of <5 deaths,Thousands,0-5,All,NOU5DIT53,0,5,36,No
53,Australia,1990,2,Number of <5 deaths,Thousands,0-5,All,NOU5DIT54,0,5,36,No
54,Austria,2012,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT55,0,5,40,No
55,Austria,2010,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT56,0,5,40,No
56,Austria,2005,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT57,0,5,40,No
57,Austria,2000,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT58,0,5,40,No
58,Austria,1995,1,Number of <5 deaths,Thousands,0-5,All,NOU5DIT59,0,5,40,No
59,Austria,1990,1,Number of <5 deaths,Thousands,0-5,All,NOU5DIT60,0,5,40,No
60,Azerbaijan,2012,6,Number of <5 deaths,Thousands,0-5,All,NOU5DIT61,0,5,31,No
61,Azerbaijan,2010,6,Number of <5 deaths,Thousands,0-5,All,NOU5DIT62,0,5,31,No
62,Azerbaijan,2005,7,Number of <5 deaths,Thousands,0-5,All,NOU5DIT63,0,5,31,No
63,Azerbaijan,2000,9,Number of <5 deaths,Thousands,0-5,All,NOU5DIT64,0,5,31,No
64,Azerbaijan,1995,16,Number of <5 deaths,Thousands,0-5,All,NOU5DIT65,0,5,31,No
65,Azerbaijan,1990,19,Number of <5 deaths,Thousands,0-5,All,NOU5DIT66,0,5,31,No
66,Bahamas,2012,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT67,0,5,44,No
67,Bahamas,2010,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT68,0,5,44,No
68,Bahamas,2005,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT69,0,5,44,No
69,Bahamas,2000,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT70,0,5,44,No
70,Bahamas,1995,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT71,0,5,44,No
71,Bahamas,1990,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT72,0,5,44,No
72,Bahrain,2012,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT73,0,5,48,No
73,Bahrain,2010,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT74,0,5,48,No
74,Bahrain,2005,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT75,0,5,48,No
75,Bahrain,2000,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT76,0,5,48,No
76,Bahrain,1995,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT77,0,5,48,No
77,Bahrain,1990,0,Number of <5 deaths,Thousands,0-5,All,NOU5DIT78,0,5,48,No
78,Bangladesh,2012,127,Number of <5 deaths,Thousands,0-5,All,NOU5DIT79,0,5,50,No
79,Bangladesh,2010,146,Number of <5 deaths,Thousands,0-5,All,NOU5DIT80,0,5,50,No
80,Bangladesh,2005,230,Number of <5 deaths,Thousands,0-5,All,NOU5DIT81,0,5,50,No
81,Bangladesh,2000,312,Number of <5 deaths,Thousands,0-5,All,NOU5DIT82,0,5,50,No
82,Bangladesh,1995,414,Number of <5 deaths,Thousands,0-5,All,NOU5DIT83,0,5,50,No
