,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Armenia,2005,58,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS1,15,49,51,No
1,Azerbaijan,2006,26,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS2,15,49,31,No
2,Benin,2006,17,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS3,15,49,204,No
3,Benin,2006,21,Prevelance of condom use during higher-risk sex,Percent,15-49,Female,PCUADHRS4,15,49,204,No
4,Bolivia (Plurinational State of),2008,35,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS5,15,49,68,No
5,Burkina Faso,2003,43,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS6,15,49,854,No
6,Burkina Faso,2003,44,Prevelance of condom use during higher-risk sex,Percent,15-49,Female,PCUADHRS7,15,49,854,No
7,Cabo Verde,2005,69,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS8,15,49,132,No
8,Cabo Verde,2005,57,Prevelance of condom use during higher-risk sex,Percent,15-49,Female,PCUADHRS9,15,49,132,No
9,Cambodia,2005,41,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS10,15,49,116,No
10,Cambodia,2005,8,Prevelance of condom use during higher-risk sex,Percent,15-49,Female,PCUADHRS11,15,49,116,No
11,Cameroon,2004,38,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS12,15,49,120,No
12,Cameroon,2004,35,Prevelance of condom use during higher-risk sex,Percent,15-49,Female,PCUADHRS13,15,49,120,No
13,Chad,2004,16,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS14,15,49,148,No
14,Chad,2004,6,Prevelance of condom use during higher-risk sex,Percent,15-49,Female,PCUADHRS15,15,49,148,No
15,Colombia,2005,36,Prevelance of condom use during higher-risk sex,Percent,15-49,Female,PCUADHRS16,15,49,170,No
16,Congo,2009,28,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS17,15,49,178,No
17,Congo,2009,29,Prevelance of condom use during higher-risk sex,Percent,15-49,Female,PCUADHRS18,15,49,178,No
18,Côte dIvoire,2005,38,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS19,15,49,384,No
19,Côte dIvoire,2005,41,Prevelance of condom use during higher-risk sex,Percent,15-49,Female,PCUADHRS20,15,49,384,No
20,Democratic Republic of the Congo,2007,16,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS21,15,49,180,No
21,Democratic Republic of the Congo,2007,8,Prevelance of condom use during higher-risk sex,Percent,15-49,Female,PCUADHRS22,15,49,180,No
22,Dominican Republic,2007,45,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS23,15,49,214,No
23,Dominican Republic,2007,35,Prevelance of condom use during higher-risk sex,Percent,15-49,Female,PCUADHRS24,15,49,214,No
24,Ethiopia,2005,8,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS25,15,49,231,No
25,Ethiopia,2005,8,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS25,15,49,230,No
26,Gabon,2000,40,Prevelance of condom use during higher-risk sex,Percent,15-49,Male,PCUADHRS26,15,49,266,No
