,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH1,0,130,4,Yes
1,Afghanistan,2010,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH2,0,130,4,Yes
2,Afghanistan,2009,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH3,0,130,4,Yes
3,Afghanistan,2008,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH4,0,130,4,Yes
4,Afghanistan,2007,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH5,0,130,4,Yes
5,Afghanistan,2006,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH6,0,130,4,Yes
6,Afghanistan,2005,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH7,0,130,4,Yes
7,Afghanistan,2004,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH8,0,130,4,Yes
8,Afghanistan,2003,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH9,0,130,4,Yes
9,Afghanistan,2002,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH10,0,130,4,Yes
10,Albania,2009,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH11,0,130,8,Yes
11,Albania,2008,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH12,0,130,8,Yes
12,Albania,2007,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH13,0,130,8,Yes
13,Albania,2006,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH14,0,130,8,Yes
14,Albania,2005,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH15,0,130,8,Yes
15,Albania,2004,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH16,0,130,8,Yes
16,Albania,2003,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH17,0,130,8,Yes
17,Albania,2002,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH18,0,130,8,Yes
18,Albania,2001,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH19,0,130,8,Yes
19,Albania,2000,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH20,0,130,8,Yes
20,Albania,1999,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH21,0,130,8,Yes
21,Albania,1998,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH22,0,130,8,Yes
22,Albania,1997,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH23,0,130,8,Yes
23,Albania,1996,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH24,0,130,8,Yes
24,Albania,1995,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH25,0,130,8,Yes
25,Algeria,2011,5.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH26,0,130,12,Yes
26,Algeria,2010,5.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH27,0,130,12,Yes
27,Algeria,2009,5.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH28,0,130,12,Yes
28,Algeria,2008,5.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH29,0,130,12,Yes
29,Algeria,2007,5.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH30,0,130,12,Yes
30,Algeria,2006,5.2,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH31,0,130,12,Yes
31,Algeria,2005,5.2,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH32,0,130,12,Yes
32,Algeria,2004,5.2,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH33,0,130,12,Yes
33,Algeria,2003,4.4,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH34,0,130,12,Yes
34,Algeria,2002,4.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH35,0,130,12,Yes
35,Algeria,2001,3.8,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH36,0,130,12,Yes
36,Algeria,2000,3.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH37,0,130,12,Yes
37,Algeria,1999,2.9,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH38,0,130,12,Yes
38,Algeria,1998,2.8,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH39,0,130,12,Yes
39,Algeria,1997,3.2,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH40,0,130,12,Yes
40,Algeria,1996,3.4,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH41,0,130,12,Yes
41,Algeria,1995,2.9,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH42,0,130,12,Yes
42,Andorra,2011,23.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH43,0,130,20,Yes
43,Andorra,2010,23.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH44,0,130,20,Yes
44,Andorra,2009,23.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH45,0,130,20,Yes
45,Andorra,2008,23.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH46,0,130,20,Yes
46,Andorra,2007,23.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH47,0,130,20,Yes
47,Andorra,2006,23.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH48,0,130,20,Yes
48,Andorra,2005,23.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH49,0,130,20,Yes
49,Andorra,2004,23.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH50,0,130,20,Yes
50,Andorra,2003,23.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH51,0,130,20,Yes
51,Andorra,2002,26.5,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH52,0,130,20,Yes
52,Andorra,2001,26.7,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH53,0,130,20,Yes
53,Andorra,2000,22.3,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH54,0,130,20,Yes
54,Andorra,1999,23.7,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH55,0,130,20,Yes
55,Andorra,1998,31.2,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH56,0,130,20,Yes
56,Andorra,1997,23.7,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH57,0,130,20,Yes
57,Andorra,1996,22.7,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH58,0,130,20,Yes
58,Andorra,1995,21.2,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH59,0,130,20,Yes
59,Angola,2011,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH60,0,130,24,Yes
60,Angola,2010,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH61,0,130,24,Yes
61,Angola,2009,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH62,0,130,24,Yes
62,Angola,2008,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH63,0,130,24,Yes
63,Angola,2007,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH64,0,130,24,Yes
64,Angola,2006,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH65,0,130,24,Yes
65,Angola,2005,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH66,0,130,24,Yes
66,Angola,2004,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH67,0,130,24,Yes
67,Angola,2003,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH68,0,130,24,Yes
68,Angola,2002,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH69,0,130,24,Yes
69,Angola,2001,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH70,0,130,24,Yes
70,Angola,2000,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH71,0,130,24,Yes
71,Angola,1999,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH72,0,130,24,Yes
72,Angola,1998,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH73,0,130,24,Yes
73,Angola,1997,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH74,0,130,24,Yes
74,Angola,1996,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH75,0,130,24,Yes
75,Angola,1995,0.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH76,0,130,24,Yes
76,Antigua and Barbuda,2011,11.5,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH77,0,130,28,Yes
77,Antigua and Barbuda,2010,11.5,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH78,0,130,28,Yes
78,Antigua and Barbuda,2009,11.5,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH79,0,130,28,Yes
79,Antigua and Barbuda,2008,11.9,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH80,0,130,28,Yes
80,Antigua and Barbuda,2007,11.9,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH81,0,130,28,Yes
81,Antigua and Barbuda,2006,11.9,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH82,0,130,28,Yes
82,Antigua and Barbuda,2005,13.2,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH83,0,130,28,Yes
83,Antigua and Barbuda,2004,12.2,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH84,0,130,28,Yes
84,Antigua and Barbuda,2003,12.5,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH85,0,130,28,Yes
85,Antigua and Barbuda,2002,12.9,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH86,0,130,28,Yes
86,Antigua and Barbuda,2001,13.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH87,0,130,28,Yes
87,Antigua and Barbuda,2000,13.2,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH88,0,130,28,Yes
88,Antigua and Barbuda,1999,13.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH89,0,130,28,Yes
89,Antigua and Barbuda,1998,12.9,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH90,0,130,28,Yes
90,Antigua and Barbuda,1997,13.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH91,0,130,28,Yes
91,Antigua and Barbuda,1996,12.9,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH92,0,130,28,Yes
92,Antigua and Barbuda,1995,12.8,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH93,0,130,28,Yes
93,Argentina,2011,27.8,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH94,0,130,32,Yes
94,Argentina,2010,31.5,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH95,0,130,32,Yes
95,Argentina,2009,32.8,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH96,0,130,32,Yes
96,Argentina,2008,32.8,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH97,0,130,32,Yes
97,Argentina,2007,30.7,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH98,0,130,32,Yes
98,Argentina,2006,28.4,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH99,0,130,32,Yes
99,Argentina,2005,28.5,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH100,0,130,32,Yes
100,Argentina,2004,28.3,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH101,0,130,32,Yes
101,Argentina,2003,28.4,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH102,0,130,32,Yes
102,Argentina,2002,28.4,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH103,0,130,32,Yes
103,Argentina,2001,29.3,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH104,0,130,32,Yes
104,Argentina,2000,30.7,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH105,0,130,32,Yes
105,Argentina,1999,30.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH106,0,130,32,Yes
106,Argentina,1998,30.1,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH107,0,130,32,Yes
107,Argentina,1997,31.7,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH108,0,130,32,Yes
108,Argentina,1996,26.0,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH109,0,130,32,Yes
109,Argentina,1995,26.7,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH110,0,130,32,Yes
110,Armenia,2011,0.5,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH111,0,130,51,Yes
111,Armenia,2010,0.5,Private prepaid plans as a percentage of private expenditure on health,Percent,All,All,PRIPPAPOPEH112,0,130,51,Yes
