,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2008,27.2,Raised blood pressure,Percent,All,Male,RBPASE1,0,130,4,No
1,Afghanistan,2008,27.9,Raised blood pressure,Percent,All,Female,RBPASE2,0,130,4,No
2,Afghanistan,2008,27.6,Raised blood pressure,Percent,All,All,RBPASE3,0,130,4,No
3,Afghanistan,2008,27.2,Raised blood pressure,Percent,All,Male,RBPASE4,0,130,4,No
4,Afghanistan,2008,27.9,Raised blood pressure,Percent,All,Female,RBPASE5,0,130,4,No
5,Afghanistan,2008,27.6,Raised blood pressure,Percent,All,All,RBPASE6,0,130,4,No
6,Albania,2008,35.4,Raised blood pressure,Percent,All,All,RBPASE7,0,130,8,No
7,Albania,2008,31.7,Raised blood pressure,Percent,All,Female,RBPASE8,0,130,8,No
8,Albania,2008,39.3,Raised blood pressure,Percent,All,Male,RBPASE9,0,130,8,No
9,Albania,2008,35.4,Raised blood pressure,Percent,All,All,RBPASE10,0,130,8,No
10,Albania,2008,31.7,Raised blood pressure,Percent,All,Female,RBPASE11,0,130,8,No
11,Albania,2008,39.3,Raised blood pressure,Percent,All,Male,RBPASE12,0,130,8,No
12,Algeria,2008,33.9,Raised blood pressure,Percent,All,Male,RBPASE13,0,130,12,No
13,Algeria,2008,33.2,Raised blood pressure,Percent,All,Female,RBPASE14,0,130,12,No
14,Algeria,2008,33.6,Raised blood pressure,Percent,All,All,RBPASE15,0,130,12,No
15,Algeria,2008,33.9,Raised blood pressure,Percent,All,Male,RBPASE16,0,130,12,No
16,Algeria,2008,33.2,Raised blood pressure,Percent,All,Female,RBPASE17,0,130,12,No
17,Algeria,2008,33.6,Raised blood pressure,Percent,All,All,RBPASE18,0,130,12,No
18,Andorra,2008,23.2,Raised blood pressure,Percent,All,All,RBPASE19,0,130,20,No
19,Andorra,2008,17.5,Raised blood pressure,Percent,All,Female,RBPASE20,0,130,20,No
20,Andorra,2008,29.2,Raised blood pressure,Percent,All,Male,RBPASE21,0,130,20,No
21,Andorra,2008,23.2,Raised blood pressure,Percent,All,All,RBPASE22,0,130,20,No
22,Andorra,2008,17.5,Raised blood pressure,Percent,All,Female,RBPASE23,0,130,20,No
23,Andorra,2008,29.2,Raised blood pressure,Percent,All,Male,RBPASE24,0,130,20,No
24,Angola,2008,39.6,Raised blood pressure,Percent,All,Male,RBPASE25,0,130,24,No
25,Angola,2008,33.8,Raised blood pressure,Percent,All,Female,RBPASE26,0,130,24,No
26,Angola,2008,36.7,Raised blood pressure,Percent,All,All,RBPASE27,0,130,24,No
27,Angola,2008,39.6,Raised blood pressure,Percent,All,Male,RBPASE28,0,130,24,No
28,Angola,2008,33.8,Raised blood pressure,Percent,All,Female,RBPASE29,0,130,24,No
29,Angola,2008,36.7,Raised blood pressure,Percent,All,All,RBPASE30,0,130,24,No
30,Antigua and Barbuda,2008,32.9,Raised blood pressure,Percent,All,All,RBPASE31,0,130,28,No
31,Antigua and Barbuda,2008,27.5,Raised blood pressure,Percent,All,Female,RBPASE32,0,130,28,No
32,Antigua and Barbuda,2008,38.5,Raised blood pressure,Percent,All,Male,RBPASE33,0,130,28,No
