,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2011,750,Rubella,Absolute,All,All,RUBENRC1,0,130,4,No
1,Afghanistan,2010,46,Rubella,Absolute,All,All,RUBENRC2,0,130,4,No
2,Afghanistan,2009,501,Rubella,Absolute,All,All,RUBENRC3,0,130,4,No
3,Albania,2012,1,Rubella,Absolute,All,All,RUBENRC4,0,130,8,No
4,Albania,2010,5,Rubella,Absolute,All,All,RUBENRC5,0,130,8,No
5,Albania,2009,0,Rubella,Absolute,All,All,RUBENRC6,0,130,8,No
6,Algeria,2012,420,Rubella,Absolute,All,All,RUBENRC7,0,130,12,No
7,Algeria,2011,170,Rubella,Absolute,All,All,RUBENRC8,0,130,12,No
8,Algeria,2010,212,Rubella,Absolute,All,All,RUBENRC9,0,130,12,No
9,Algeria,2009,23,Rubella,Absolute,All,All,RUBENRC10,0,130,12,No
10,Andorra,2012,0,Rubella,Absolute,All,All,RUBENRC11,0,130,20,No
11,Andorra,2011,0,Rubella,Absolute,All,All,RUBENRC12,0,130,20,No
12,Andorra,2010,0,Rubella,Absolute,All,All,RUBENRC13,0,130,20,No
13,Andorra,2009,0,Rubella,Absolute,All,All,RUBENRC14,0,130,20,No
14,Angola,2012,65,Rubella,Absolute,All,All,RUBENRC15,0,130,24,No
15,Angola,2011,24,Rubella,Absolute,All,All,RUBENRC16,0,130,24,No
16,Angola,2010,38,Rubella,Absolute,All,All,RUBENRC17,0,130,24,No
17,Angola,2009,10,Rubella,Absolute,All,All,RUBENRC18,0,130,24,No
18,Antigua and Barbuda,2012,0,Rubella,Absolute,All,All,RUBENRC19,0,130,28,No
19,Antigua and Barbuda,2011,0,Rubella,Absolute,All,All,RUBENRC20,0,130,28,No
20,Antigua and Barbuda,2010,0,Rubella,Absolute,All,All,RUBENRC21,0,130,28,No
21,Antigua and Barbuda,2009,0,Rubella,Absolute,All,All,RUBENRC22,0,130,28,No
22,Argentina,2012,1,Rubella,Absolute,All,All,RUBENRC23,0,130,32,No
23,Argentina,2011,1,Rubella,Absolute,All,All,RUBENRC24,0,130,32,No
24,Argentina,2010,0,Rubella,Absolute,All,All,RUBENRC25,0,130,32,No
25,Argentina,2009,4,Rubella,Absolute,All,All,RUBENRC26,0,130,32,No
26,Armenia,2012,1,Rubella,Absolute,All,All,RUBENRC27,0,130,51,No
