,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2009,29,Stillbirth rate,per 1k pop,All,All,STBIRPTB1,0,130,4,No
1,Albania,2009,5,Stillbirth rate,per 1k pop,All,All,STBIRPTB2,0,130,8,No
2,Algeria,2009,11,Stillbirth rate,per 1k pop,All,All,STBIRPTB3,0,130,12,No
3,Andorra,2009,3,Stillbirth rate,per 1k pop,All,All,STBIRPTB4,0,130,20,No
4,Angola,2009,25,Stillbirth rate,per 1k pop,All,All,STBIRPTB5,0,130,24,No
5,Antigua and Barbuda,2009,7,Stillbirth rate,per 1k pop,All,All,STBIRPTB6,0,130,28,No
6,Argentina,2009,5,Stillbirth rate,per 1k pop,All,All,STBIRPTB7,0,130,32,No
7,Armenia,2009,15,Stillbirth rate,per 1k pop,All,All,STBIRPTB8,0,130,51,No
8,Australia,2009,3,Stillbirth rate,per 1k pop,All,All,STBIRPTB9,0,130,36,No
9,Austria,2009,4,Stillbirth rate,per 1k pop,All,All,STBIRPTB10,0,130,40,No
10,Azerbaijan,2009,12,Stillbirth rate,per 1k pop,All,All,STBIRPTB11,0,130,31,No
11,Bahamas,2009,9,Stillbirth rate,per 1k pop,All,All,STBIRPTB12,0,130,44,No
12,Bahrain,2009,9,Stillbirth rate,per 1k pop,All,All,STBIRPTB13,0,130,48,No
13,Bangladesh,2009,36,Stillbirth rate,per 1k pop,All,All,STBIRPTB14,0,130,50,No
14,Barbados,2009,9,Stillbirth rate,per 1k pop,All,All,STBIRPTB15,0,130,52,No
15,Belarus,2009,4,Stillbirth rate,per 1k pop,All,All,STBIRPTB16,0,130,112,No
16,Belgium,2009,3,Stillbirth rate,per 1k pop,All,All,STBIRPTB17,0,130,56,No
17,Belize,2009,12,Stillbirth rate,per 1k pop,All,All,STBIRPTB18,0,130,84,No
18,Benin,2009,24,Stillbirth rate,per 1k pop,All,All,STBIRPTB19,0,130,204,No
19,Bhutan,2009,22,Stillbirth rate,per 1k pop,All,All,STBIRPTB20,0,130,64,No
20,Bolivia (Plurinational State of),2009,17,Stillbirth rate,per 1k pop,All,All,STBIRPTB21,0,130,68,No
