,Country_or_area,Year(s),Value,Metric type,Value type,Age group,Gender,Metric ID,Start age,End age,Code,is_currency
0,Afghanistan,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU1,0,130,4,No
1,Afghanistan,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU2,0,130,4,No
2,Albania,2013,0.32,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU3,0,130,8,No
3,Albania,2010,0.31,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU4,0,130,8,No
4,Algeria,2013,0.43,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU5,0,130,12,No
5,Algeria,2010,0.48,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU6,0,130,12,No
6,Angola,2013,0.05,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU7,0,130,24,No
7,Angola,2010,0.05,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU8,0,130,24,No
8,Argentina,2013,2.75,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU9,0,130,32,No
9,Argentina,2010,2.82,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU10,0,130,32,No
10,Armenia,2013,1.34,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU11,0,130,51,No
11,Armenia,2010,1.29,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU12,0,130,51,No
12,Australia,2013,4.03,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU13,0,130,36,No
13,Australia,2010,4.22,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU14,0,130,36,No
14,Austria,2013,5.41,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU15,0,130,40,No
15,Austria,2010,5.48,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU16,0,130,40,No
16,Azerbaijan,2013,1.59,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU17,0,130,31,No
17,Azerbaijan,2010,1.63,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU18,0,130,31,No
18,Bahamas,2013,2.65,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU19,0,130,44,No
19,Bahamas,2010,2.92,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU20,0,130,44,No
20,Bangladesh,2013,0.12,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU21,0,130,50,No
21,Bangladesh,2010,0.13,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU22,0,130,50,No
22,Barbados,2013,3.51,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU23,0,130,52,No
23,Barbados,2010,3.66,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU24,0,130,52,No
24,Belarus,2013,3.1,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU25,0,130,112,No
25,Belarus,2010,3.02,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU26,0,130,112,No
26,Belgium,2013,8.28,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU27,0,130,56,No
27,Belgium,2010,8.96,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU28,0,130,56,No
28,Belize,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU29,0,130,84,No
29,Belize,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU30,0,130,84,No
30,Benin,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU31,0,130,204,No
31,Benin,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU32,0,130,204,No
32,Bhutan,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU33,0,130,64,No
33,Bhutan,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU34,0,130,64,No
34,Bolivia (Plurinational State of),2013,0.56,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU35,0,130,68,No
35,Bolivia (Plurinational State of),2010,0.6,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU36,0,130,68,No
36,Bosnia and Herzegovina,2013,2.87,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU37,0,130,70,No
37,Bosnia and Herzegovina,2010,2.39,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU38,0,130,70,No
38,Botswana,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU39,0,130,72,No
39,Botswana,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU40,0,130,72,No
40,Brazil,2013,1.74,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU41,0,130,76,No
41,Brazil,2010,1.76,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU42,0,130,76,No
42,Bulgaria,2013,2.08,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU43,0,130,100,No
43,Bulgaria,2010,2.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU44,0,130,100,No
44,Burkina Faso,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU45,0,130,854,No
45,Burkina Faso,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU46,0,130,854,No
46,Burundi,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU47,0,130,108,No
47,Burundi,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU48,0,130,108,No
48,Cabo Verde,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU49,0,130,132,No
49,Cabo Verde,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU50,0,130,132,No
50,Cambodia,2013,0.07,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU51,0,130,116,No
51,Cambodia,2010,0.07,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU52,0,130,116,No
52,Cameroon,2013,0.13,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU53,0,130,120,No
53,Cameroon,2010,0.15,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU54,0,130,120,No
54,Canada,2013,8.07,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU55,0,130,124,No
55,Canada,2010,8.73,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU56,0,130,124,No
56,Central African Republic,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU57,0,130,140,No
57,Central African Republic,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU58,0,130,140,No
58,Chile,2013,0.91,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU59,0,130,152,No
59,Chile,2010,0.93,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU60,0,130,152,No
60,China,2013,1.1,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU61,0,130,156,No
61,China,2010,1.15,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU62,0,130,156,No
62,Colombia,2013,1.45,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU63,0,130,170,No
63,Colombia,2010,1.38,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU64,0,130,170,No
64,Comoros,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU65,0,130,174,No
65,Comoros,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU66,0,130,174,No
66,Congo,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU67,0,130,178,No
67,Costa Rica,2013,2.26,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU68,0,130,188,No
68,Costa Rica,2010,1.72,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU69,0,130,188,No
69,Côte dIvoire,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU70,0,130,384,No
70,Côte dIvoire,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU71,0,130,384,No
71,Croatia,2013,3.03,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU72,0,130,191,No
72,Croatia,2010,2.95,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU73,0,130,191,No
73,Cuba,2013,1.15,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU74,0,130,192,No
74,Cuba,2010,1.15,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU75,0,130,192,No
75,Cyprus,2013,2.63,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU76,0,130,196,No
76,Cyprus,2010,2.72,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU77,0,130,196,No
77,Czech Republic,2013,4.86,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU78,0,130,203,No
78,Czech Republic,2010,4.96,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU79,0,130,203,No
79,Democratic Peoples Republic of Korea,2013,0.16,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU80,0,130,408,No
80,Democratic Peoples Republic of Korea,2010,0.16,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU81,0,130,408,No
81,Democratic Republic of the Congo,2013,0.01,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU82,0,130,180,No
82,Democratic Republic of the Congo,2010,0.02,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU83,0,130,180,No
83,Denmark,2013,9.61,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU84,0,130,208,No
84,Denmark,2010,9.73,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU85,0,130,208,No
85,Dominica,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU86,0,130,212,No
86,Dominica,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU87,0,130,212,No
87,Dominican Republic,2013,1.25,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU88,0,130,214,No
88,Dominican Republic,2010,1.01,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU89,0,130,214,No
89,Ecuador,2013,0.13,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU90,0,130,218,No
90,Ecuador,2010,0.14,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU91,0,130,218,No
91,Egypt,2013,0.79,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU92,0,130,818,No
92,Egypt,2010,0.7,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU93,0,130,818,No
93,El Salvador,2013,1.1,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU94,0,130,222,No
94,El Salvador,2010,0.81,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU95,0,130,222,No
95,Eritrea,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU96,0,130,232,No
96,Eritrea,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU97,0,130,232,No
97,Estonia,2013,2.33,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU98,0,130,233,No
98,Estonia,2010,2.24,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU99,0,130,233,No
99,Ethiopia,2013,0.02,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU100,0,130,231,No
100,Ethiopia,2013,0.02,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU100,0,130,230,No
101,Ethiopia,2010,0.02,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU101,0,130,231,No
102,Ethiopia,2010,0.02,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU101,0,130,230,No
103,Fiji,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU102,0,130,242,No
104,Fiji,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU103,0,130,242,No
105,Finland,2013,7.37,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU104,0,130,246,No
106,Finland,2010,7.46,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU105,0,130,246,No
107,France,2013,7.51,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU106,0,130,250,No
108,France,2010,6.78,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU107,0,130,250,No
109,Gabon,2013,0.6,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU108,0,130,266,No
110,Gabon,2010,0.66,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU109,0,130,266,No
111,Gambia,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU110,0,130,270,No
112,Gambia,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU111,0,130,270,No
113,Georgia,2013,1.38,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU112,0,130,268,No
114,Georgia,2010,1.38,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU113,0,130,268,No
115,Germany,2013,6.44,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU114,0,130,276,No
116,Germany,2010,6.43,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU115,0,130,276,No
117,Ghana,2013,0.08,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU116,0,130,288,No
118,Ghana,2010,0.08,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU117,0,130,288,No
119,Greece,2013,4.31,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU118,0,130,300,No
120,Greece,2010,4.23,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU119,0,130,300,No
121,Grenada,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU120,0,130,308,No
122,Grenada,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU121,0,130,308,No
123,Guatemala,2013,0.65,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU122,0,130,320,No
124,Guatemala,2010,0.83,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU123,0,130,320,No
125,Guinea,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU124,0,130,324,No
126,Guinea,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU125,0,130,324,No
127,Guinea-Bissau,2013,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU126,0,130,624,No
128,Guinea-Bissau,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU127,0,130,624,No
129,Guyana,2013,1.25,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU128,0,130,328,No
130,Guyana,2010,1.33,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU129,0,130,328,No
131,Haiti,2010,0.0,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU130,0,130,332,No
132,Honduras,2013,0.74,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU131,0,130,340,No
133,Honduras,2010,0.79,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU132,0,130,340,No
134,Hungary,2013,1.81,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU133,0,130,348,No
135,Hungary,2010,1.8,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU134,0,130,348,No
136,Iceland,2013,6.07,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU135,0,130,352,No
137,Iceland,2010,6.25,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU136,0,130,352,No
138,India,2013,0.41,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU137,0,130,356,No
139,India,2010,0.41,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU138,0,130,356,No
140,Indonesia,2013,0.15,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU139,0,130,360,No
141,Indonesia,2010,0.13,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU140,0,130,360,No
142,Iran (Islamic Republic of),2013,0.85,Total density radiotherapy units,per 1m pop,All,All,TODPMPORAU141,0,130,364,No
